COUNTYFP,year,totWrkE,eduP,hghRskP,hltCrP,retailP
01001,2018,24124.0,9.28,21.32,10.8,8.93
01003,2018,93379.0,7.94,19.83,12.15,13.71
01005,2018,8720.0,9.86,36.08,8.78,10.62
01007,2018,8099.0,9.33,34.24,13.47,9.15
01009,2018,21346.0,6.34,30.34,13.36,11.76
01011,2018,3940.0,9.77,46.85,6.45,6.47
01013,2018,7885.0,7.44,33.8,12.97,11.24
01015,2018,48157.0,8.82,26.05,12.92,12.64
01017,2018,14786.0,6.97,36.07,11.85,10.42
01019,2018,9805.0,7.48,39.59,15.78,11.01
01021,2018,17500.0,6.06,34.55,9.74,11.77
01023,2018,4264.0,9.92,37.29,14.0,14.63
01025,2018,7647.0,5.71,39.28,12.68,12.38
01027,2018,5542.0,7.81,41.9,12.56,11.12
01029,2018,5628.0,8.97,38.56,10.34,13.49
01031,2018,21725.0,9.28,21.8,13.48,10.97
01033,2018,22436.0,7.23,30.61,13.67,13.01
01035,2018,3892.0,4.7,31.29,12.08,16.42
01037,2018,4110.0,5.91,32.85,12.17,8.64
01039,2018,14899.0,6.07,31.53,12.53,11.33
01041,2018,5612.0,8.0,31.43,12.19,11.67
01043,2018,33003.0,5.97,30.72,14.11,14.03
01045,2018,18025.0,6.5,21.12,10.87,16.57
01047,2018,14295.0,8.88,34.17,13.81,10.67
01049,2018,28637.0,5.51,40.21,11.19,12.54
01051,2018,33811.0,7.94,22.16,12.11,12.14
01053,2018,12182.0,6.58,29.9,13.22,11.48
01055,2018,42367.0,7.52,26.64,15.82,11.83
01057,2018,6380.0,7.45,33.67,17.15,12.59
01059,2018,12849.0,9.49,42.89,8.57,9.1
01061,2018,10047.0,6.17,31.67,14.9,10.18
01063,2018,2204.0,10.21,34.66,15.06,8.48
01065,2018,5083.0,9.19,32.05,14.66,11.63
01067,2018,6868.0,8.42,22.74,15.42,11.88
01069,2018,44291.0,6.7,19.2,17.06,14.47
01071,2018,20189.0,8.59,38.45,10.83,12.85
01073,2018,302428.0,8.72,16.76,16.65,10.85
01075,2018,5338.0,6.28,36.55,11.97,7.66
01077,2018,40130.0,9.81,24.6,12.86,13.63
01079,2018,12568.0,8.78,39.1,10.42,9.33
01081,2018,72956.0,16.76,20.87,11.89,11.33
01083,2018,39595.0,7.82,28.98,9.85,11.8
01085,2018,3457.0,6.91,29.3,14.29,12.06
01087,2018,7289.0,22.18,21.16,12.4,11.18
01089,2018,172631.0,8.78,17.23,12.34,10.8
01091,2018,6563.0,8.55,28.1,15.16,11.73
01093,2018,11980.0,8.55,33.02,13.79,12.66
01095,2018,38997.0,7.92,32.96,11.43,11.69
01097,2018,174229.0,8.43,21.87,15.01,12.43
01099,2018,6422.0,9.44,29.98,13.91,14.78
01101,2018,100599.0,9.35,16.39,12.51,11.72
01103,2018,51513.0,7.5,30.04,12.8,12.91
01105,2018,2325.0,20.65,24.56,12.9,7.87
01107,2018,7136.0,8.0,30.69,14.36,12.35
01109,2018,14093.0,14.76,21.57,8.44,13.56
01111,2018,8628.0,6.72,39.58,10.93,9.7
01113,2018,23550.0,7.9,19.7,13.48,12.54
01115,2018,38881.0,5.21,27.72,12.57,12.42
01117,2018,105724.0,8.98,17.89,11.95,11.7
01119,2018,4207.0,20.82,20.8,12.88,12.36
01121,2018,31082.0,8.11,31.64,13.2,12.43
01123,2018,15083.0,7.78,34.18,16.37,8.88
01125,2018,93450.0,14.82,23.21,14.82,10.02
01127,2018,24707.0,8.54,26.81,13.6,13.51
01129,2018,5538.0,5.76,41.51,13.74,9.82
01131,2018,2882.0,7.22,33.1,13.01,8.43
01133,2018,9000.0,6.47,33.52,13.48,11.93
02013,2018,2395.0,6.76,65.59,2.34,2.96
02016,2018,3889.0,3.29,45.64,4.06,9.21
02020,2018,150201.0,7.7,11.39,16.22,11.0
02050,2018,6178.0,18.47,11.14,16.95,11.41
02060,2018,488.0,10.04,20.9,4.71,4.3
02068,2018,1478.0,4.6,13.6,1.69,6.43
02070,2018,2024.0,17.34,12.65,20.85,12.15
02090,2018,46543.0,13.38,14.23,14.15,12.57
02100,2018,1329.0,9.71,17.01,18.51,14.22
02105,2018,1068.0,8.43,26.87,6.74,7.58
02110,2018,17562.0,8.59,14.52,13.13,7.8
02122,2018,25564.0,8.29,22.56,16.66,10.81
02130,2018,7017.0,5.61,17.09,13.47,15.12
02150,2018,6919.0,10.68,30.06,10.33,7.93
02158,2018,2088.0,23.52,17.29,11.4,10.54
02164,2018,594.0,21.55,20.71,6.06,4.55
02170,2018,43000.0,8.62,20.92,14.59,12.49
02180,2018,3664.0,19.54,11.08,20.96,8.05
02185,2018,5465.0,7.76,41.63,5.42,4.12
02188,2018,2636.0,18.32,16.39,15.74,7.7
02195,2018,1577.0,5.71,40.96,11.29,12.62
02198,2018,2789.0,12.59,28.58,9.75,8.1
02220,2018,4746.0,11.57,20.67,16.1,11.34
02230,2018,695.0,4.75,11.08,4.17,14.68
02240,2018,2896.0,9.46,30.63,10.53,5.8
02261,2018,4744.0,10.98,24.89,5.46,12.48
02275,2018,1128.0,5.85,27.48,17.38,13.03
02282,2018,357.0,6.16,31.65,4.2,10.08
02290,2018,2118.0,20.16,18.84,9.02,7.27
04001,2018,18365.0,17.97,16.59,21.57,9.64
04003,2018,43097.0,8.8,14.11,12.79,12.26
04005,2018,66310.0,15.02,15.47,12.32,11.15
04007,2018,18162.0,9.07,21.44,14.87,11.36
04009,2018,12837.0,10.7,23.1,13.76,14.6
04011,2018,3812.0,9.02,51.05,5.77,7.16
04012,2018,6466.0,5.09,19.78,9.11,12.17
04013,2018,2004236.0,8.29,15.88,12.41,12.09
04015,2018,71244.0,6.65,14.8,14.69,13.52
04017,2018,33272.0,12.14,15.31,17.56,13.79
04019,2018,440596.0,10.33,14.88,14.62,11.81
04021,2018,150294.0,8.51,18.88,13.76,12.86
04023,2018,17233.0,10.17,16.02,10.57,14.08
04025,2018,84142.0,8.9,16.78,14.89,13.68
04027,2018,75912.0,8.41,23.44,11.93,11.9
05001,2018,7796.0,8.65,36.08,10.57,12.11
05003,2018,7728.0,9.85,37.91,16.78,12.58
05005,2018,16232.0,7.11,24.98,20.93,14.19
05007,2018,125343.0,7.49,22.99,10.18,22.32
05009,2018,16145.0,9.23,21.42,11.27,11.95
05011,2018,4209.0,10.36,38.42,12.9,9.81
05013,2018,2155.0,11.23,36.33,11.93,7.15
05015,2018,11867.0,9.08,36.93,6.83,11.88
05017,2018,3583.0,9.43,29.14,14.65,10.69
05019,2018,10475.0,16.37,21.58,12.71,13.08
05021,2018,6249.0,8.13,31.96,15.36,16.91
05023,2018,10235.0,8.25,29.65,13.26,13.09
05025,2018,3230.0,9.72,33.16,15.29,8.79
05027,2018,9469.0,16.01,27.73,12.99,15.83
05029,2018,8870.0,8.04,31.25,14.13,9.92
05031,2018,48814.0,9.76,24.9,18.29,12.36
05033,2018,25985.0,7.78,29.42,15.5,12.71
05035,2018,20402.0,9.21,19.97,16.63,12.59
05037,2018,7516.0,8.09,24.53,16.05,13.29
05039,2018,2944.0,5.57,42.83,11.24,7.13
05041,2018,4426.0,12.97,29.17,10.08,14.82
05043,2018,7825.0,16.35,24.01,18.71,9.6
05045,2018,57226.0,11.73,18.82,15.17,13.33
05047,2018,6773.0,11.29,33.49,12.67,13.48
05049,2018,4045.0,8.97,27.44,18.64,13.35
05051,2018,40302.0,5.98,19.45,16.03,13.82
05053,2018,7594.0,8.38,27.42,15.53,9.78
05055,2018,18971.0,9.35,31.59,17.9,11.42
05057,2018,8834.0,9.27,32.96,12.59,10.6
05059,2018,13232.0,7.49,27.09,15.3,13.26
05061,2018,5559.0,11.71,44.95,9.44,10.79
05063,2018,15547.0,12.7,30.63,13.8,10.66
05065,2018,4654.0,10.27,23.46,18.61,11.71
05067,2018,5563.0,6.94,34.64,10.5,13.95
05069,2018,26047.0,11.7,23.42,15.69,10.25
05071,2018,10363.0,10.21,37.58,8.68,15.3
05073,2018,2630.0,7.45,36.01,13.46,12.55
05075,2018,6613.0,12.87,28.73,11.67,13.29
05077,2018,2708.0,4.03,36.67,10.27,9.27
05079,2018,3366.0,8.29,28.67,18.72,12.69
05081,2018,4804.0,7.91,34.33,16.61,13.99
05083,2018,8723.0,8.07,35.96,16.06,11.43
05085,2018,32335.0,8.87,18.85,14.82,12.41
05087,2018,6574.0,10.27,36.61,13.45,12.94
05089,2018,5322.0,7.23,30.2,14.04,14.11
05091,2018,17600.0,8.93,21.64,15.41,14.58
05093,2018,17337.0,10.37,37.37,11.63,11.21
05095,2018,2984.0,6.67,29.16,11.09,11.19
05097,2018,3284.0,8.98,31.39,13.55,7.55
05099,2018,3151.0,12.38,31.42,17.49,10.41
05101,2018,3080.0,17.47,29.77,7.31,9.32
05103,2018,9839.0,10.16,31.97,15.32,9.34
05105,2018,3763.0,7.23,31.28,12.3,17.78
05107,2018,6851.0,17.3,21.44,14.8,12.44
05109,2018,4548.0,6.49,39.71,12.23,10.8
05111,2018,9539.0,6.51,34.45,13.17,11.04
05113,2018,7292.0,10.33,30.73,14.71,12.1
05115,2018,27105.0,12.19,27.14,13.83,11.32
05117,2018,3465.0,7.3,36.8,13.88,10.53
05119,2018,184451.0,9.07,13.18,18.65,11.47
05121,2018,6831.0,9.38,32.1,22.44,11.73
05123,2018,8697.0,6.78,26.8,14.91,12.27
05125,2018,56382.0,7.01,16.53,20.01,14.28
05127,2018,3763.0,7.89,41.72,17.35,9.57
05129,2018,3129.0,10.74,32.85,15.76,12.56
05131,2018,56926.0,7.13,26.76,15.41,12.34
05133,2018,7498.0,7.76,48.24,11.46,11.11
05135,2018,5871.0,9.4,26.35,17.95,13.34
05137,2018,4540.0,7.86,33.3,13.7,10.75
05139,2018,15821.0,9.38,26.2,14.96,14.08
05141,2018,5675.0,7.7,27.51,15.17,12.51
05143,2018,110021.0,12.95,23.62,12.04,12.14
05145,2018,32028.0,14.03,20.67,15.94,13.76
05147,2018,2526.0,5.74,28.23,19.4,11.64
05149,2018,8983.0,6.49,38.58,12.11,14.22
06001,2018,847170.0,9.32,16.41,12.39,8.96
06003,2018,366.0,6.28,9.84,9.56,16.67
06005,2018,13289.0,8.55,17.74,11.25,11.86
06007,2018,94908.0,10.14,17.63,17.3,13.51
06009,2018,17114.0,7.56,23.95,13.18,11.18
06011,2018,9663.0,6.11,43.89,6.25,9.46
06013,2018,547323.0,8.23,15.48,13.76,10.33
06015,2018,8823.0,9.57,12.68,18.57,11.58
06017,2018,83049.0,8.17,17.51,11.88,11.22
06019,2018,400175.0,9.77,23.75,14.13,10.45
06021,2018,10994.0,6.95,38.78,10.78,12.74
06023,2018,60970.0,10.09,16.75,15.56,13.64
06025,2018,59919.0,10.33,22.03,15.96,14.04
06027,2018,8090.0,9.58,21.8,16.0,11.47
06029,2018,339384.0,8.73,29.51,11.36,10.74
06031,2018,53217.0,7.94,26.63,13.35,9.63
06033,2018,23589.0,8.0,20.96,17.0,11.7
06035,2018,8788.0,10.62,16.4,11.52,8.02
06037,2018,4869658.0,8.12,16.5,12.5,10.4
06039,2018,57799.0,8.16,33.26,12.43,10.18
06041,2018,131425.0,8.45,11.92,13.21,9.24
06043,2018,7051.0,9.56,14.01,7.76,11.57
06045,2018,37712.0,9.3,23.4,12.91,12.39
06047,2018,102638.0,11.54,31.46,11.03,11.16
06049,2018,3125.0,9.92,25.15,15.23,7.74
06051,2018,8278.0,5.57,16.83,6.37,9.41
06053,2018,185025.0,8.8,29.86,11.0,9.41
06055,2018,70888.0,7.71,25.45,13.5,9.93
06057,2018,43368.0,7.9,17.24,15.0,11.12
06059,2018,1578079.0,8.05,19.39,11.24,10.51
06061,2018,173493.0,7.81,15.32,15.16,11.66
06063,2018,7536.0,8.56,21.27,15.72,10.44
06065,2018,1007795.0,8.52,19.67,12.18,12.89
06067,2018,686019.0,8.04,13.82,14.33,10.95
06069,2018,28831.0,8.31,31.18,11.5,12.1
06071,2018,892435.0,8.9,18.05,13.18,12.92
06073,2018,1564930.0,8.75,16.69,12.52,10.47
06075,2018,515382.0,7.18,9.15,11.13,9.18
06077,2018,305509.0,7.9,23.73,12.4,11.92
06079,2018,129358.0,10.87,20.91,12.26,11.19
06081,2018,409911.0,7.75,13.99,12.38,9.18
06083,2018,211751.0,11.36,21.94,11.79,9.77
06085,2018,985838.0,8.1,22.79,10.77,8.57
06087,2018,134904.0,12.68,20.74,12.4,10.52
06089,2018,72392.0,7.6,16.46,18.79,13.14
06091,2018,1251.0,6.95,26.86,13.91,4.88
06093,2018,16725.0,10.03,22.84,14.64,11.38
06095,2018,202713.0,7.26,19.45,15.82,11.4
06097,2018,253421.0,8.28,21.55,12.75,11.47
06099,2018,222532.0,8.74,26.39,12.56,12.86
