COUNTYFP,year,essnWrkE,wrkPopE,essnWrkP
01001,2018,10660,24124,44.19
01003,2018,41899,93379,44.87
01005,2018,5100,8720,58.49
01007,2018,5132,8099,63.37
01009,2018,11991,21346,56.17
01011,2018,2528,3940,64.16
01013,2018,4757,7885,60.33
01015,2018,26181,48157,54.37
01017,2018,8837,14786,59.77
01019,2018,6414,9805,65.42
01021,2018,10064,17500,57.51
01023,2018,2672,4264,62.66
01025,2018,4895,7647,64.01
01027,2018,3683,5542,66.46
01029,2018,3164,5628,56.22
01031,2018,12009,21725,55.28
01033,2018,12531,22436,55.85
01035,2018,2546,3892,65.42
01037,2018,2381,4110,57.93
01039,2018,8408,14899,56.43
01041,2018,3165,5612,56.4
01043,2018,18862,33003,57.15
01045,2018,9751,18025,54.1
01047,2018,8764,14295,61.31
01049,2018,17422,28637,60.84
01051,2018,15547,33811,45.98
01053,2018,7031,12182,57.72
01055,2018,23835,42367,56.26
01057,2018,4026,6380,63.1
01059,2018,7747,12849,60.29
01061,2018,6097,10047,60.68
01063,2018,1265,2204,57.4
01065,2018,2765,5083,54.4
01067,2018,3894,6868,56.7
01069,2018,23105,44291,52.17
01071,2018,12022,20189,59.55
01073,2018,136069,302428,44.99
01075,2018,3369,5338,63.11
01077,2018,20342,40130,50.69
01079,2018,7774,12568,61.86
01081,2018,31845,72956,43.65
01083,2018,19876,39595,50.2
01085,2018,2109,3457,61.01
01087,2018,3760,7289,51.58
01089,2018,64895,172631,37.59
01091,2018,3638,6563,55.43
01093,2018,6878,11980,57.41
01095,2018,21810,38997,55.93
01097,2018,87752,174229,50.37
01099,2018,3724,6422,57.99
01101,2018,45169,100599,44.9
01103,2018,26585,51513,51.61
01105,2018,1330,2325,57.2
01107,2018,4125,7136,57.81
01109,2018,6956,14093,49.36
01111,2018,5281,8628,61.21
01113,2018,12077,23550,51.28
01115,2018,20052,38881,51.57
01117,2018,38486,105724,36.4
01119,2018,2329,4207,55.36
01121,2018,17479,31082,56.24
01123,2018,8476,15083,56.2
01125,2018,47878,93450,51.23
01127,2018,14756,24707,59.72
01129,2018,3517,5538,63.51
01131,2018,1677,2882,58.19
01133,2018,5795,9000,64.39
02013,2018,1746,2395,72.9
02016,2018,2695,3889,69.3
02020,2018,66187,150201,44.07
02050,2018,2932,6178,47.46
02060,2018,246,488,50.41
02068,2018,820,1478,55.48
02070,2018,922,2024,45.55
02090,2018,22868,46543,49.13
02100,2018,551,1329,41.46
02105,2018,524,1068,49.06
02110,2018,7104,17562,40.45
02122,2018,13839,25564,54.13
02130,2018,3511,7017,50.04
02150,2018,3991,6919,57.68
02158,2018,1054,2088,50.48
02164,2018,286,594,48.15
02170,2018,22154,43000,51.52
02180,2018,1623,3664,44.3
02185,2018,2819,5465,51.58
02188,2018,1326,2636,50.3
02195,2018,978,1577,62.02
02198,2018,1508,2789,54.07
02220,2018,2108,4746,44.42
02230,2018,289,695,41.58
02240,2018,1660,2896,57.32
02261,2018,2400,4744,50.59
02275,2018,520,1128,46.1
02282,2018,187,357,52.38
02290,2018,1008,2118,47.59
04001,2018,10215,18365,55.62
04003,2018,20520,43097,47.61
04005,2018,30287,66310,45.67
04007,2018,9899,18162,54.5
04009,2018,6909,12837,53.82
04011,2018,2557,3812,67.08
04012,2018,3809,6466,58.91
04013,2018,835738,2004236,41.7
04015,2018,38617,71244,54.2
04017,2018,18367,33272,55.2
04019,2018,199241,440596,45.22
04021,2018,74189,150294,49.36
04023,2018,8687,17233,50.41
04025,2018,41388,84142,49.19
04027,2018,44006,75912,57.97
05001,2018,4049,7796,51.94
05003,2018,5032,7728,65.11
05005,2018,8965,16232,55.23
05007,2018,53502,125343,42.68
05009,2018,8098,16145,50.16
05011,2018,2847,4209,67.64
05013,2018,1278,2155,59.3
05015,2018,6652,11867,56.05
05017,2018,1752,3583,48.9
05019,2018,5235,10475,49.98
05021,2018,3581,6249,57.31
05023,2018,6066,10235,59.27
05025,2018,1807,3230,55.94
05027,2018,5082,9469,53.67
05029,2018,5353,8870,60.35
05031,2018,25923,48814,53.11
05033,2018,14171,25985,54.54
05035,2018,11198,20402,54.89
05037,2018,4208,7516,55.99
05039,2018,1968,2944,66.85
05041,2018,2461,4426,55.6
05043,2018,3922,7825,50.12
05045,2018,25702,57226,44.91
05047,2018,3733,6773,55.12
05049,2018,2253,4045,55.7
05051,2018,20553,40302,51.0
05053,2018,4121,7594,54.27
05055,2018,11074,18971,58.37
05057,2018,5368,8834,60.77
05059,2018,7494,13232,56.64
05061,2018,3328,5559,59.87
05063,2018,8856,15547,56.96
05065,2018,2778,4654,59.69
05067,2018,3426,5563,61.59
05069,2018,14422,26047,55.37
05071,2018,6098,10363,58.84
05073,2018,1419,2630,53.95
05075,2018,3526,6613,53.32
05077,2018,1753,2708,64.73
05079,2018,2015,3366,59.86
05081,2018,2844,4804,59.2
05083,2018,5339,8723,61.21
05085,2018,15475,32335,47.86
05087,2018,3729,6574,56.72
05089,2018,3032,5322,56.97
05091,2018,9131,17600,51.88
05093,2018,10617,17337,61.24
05095,2018,1688,2984,56.57
05097,2018,1971,3284,60.02
05099,2018,2296,3151,72.87
05101,2018,1700,3080,55.19
05103,2018,5621,9839,57.13
05105,2018,2015,3763,53.55
05107,2018,3881,6851,56.65
05109,2018,2879,4548,63.3
05111,2018,5664,9539,59.38
05113,2018,4369,7292,59.91
05115,2018,15244,27105,56.24
05117,2018,1951,3465,56.31
05119,2018,79842,184451,43.29
05121,2018,4464,6831,65.35
05123,2018,5433,8697,62.47
05125,2018,27222,56382,48.28
05127,2018,2450,3763,65.11
05129,2018,1802,3129,57.59
05131,2018,30689,56926,53.91
05133,2018,4940,7498,65.88
05135,2018,3411,5871,58.1
05137,2018,2903,4540,63.94
05139,2018,7820,15821,49.43
05141,2018,3337,5675,58.8
05143,2018,50644,110021,46.03
05145,2018,16915,32028,52.81
05147,2018,1184,2526,46.87
05149,2018,5338,8983,59.42
06001,2018,303815,847170,35.86
06003,2018,174,366,47.54
06005,2018,6230,13289,46.88
06007,2018,45541,94908,47.98
06009,2018,7814,17114,45.66
06011,2018,5863,9663,60.67
06013,2018,208362,547323,38.07
06015,2018,5183,8823,58.74
06017,2018,32854,83049,39.56
06019,2018,214436,400175,53.59
06021,2018,6659,10994,60.57
06023,2018,28550,60970,46.83
06025,2018,33517,59919,55.94
06027,2018,4038,8090,49.91
06029,2018,193828,339384,57.11
06031,2018,31361,53217,58.93
06033,2018,13492,23589,57.2
06035,2018,5102,8788,58.06
06037,2018,2122123,4869658,43.58
06039,2018,33265,57799,57.55
06041,2018,39517,131425,30.07
06043,2018,3643,7051,51.67
06045,2018,19160,37712,50.81
06047,2018,60776,102638,59.21
06049,2018,1617,3125,51.74
06051,2018,3625,8278,43.79
06053,2018,102604,185025,55.45
06055,2018,33791,70888,47.67
06057,2018,18311,43368,42.22
06059,2018,597830,1578079,37.88
06061,2018,63881,173493,36.82
06063,2018,4132,7536,54.83
06065,2018,509147,1007795,50.52
06067,2018,288606,686019,42.07
06069,2018,15265,28831,52.95
06071,2018,465189,892435,52.13
06073,2018,628959,1564930,40.19
06075,2018,148661,515382,28.84
06077,2018,166262,305509,54.42
06079,2018,57928,129358,44.78
06081,2018,144282,409911,35.2
06083,2018,99844,211751,47.15
06085,2018,316684,985838,32.12
06087,2018,56852,134904,42.14
06089,2018,35999,72392,49.73
06091,2018,760,1251,60.75
06093,2018,8667,16725,51.82
06095,2018,100556,202713,49.61
06097,2018,113531,253421,44.8
06099,2018,122241,222532,54.93
06101,2018,20842,38664,53.91
06103,2018,14018,24265,57.77
06105,2018,2458,4758,51.66
06107,2018,105311,177236,59.42
06109,2018,11241,20930,53.71
06111,2018,179082,412228,43.44
06113,2018,40943,97374,42.05
06115,2018,15726,28954,54.31
08001,2018,124525,255711,48.7
08003,2018,3543,6894,51.39
08005,2018,131795,339873,38.78
08007,2018,2809,5823,48.24
08009,2018,847,1627,52.06
08011,2018,824,1526,54.0
08013,2018,53446,173653,30.78
08014,2018,10624,36792,28.88
08015,2018,4503,8674,51.91
08017,2018,381,835,45.63
08019,2018,2439,5287,46.13
08021,2018,1642,2882,56.97
08023,2018,743,1287,57.73
08025,2018,1111,1821,61.01
08027,2018,852,1405,60.64
08029,2018,5869,10912,53.78
08031,2018,148109,389034,38.07
08033,2018,437,855,51.11
08035,2018,46783,176575,26.49
08037,2018,16405,33571,48.87
08039,2018,5684,13449,42.26
08041,2018,131478,314102,41.86
08043,2018,7511,14196,52.91
08045,2018,14948,31397,47.61
08047,2018,1256,3645,34.46
08049,2018,4623,8630,53.57
08051,2018,4752,9560,49.71
08053,2018,172,404,42.57
08055,2018,1243,2593,47.94
08057,2018,346,672,51.49
08059,2018,109784,312767,35.1
08061,2018,325,673,48.29
08063,2018,1770,3587,49.34
08065,2018,1772,4129,42.92
08067,2018,11974,29546,40.53
08069,2018,69643,177391,39.26
08071,2018,3113,6021,51.7
08073,2018,566,1529,37.02
08075,2018,6063,10690,56.72
08077,2018,33637,69681,48.27
08079,2018,197,422,46.68
08081,2018,3530,6266,56.34
08083,2018,5650,11183,50.52
08085,2018,8969,17337,51.73
08087,2018,8465,13191,64.17
08089,2018,4020,6993,57.49
08091,2018,949,2346,40.45
08093,2018,3869,9038,42.81
08095,2018,1108,2028,54.64
08097,2018,3859,11742,32.86
08099,2018,2795,5350,52.24
08101,2018,35720,67809,52.68
08103,2018,1547,2935,52.71
08105,2018,2510,4481,56.01
08107,2018,6726,14631,45.97
08109,2018,1471,2510,58.61
08111,2018,139,310,44.84
08113,2018,1997,5075,39.35
08115,2018,460,970,47.42
08117,2018,9773,19827,49.29
08119,2018,5372,11679,46.0
08121,2018,1068,2297,46.5
08123,2018,70184,146177,48.01
08125,2018,2898,5078,57.07
09001,2018,173758,475513,36.54
09003,2018,179624,447893,40.1
09005,2018,41169,97390,42.27
09007,2018,33618,89022,37.76
09009,2018,183195,427791,42.82
09011,2018,56886,133036,42.76
09013,2018,32223,80396,40.08
09015,2018,28806,59404,48.49
10001,2018,39929,79233,50.39
10003,2018,108377,274190,39.53
10005,2018,48150,97523,49.37
11001,2018,92135,369194,24.96
12001,2018,50889,123777,41.11
12003,2018,5575,10762,51.8
12005,2018,40877,81102,50.4
12007,2018,5086,9324,54.55
12009,2018,105052,245287,42.83
12011,2018,403973,949870,42.53
12013,2018,3079,4799,64.16
12015,2018,29637,60875,48.69
12017,2018,24101,45771,52.66
12019,2018,42500,93396,45.51
12021,2018,78016,154513,50.49
12023,2018,14526,25965,55.94
12027,2018,9428,13309,70.84
12029,2018,3031,4768,63.57
12031,2018,189917,440797,43.08
12033,2018,60364,134938,44.73
12035,2018,18523,40662,45.55
12037,2018,2585,4158,62.17
12039,2018,8247,16386,50.33
12041,2018,3737,6775,55.16
12043,2018,2092,3763,55.59
12045,2018,3076,5654,54.4
12047,2018,2022,3658,55.28
12049,2018,6152,10011,61.45
12051,2018,10834,16808,64.46
12053,2018,32443,66227,48.99
12055,2018,17407,32793,53.08
12057,2018,275209,665406,41.36
12059,2018,3663,6567,55.78
12061,2018,26880,56931,47.22
12063,2018,9014,16418,54.9
12065,2018,2536,5247,48.33
12067,2018,1206,2456,49.1
12069,2018,61792,135768,45.51
12071,2018,143945,299106,48.13
12073,2018,49878,145442,34.29
12075,2018,8656,14954,57.88
12077,2018,1392,2425,57.4
12079,2018,3337,6169,54.09
12081,2018,71748,156850,45.74
12083,2018,61104,122825,49.75
12085,2018,28983,65578,44.2
12086,2018,591679,1301540,45.46
12087,2018,19594,40392,48.51
12089,2018,17467,36402,47.98
12091,2018,39473,87493,45.12
12093,2018,9132,14722,62.03
12095,2018,279744,661930,42.26
12097,2018,78050,155492,50.2
12099,2018,288248,669887,43.03
12101,2018,91433,208871,43.77
12103,2018,181906,446120,40.78
12105,2018,137859,273691,50.37
12107,2018,14569,24985,58.31
12109,2018,38495,108015,35.64
12111,2018,66644,126185,52.81
12113,2018,32322,72986,44.29
12115,2018,76249,166424,45.82
12117,2018,80395,226769,35.45
12119,2018,11636,25437,45.74
12121,2018,10010,16817,59.52
12123,2018,3636,6486,56.06
12125,2018,2112,3724,56.71
12127,2018,103978,220015,47.26
12129,2018,5740,13328,43.07
12131,2018,12608,29404,42.88
12133,2018,5083,8527,59.61
13001,2018,4621,7296,63.34
13003,2018,1926,3168,60.8
13005,2018,2437,4146,58.78
13007,2018,652,1251,52.12
13009,2018,9584,17708,54.12
13011,2018,4570,7795,58.63
13013,2018,16660,35632,46.76
13015,2018,24350,47997,50.73
13017,2018,3656,6313,57.91
13019,2018,4476,7085,63.18
13021,2018,29857,62200,48.0
13023,2018,2492,4230,58.91
13025,2018,3945,6729,58.63
13027,2018,3009,5800,51.88
13029,2018,6816,15755,43.26
13031,2018,17053,33249,51.29
13033,2018,5514,9028,61.08
13035,2018,4660,8915,52.27
13037,2018,1011,1622,62.33
13039,2018,10361,21340,48.55
13043,2018,2443,4272,57.19
13045,2018,26663,50923,52.36
13047,2018,14717,31719,46.4
13049,2018,2575,4199,61.32
13051,2018,65672,135574,48.44
13053,2018,1101,2177,50.57
13055,2018,5703,8946,63.75
13057,2018,42777,122561,34.9
13059,2018,26549,58766,45.18
13061,2018,496,876,56.62
13063,2018,67232,126643,53.09
13065,2018,1319,2257,58.44
13067,2018,137516,389803,35.28
13069,2018,9490,16627,57.08
13071,2018,11474,18736,61.24
13073,2018,28364,65411,43.36
13075,2018,4037,7078,57.04
13077,2018,31243,68690,45.48
13079,2018,2631,4644,56.65
13081,2018,4599,8798,52.27
13083,2018,3934,7331,53.66
13085,2018,4734,11230,42.15
13087,2018,5434,9645,56.34
13089,2018,145471,375217,38.77
13091,2018,4398,7467,58.9
13093,2018,3209,5038,63.7
13095,2018,18622,35167,52.95
13097,2018,30817,67891,45.39
13099,2018,2181,3761,57.99
13101,2018,994,1675,59.34
13103,2018,14723,28083,52.43
13105,2018,4496,7626,58.96
13107,2018,5117,8340,61.35
13109,2018,2296,4297,53.43
13111,2018,5018,9586,52.35
13113,2018,19386,52689,36.79
13115,2018,22395,41259,54.28
13117,2018,30771,109504,28.1
13119,2018,4909,8644,56.79
13121,2018,159352,516732,30.84
13123,2018,7138,12787,55.82
13125,2018,847,1364,62.1
13127,2018,18899,38572,49.0
13129,2018,15190,25667,59.18
13131,2018,5963,10303,57.88
13133,2018,3253,6305,51.59
13135,2018,185261,450670,41.11
13137,2018,9719,18083,53.75
13139,2018,48803,91959,53.07
13141,2018,1166,1977,58.98
13143,2018,6943,12285,56.52
13145,2018,6910,15186,45.5
13147,2018,5454,9948,54.83
13149,2018,3248,4905,66.22
13151,2018,48115,104676,45.97
13153,2018,30570,68567,44.58
13155,2018,1892,3277,57.74
13157,2018,13879,29560,46.95
13159,2018,3157,5349,59.02
