"","STATEFP","year","essnWrkE","wrkPopE","essnWrkP"
"1",1,2018,1026959,2076708,49.45
"2",2,2018,167856,351152,47.8
"3",4,2018,1344429,3045978,44.14
"4",5,2018,658909,1292263,50.99
"5",6,2018,7920148,18309012,43.26
"6",8,2018,1151623,2839374,40.56
"7",9,2018,729279,1810445,40.28
"8",10,2018,196456,450946,43.57
"9",11,2018,92135,369194,24.96
"10",12,2018,4120574,9253932,44.53
"11",13,2018,2108005,4721065,44.65
"12",15,2018,313938,677446,46.34
"13",16,2018,368213,768701,47.9
"14",17,2018,2746439,6225964,44.11
"15",18,2018,1598278,3164414,50.51
"16",19,2018,767333,1609481,47.68
"17",20,2018,658949,1428660,46.12
"18",21,2018,991654,1959442,50.61
"19",22,2018,1011686,2031115,49.81
"20",23,2018,312792,665188,47.02
"21",24,2018,1190162,3051333,39
"22",25,2018,1410862,3570257,39.52
"23",26,2018,2204163,4598487,47.93
"24",27,2018,1284453,2931458,43.82
"25",28,2018,650010,1228537,52.91
"26",29,2018,1339991,2888094,46.4
"27",30,2018,240904,507249,47.49
"28",31,2018,452975,993836,45.58
"29",32,2018,646533,1370603,47.17
"30",33,2018,306709,724017,42.36
"31",34,2018,1736504,4390602,39.55
"32",35,2018,412109,882735,46.69
"33",36,2018,3984668,9445023,42.19
"34",37,2018,2167395,4665822,46.45
"35",38,2018,191724,400841,47.83
"36",39,2018,2656660,5549577,47.87
"37",40,2018,854170,1761328,48.5
"38",41,2018,869004,1934643,44.92
"39",42,2018,2861537,6151998,46.51
"40",44,2018,237105,527972,44.91
"41",45,2018,1075650,2227307,48.29
"42",46,2018,211132,442773,47.68
"43",47,2018,1479413,3047809,48.54
"44",48,2018,5896795,12985624,45.41
"45",49,2018,597666,1452040,41.16
"46",50,2018,147102,328742,44.75
"47",51,2018,1647448,4118723,40
"48",53,2018,1509709,3513856,42.96
"49",54,2018,385150,742615,51.86
"50",55,2018,1433334,2964540,48.35
"51",56,2018,148096,290963,50.9
"52",72,2018,483151,1028500,46.98
