"","GEOID","year","essnWrkE","wrkPopE","essnWrkP"
"1",1001020100,2018,423,931,45.44
"2",1001020200,2018,409,750,54.53
"3",1001020300,2018,728,1624,44.83
"4",1001020400,2018,800,1663,48.11
"5",1001020500,2018,1574,4607,34.17
"6",1001020600,2018,608,1333,45.61
"7",1001020700,2018,816,1488,54.84
"8",1001020801,2018,412,1347,30.59
"9",1001020802,2018,2115,5070,41.72
"10",1001020900,2018,1550,3169,48.91
"11",1001021000,2018,573,1110,51.62
"12",1001021100,2018,652,1032,63.18
"13",1003010100,2018,1046,1748,59.84
"14",1003010200,2018,876,1333,65.72
"15",1003010300,2018,2091,3711,56.35
"16",1003010400,2018,1137,2198,51.73
"17",1003010500,2018,1127,2123,53.09
"18",1003010600,2018,1001,1284,77.96
"19",1003010701,2018,1381,3894,35.46
"20",1003010703,2018,3760,10069,37.34
"21",1003010704,2018,1077,2688,40.07
"22",1003010705,2018,2092,5556,37.65
"23",1003010800,2018,1102,2924,37.69
"24",1003010903,2018,1126,2317,48.6
"25",1003010904,2018,1430,2749,52.02
"26",1003010905,2018,2064,4178,49.4
"27",1003010906,2018,1218,2022,60.24
"28",1003011000,2018,936,1721,54.39
"29",1003011101,2018,2084,4741,43.96
"30",1003011102,2018,753,1959,38.44
"31",1003011201,2018,769,1843,41.73
"32",1003011202,2018,968,2214,43.72
"33",1003011300,2018,975,2127,45.84
"34",1003011401,2018,2587,5509,46.96
"35",1003011403,2018,1926,5167,37.28
"36",1003011405,2018,610,1987,30.7
"37",1003011406,2018,603,1632,36.95
"38",1003011407,2018,871,2262,38.51
"39",1003011408,2018,63,248,25.4
"40",1003011501,2018,1203,2695,44.64
"41",1003011502,2018,2441,5607,43.53
"42",1003011601,2018,1425,2755,51.72
"43",1003011602,2018,1157,2118,54.63
"44",1003990000,2018,0,0,-999
"45",1005950100,2018,475,1065,44.6
"46",1005950200,2018,553,876,63.13
"47",1005950300,2018,453,635,71.34
"48",1005950400,2018,605,952,63.55
"49",1005950500,2018,853,1411,60.45
"50",1005950600,2018,481,817,58.87
"51",1005950700,2018,270,602,44.85
"52",1005950800,2018,488,960,50.83
"53",1005950900,2018,922,1402,65.76
"54",1007010001,2018,569,836,68.06
"55",1007010002,2018,1704,2422,70.36
"56",1007010003,2018,1148,2159,53.17
"57",1007010004,2018,1711,2682,63.8
"58",1009050101,2018,1705,2907,58.65
"59",1009050102,2018,1434,2714,52.84
"60",1009050200,2018,1194,1672,71.41
"61",1009050300,2018,715,1377,51.92
"62",1009050400,2018,799,1550,51.55
"63",1009050500,2018,1523,2550,59.73
"64",1009050601,2018,931,1655,56.25
"65",1009050602,2018,2030,4025,50.43
"66",1009050700,2018,1660,2896,57.32
"67",1011952100,2018,323,464,69.61
"68",1011952200,2018,1406,2107,66.73
"69",1011952500,2018,799,1369,58.36
"70",1013952700,2018,494,956,51.67
"71",1013952800,2018,349,604,57.78
"72",1013952900,2018,648,931,69.6
"73",1013953000,2018,534,795,67.17
"74",1013953100,2018,570,960,59.38
"75",1013953200,2018,846,1392,60.78
"76",1013953300,2018,498,823,60.51
"77",1013953400,2018,484,935,51.76
"78",1013953500,2018,334,489,68.3
"79",1015000200,2018,715,1035,69.08
"80",1015000300,2018,584,846,69.03
"81",1015000400,2018,499,784,63.65
"82",1015000500,2018,217,272,79.78
"83",1015000600,2018,327,489,66.87
"84",1015000700,2018,659,932,70.71
"85",1015000800,2018,186,283,65.72
"86",1015000900,2018,572,1483,38.57
"87",1015001000,2018,1454,2776,52.38
"88",1015001100,2018,1886,3418,55.18
"89",1015001201,2018,709,1212,58.5
"90",1015001202,2018,1140,1927,59.16
"91",1015001300,2018,585,806,72.58
"92",1015001400,2018,638,1338,47.68
"93",1015001500,2018,1116,2087,53.47
"94",1015001600,2018,773,1419,54.47
"95",1015001700,2018,1373,2662,51.58
"96",1015001800,2018,1543,2889,53.41
"97",1015002000,2018,1703,3283,51.87
"98",1015002101,2018,552,1281,43.09
"99",1015002102,2018,624,1625,38.4
"100",1015002103,2018,1325,2794,47.42
"101",1015002200,2018,786,1351,58.18
"102",1015002300,2018,705,1216,57.98
"103",1015002400,2018,1105,2041,54.14
"104",1015002501,2018,1937,3783,51.2
"105",1015002502,2018,1263,1934,65.31
"106",1015002600,2018,1205,2191,55
"107",1015981901,2018,0,0,-999
"108",1015981902,2018,0,0,-999
"109",1015981903,2018,0,0,-999
"110",1017953800,2018,866,1394,62.12
"111",1017953900,2018,738,1437,51.36
"112",1017954000,2018,1645,2534,64.92
"113",1017954200,2018,843,1423,59.24
"114",1017954300,2018,1182,2488,47.51
"115",1017954400,2018,226,361,62.6
"116",1017954500,2018,1346,1731,77.76
"117",1017954600,2018,683,1377,49.6
"118",1017954700,2018,1308,2041,64.09
"119",1019955701,2018,879,1351,65.06
"120",1019955702,2018,821,1151,71.33
"121",1019955800,2018,1647,2377,69.29
"122",1019955900,2018,1052,1579,66.62
"123",1019956000,2018,745,1414,52.69
"124",1019956100,2018,1270,1933,65.7
"125",1021060101,2018,997,1828,54.54
"126",1021060102,2018,1362,2631,51.77
"127",1021060200,2018,499,1037,48.12
"128",1021060300,2018,877,1406,62.38
"129",1021060401,2018,1257,2235,56.24
"130",1021060402,2018,2417,3622,66.73
"131",1021060500,2018,757,1186,63.83
"132",1021060600,2018,817,1577,51.81
"133",1021060700,2018,1081,1978,54.65
"134",1023956700,2018,558,908,61.45
"135",1023956800,2018,917,1523,60.21
"136",1023956900,2018,758,1156,65.57
"137",1023957000,2018,439,677,64.84
"138",1025957500,2018,288,453,63.58
"139",1025957601,2018,254,392,64.8
"140",1025957602,2018,1183,1890,62.59
"141",1025957700,2018,244,320,76.25
"142",1025957800,2018,1008,1465,68.81
"143",1025957901,2018,590,1082,54.53
"144",1025957902,2018,701,1161,60.38
"145",1025958001,2018,370,531,69.68
"146",1025958002,2018,257,353,72.8
"147",1027958900,2018,1430,2331,61.35
"148",1027959000,2018,706,1119,63.09
"149",1027959100,2018,916,1283,71.4
"150",1027959200,2018,631,809,78
"151",1029959500,2018,797,1160,68.71
"152",1029959600,2018,599,1147,52.22
"153",1029959700,2018,662,1440,45.97
"154",1029959800,2018,1106,1881,58.8
"155",1031010100,2018,511,948,53.9
"156",1031010200,2018,394,716,55.03
"157",1031010300,2018,1041,2006,51.89
"158",1031010400,2018,413,749,55.14
"159",1031010500,2018,1121,1781,62.94
"160",1031010600,2018,338,599,56.43
"161",1031010700,2018,644,1078,59.74
"162",1031010800,2018,605,1182,51.18
"163",1031010900,2018,542,995,54.47
"164",1031011000,2018,807,1379,58.52
"165",1031011100,2018,484,856,56.54
"166",1031011201,2018,1858,4191,44.33
"167",1031011202,2018,2195,3844,57.1
"168",1031011300,2018,1056,1401,75.37
"169",1033020100,2018,707,1479,47.8
"170",1033020200,2018,472,745,63.36
"171",1033020300,2018,452,619,73.02
"172",1033020400,2018,387,741,52.23
"173",1033020500,2018,1285,2410,53.32
"174",1033020600,2018,783,1524,51.38
"175",1033020701,2018,1673,3064,54.6
"176",1033020703,2018,1022,2366,43.2
"177",1033020704,2018,846,1878,45.05
"178",1033020801,2018,1154,1783,64.72
"179",1033020802,2018,957,1344,71.21
"180",1033020901,2018,1055,1661,63.52
"181",1033020902,2018,941,1475,63.8
"182",1033021000,2018,797,1347,59.17
"183",1035960200,2018,360,538,66.91
"184",1035960300,2018,281,432,65.05
"185",1035960400,2018,980,1277,76.74
"186",1035960500,2018,223,484,46.07
"187",1035960600,2018,702,1161,60.47
"188",1037961000,2018,757,1251,60.51
"189",1037961100,2018,870,1488,58.47
"190",1037961200,2018,754,1371,55
"191",1039961600,2018,930,1749,53.17
"192",1039961700,2018,853,1639,52.04
"193",1039961800,2018,714,1199,59.55
"194",1039961900,2018,471,905,52.04
"195",1039962000,2018,723,1694,42.68
"196",1039962100,2018,500,683,73.21
"197",1039962300,2018,800,1335,59.93
"198",1039962400,2018,693,1301,53.27
"199",1039962500,2018,262,485,54.02
"200",1039962600,2018,352,517,68.09
"201",1039962700,2018,461,621,74.24
"202",1039962800,2018,455,742,61.32
"203",1039962900,2018,475,892,53.25
"204",1039963000,2018,719,1137,63.24
"205",1041963400,2018,476,820,58.05
"206",1041963500,2018,451,862,52.32
"207",1041963600,2018,711,1119,63.54
"208",1041963700,2018,902,1666,54.14
"209",1041963800,2018,241,522,46.17
"210",1041963900,2018,384,623,61.64
"211",1043964100,2018,1249,2244,55.66
"212",1043964200,2018,1509,2730,55.27
"213",1043964300,2018,1465,2309,63.45
"214",1043964400,2018,922,1617,57.02
"215",1043964500,2018,1180,1888,62.5
"216",1043964600,2018,986,1484,66.44
"217",1043964700,2018,1442,2323,62.07
"218",1043964800,2018,932,1782,52.3
"219",1043964900,2018,1269,3045,41.67
"220",1043965000,2018,1398,2410,58.01
"221",1043965100,2018,965,1616,59.72
"222",1043965200,2018,573,1223,46.85
"223",1043965300,2018,1166,1841,63.34
"224",1043965401,2018,657,973,67.52
"225",1043965402,2018,1066,1718,62.05
"226",1043965500,2018,1120,2055,54.5
"227",1043965600,2018,428,730,58.63
"228",1043965700,2018,535,1015,52.71
"229",1045020000,2018,414,635,65.2
"230",1045020100,2018,845,1409,59.97
"231",1045020200,2018,570,976,58.4
"232",1045020300,2018,485,969,50.05
"233",1045020400,2018,294,890,33.03
"234",1045020500,2018,370,678,54.57
"235",1045020700,2018,511,966,52.9
"236",1045020801,2018,809,1345,60.15
"237",1045020802,2018,838,1676,50
"238",1045021101,2018,1094,2049,53.39
"239",1045021102,2018,779,1560,49.94
"240",1045021200,2018,698,917,76.12
"241",1045021300,2018,772,1894,40.76
"242",1045021400,2018,1272,2061,61.72
"243",1047956100,2018,1674,2999,55.82
"244",1047956201,2018,540,985,54.82
"245",1047956202,2018,511,825,61.94
"246",1047956300,2018,804,1408,57.1
"247",1047956400,2018,419,626,66.93
"248",1047956500,2018,705,920,76.63
"249",1047956600,2018,636,1052,60.46
"250",1047956701,2018,420,916,45.85
"251",1047956702,2018,208,440,47.27
"252",1047956800,2018,546,796,68.59
"253",1047956900,2018,454,711,63.85
"254",1047957000,2018,224,346,64.74
"255",1047957100,2018,378,510,74.12
"256",1047957200,2018,332,447,74.27
"257",1047957300,2018,913,1314,69.48
"258",1049960100,2018,1598,2467,64.78
"259",1049960200,2018,709,1116,63.53
"260",1049960300,2018,2054,3011,68.22
"261",1049960400,2018,1551,2792,55.55
"262",1049960500,2018,1299,2316,56.09
"263",1049960600,2018,1166,2271,51.34
"264",1049960700,2018,2436,3489,69.82
"265",1049960800,2018,1191,1791,66.5
"266",1049960900,2018,871,1381,63.07
"267",1049961000,2018,1041,1679,62
"268",1049961100,2018,773,1249,61.89
"269",1049961200,2018,552,1177,46.9
"270",1049961300,2018,1350,2422,55.74
"271",1049961400,2018,831,1476,56.3
"272",1051030100,2018,1303,2505,52.02
"273",1051030200,2018,941,1624,57.94
"274",1051030300,2018,526,1111,47.34
"275",1051030400,2018,1545,2917,52.97
"276",1051030500,2018,984,2050,48
"277",1051030600,2018,921,1829,50.36
"278",1051030701,2018,1065,3257,32.7
"279",1051030702,2018,897,2111,42.49
