GEOID,year,unempP,povP,pciE
54001965500,2018,7.2,10.4,21334
54001965600,2018,8.7,34.5,22448
54001965700,2018,7.7,21.3,24045
54001965800,2018,8.6,28.7,20290
54003971101,2018,3.1,6.9,29636
54003971102,2018,5.2,8.6,30002
54003971201,2018,6.6,7.9,28825
54003971202,2018,7.8,3.8,32534
54003971300,2018,7,16.9,23888
54003971400,2018,3.6,11.1,32105
54003971500,2018,11.3,26.8,21767
54003971600,2018,9.9,33.2,23444
54003971700,2018,13.4,27.2,23558
54003971800,2018,5.5,4.2,33556
54003971900,2018,7.6,10.2,29227
54003972000,2018,7.1,17,30467
54003972101,2018,8.8,8,30365
54003972102,2018,7,12.5,26865
54005958200,2018,8,31.2,22432
54005958300,2018,4.8,23,21313
54005958400,2018,6.9,30.4,23125
54005958501,2018,8.5,26.5,22935
54005958502,2018,15.6,17.2,21064
54005958600,2018,9.3,18.7,20444
54005958700,2018,9.5,16.5,20555
54005958800,2018,11.1,26.1,18445
54007967900,2018,13.3,27.4,20399
54007968000,2018,14.2,19.6,23038
54007968100,2018,14.1,17.5,21658
54009031101,2018,1.8,11.5,28961
54009031102,2018,4.3,11,27423
54009031200,2018,4.1,21,22437
54009031400,2018,0.8,19.1,22825
54009031600,2018,4.7,7.5,26573
54009031700,2018,2.8,11.3,22773
54011000101,2018,13.1,36.4,14587
54011000102,2018,5,16.1,22530
54011000200,2018,2.4,34.4,14647
54011000300,2018,12.9,24.2,19812
54011000400,2018,8.6,66.3,10828
54011000500,2018,15.7,67.2,5135
54011000600,2018,5.2,64.1,12309
54011000900,2018,12.4,48.6,15227
54011001000,2018,8.3,38.4,14923
54011001100,2018,6.5,33.3,18122
54011001200,2018,0.6,11.1,34244
54011001300,2018,4.7,29.7,31644
54011001400,2018,3.3,32.1,25992
54011001500,2018,9.6,34.3,18888
54011001600,2018,18.5,43.6,11136
54011001800,2018,13.8,51.3,9761
54011001900,2018,6.7,14.2,33387
54011002000,2018,1.3,6,40975
54011002100,2018,5.3,16.9,42845
54011010102,2018,1.2,11.7,29088
54011010201,2018,4.9,18.1,30072
54011010202,2018,1.3,9.5,30861
54011010300,2018,2.9,13.7,28471
54011010400,2018,2.6,10.3,27609
54011010500,2018,3.7,7.4,25206
54011010600,2018,4.5,12.8,29590
54011010700,2018,3.5,10.6,24268
54011010800,2018,6.2,19.4,25397
54011010900,2018,7.2,51.6,18134
54013962600,2018,13.7,16.4,20575
54013962700,2018,16.6,20.7,19404
54015957900,2018,2.7,19,17088
54015958000,2018,17,40.8,16281
54015958100,2018,8.9,22.7,16925
54017965000,2018,1.8,11.3,22065
54017965100,2018,9.2,20.2,23260
54019020100,2018,3.1,15.3,25797
54019020201,2018,12.5,15.6,20620
54019020202,2018,11.2,25.8,21971
54019020300,2018,5.5,22.9,25011
54019020400,2018,8.7,32.4,15085
54019020500,2018,13.5,31.8,17956
54019020600,2018,6.5,21.9,22004
54019020700,2018,5.4,19.4,20777
54019020800,2018,7.4,20.2,17146
54019020900,2018,6.1,12.9,26546
54019021000,2018,6.2,11.4,24315
54019021100,2018,6.3,14.9,20332
54021967700,2018,7.5,10.8,17660
54021967800,2018,13.2,35.5,16538
54023969400,2018,5.3,13.2,22426
54023969500,2018,6.8,6.4,24681
54023969600,2018,3.3,16.8,21650
54025950100,2018,4.1,21.8,18970
54025950200,2018,8.9,25.4,15766
54025950300,2018,10,25.5,19022
54025950400,2018,7.9,13.9,27100
54025950500,2018,1.2,13.5,24187
54025950600,2018,5.1,13,29520
54025950700,2018,8.6,17.9,27304
54027968200,2018,3.7,11.1,27325
54027968300,2018,8.7,22,17747
54027968400,2018,4.3,25.4,20327
54027968500,2018,7.4,17.6,27807
54027968600,2018,3.3,24.1,24109
54029020600,2018,2.8,9.6,31701
54029020700,2018,5.5,7.2,27155
54029020900,2018,9.6,17.5,18438
54029021100,2018,0.9,9.3,32641
54029021200,2018,6.8,12.5,24306
54029021300,2018,14.2,26.6,21029
54029021400,2018,9.5,13.4,24307
54029021500,2018,9.7,11.6,23285
54031970100,2018,1.1,5.2,30460
54031970200,2018,4.3,15.2,24328
54031970300,2018,3.4,12.4,25931
54033030100,2018,12.9,28.6,16222
54033030200,2018,7.7,21.5,23978
54033030300,2018,7.2,32.1,16098
54033030400,2018,2.1,14.8,27566
54033030500,2018,5.4,9.9,27310
54033030601,2018,11.4,21.3,21090
54033030602,2018,2.7,14.5,28513
54033030700,2018,13.1,16.4,23399
54033030800,2018,11,18.2,31114
54033031000,2018,7.7,30.5,19274
54033031100,2018,6.2,13,35751
54033031200,2018,6,2.4,33557
54033031300,2018,0.9,11,26783
54033031400,2018,6.4,2.8,25894
54033031500,2018,10.2,11.4,31260
54033031600,2018,5.1,16.6,21226
54033031700,2018,5.1,15.2,22441
54033031800,2018,10.5,21.4,25560
54033031900,2018,5.4,11.8,24986
54033032000,2018,17.2,23.5,28477
54033032101,2018,7.2,12.5,40182
54033032102,2018,2.8,4.2,40450
54035963200,2018,2.8,19.8,20597
54035963300,2018,2.7,22.5,22668
54035963400,2018,6.5,20.6,19978
54035963500,2018,2.4,10.8,28880
54035963600,2018,5.7,18.3,23944
54035963700,2018,4.7,6.3,29532
54037972201,2018,4.2,6.5,38229
54037972203,2018,3,9.2,39601
54037972204,2018,8.5,13.6,30862
54037972300,2018,12.2,9.1,31239
54037972401,2018,12.6,27,21147
54037972402,2018,6.4,9,35281
54037972501,2018,4.7,3.7,38997
54037972503,2018,3.8,13.5,34504
54037972505,2018,10.6,26.5,31005
54037972506,2018,8.3,10.4,31892
54037972601,2018,7.3,8.1,33432
54037972602,2018,7.2,0.7,39517
54037972701,2018,10.1,17.4,30645
54037972702,2018,7.2,8.4,33471
54037972800,2018,2.6,4.3,39514
54039000100,2018,12.1,44.1,15665
54039000200,2018,9.5,36.1,19064
54039000300,2018,5.8,24.4,21192
54039000500,2018,8.5,12.3,28660
54039000600,2018,6.9,16.2,24518
54039000700,2018,4.7,25.5,14129
54039000800,2018,10.7,35.1,21076
54039000900,2018,14.4,56.7,25875
54039001100,2018,8.5,26.2,34644
54039001200,2018,5.3,28.9,22070
54039001300,2018,6.7,22.6,37355
54039001500,2018,4.1,10.6,45723
54039001700,2018,3.6,29.5,25111
54039001800,2018,5.9,16.9,51086
54039001901,2018,2.3,2.1,51293
54039001902,2018,3.5,9.3,59995
54039002000,2018,0.5,4.3,46646
54039002100,2018,2.3,22.4,32275
54039010100,2018,6.9,9.4,27136
54039010200,2018,2.2,7.3,28616
54039010300,2018,5,15.7,23959
54039010400,2018,4.1,27.5,19538
54039010500,2018,1.9,13.9,35699
54039010600,2018,6.7,12.1,33822
54039010701,2018,9.1,14.9,25997
54039010702,2018,2.5,12,28637
54039010801,2018,3.6,17.5,27432
54039010802,2018,1.3,12.8,21465
54039010900,2018,4.4,10.1,22654
54039011000,2018,5.9,8.6,33485
54039011100,2018,6.1,10.9,21711
54039011200,2018,7.8,12.8,20198
54039011301,2018,7.4,19.9,20166
54039011302,2018,6.2,8.9,30643
54039011401,2018,3,13.9,26836
54039011402,2018,3.2,12.7,24255
54039011500,2018,12.1,15.9,24755
54039011800,2018,4.1,20.3,22841
54039012100,2018,13.4,24.1,18944
54039012200,2018,15.8,31.8,16786
54039012300,2018,5.8,12.9,27118
54039012800,2018,6.4,5.6,33089
54039012900,2018,3.5,20.5,23372
54039013000,2018,4.2,20.3,29100
54039013100,2018,5.4,17.8,32561
54039013200,2018,6.5,21.7,20442
54039013300,2018,4.1,3.6,32211
54039013400,2018,13.3,38.7,17170
54039013500,2018,10,18.2,25767
54039013600,2018,5.8,23.7,31000
54039013701,2018,3.2,5,31058
54039013702,2018,10.3,16.4,24452
54039013800,2018,15.5,40.8,13056
54041967200,2018,2.6,14.5,23258
54041967300,2018,4.4,21.3,26563
54041967400,2018,10.7,28.2,20462
54041967500,2018,11.8,23.7,19147
54041967600,2018,3.5,19.1,21566
54043955400,2018,4.7,13.1,25014
54043955500,2018,8,39.8,15540
54043955600,2018,6.5,24,19196
54043955700,2018,10.1,27.6,16790
54043955800,2018,6.7,26.2,18163
54045956101,2018,11.1,13.1,26479
54045956102,2018,8.8,18.6,24901
54045956200,2018,21,26.4,19996
54045956400,2018,5.9,29.3,23278
54045956500,2018,21.8,40.1,18650
54045956600,2018,6.6,18.4,19621
54045956700,2018,17.3,27.7,19134
54045956800,2018,23.4,24.9,19120
54045956900,2018,10.4,28.5,20173
54047953600,2018,11.5,36,12830
54047953800,2018,4.7,31.7,15057
54047953900,2018,10.6,50.4,10623
54047954000,2018,14.8,28.6,16011
54047954200,2018,17,47.1,13244
54047954501,2018,14.9,20.6,15761
54047954503,2018,8.2,28.5,14701
54047954504,2018,2.8,31.5,14954
54049020100,2018,14.5,58.6,11617
54049020200,2018,8,44.9,12307
54049020300,2018,5.4,13.2,32818
54049020400,2018,5.8,15.6,34815
54049020500,2018,10.9,38.3,17377
54049020600,2018,6.4,23.2,21407
54049020700,2018,4.7,15.1,22365
54049020800,2018,5.5,26.2,25816
54049020900,2018,5,12.2,31741
54049021000,2018,5.8,10.4,28042
54049021100,2018,0.6,4.1,33413
54049021200,2018,5,8.2,32998
54049021300,2018,7.6,19.2,24529
54049021400,2018,4,12.2,27335
54049021500,2018,9.6,14.1,24335
54049021600,2018,6.5,12.3,21551
54049021700,2018,7.6,17.5,27704
54049021800,2018,2.1,16.9,21866
54051020200,2018,17.5,24.5,18614
54051020500,2018,7.4,23.1,19955
54051020601,2018,3.7,16.1,26156
