"","NAME","FIPS","year","povP","UnempP","pciE"
"1","Autauga County, Alabama","01001",2000,10.92,4.88,18518
"2","Baldwin County, Alabama","01003",2000,10.15,4.28,20826
"3","Barbour County, Alabama","01005",2000,26.8,5.66,13316
"4","Bibb County, Alabama","01007",2000,20.61,6.24,14105
"5","Blount County, Alabama","01009",2000,11.74,4.85,16325
"6","Bullock County, Alabama","01011",2000,33.48,8.56,10163
"7","Butler County, Alabama","01013",2000,24.62,10.63,15715
"8","Calhoun County, Alabama","01015",2000,16.11,6.59,17367
"9","Chambers County, Alabama","01017",2000,17.04,6.52,15147
"10","Cherokee County, Alabama","01019",2000,15.56,3.87,15543
"11","Chilton County, Alabama","01021",2000,15.7,4.3,15303
"12","Choctaw County, Alabama","01023",2000,24.51,8.77,14635
"13","Clarke County, Alabama","01025",2000,22.59,8.93,14581
"14","Clay County, Alabama","01027",2000,17.11,5.47,13785
"15","Cleburne County, Alabama","01029",2000,13.95,5.31,14762
"16","Coffee County, Alabama","01031",2000,14.7,5.69,18321
"17","Colbert County, Alabama","01033",2000,13.96,5.16,17533
"18","Conecuh County, Alabama","01035",2000,26.59,9.81,12964
"19","Coosa County, Alabama","01037",2000,14.93,7.08,14875
"20","Covington County, Alabama","01039",2000,18.45,7.62,15365
"21","Crenshaw County, Alabama","01041",2000,22.11,5.37,14565
"22","Cullman County, Alabama","01043",2000,13,4.13,16922
"23","Dale County, Alabama","01045",2000,15.09,7.65,16010
"24","Dallas County, Alabama","01047",2000,31.05,11.16,13638
"25","DeKalb County, Alabama","01049",2000,15.39,5.13,15818
"26","Elmore County, Alabama","01051",2000,10.24,4.97,17650
"27","Escambia County, Alabama","01053",2000,20.87,7,14396
"28","Etowah County, Alabama","01055",2000,15.7,5.96,16783
"29","Fayette County, Alabama","01057",2000,17.32,7.67,14439
"30","Franklin County, Alabama","01059",2000,18.89,5.58,14814
"31","Geneva County, Alabama","01061",2000,19.62,7.97,14620
"32","Greene County, Alabama","01063",2000,34.28,13.11,13686
"33","Hale County, Alabama","01065",2000,26.88,7.99,12661
"34","Henry County, Alabama","01067",2000,19.06,6.31,15681
"35","Houston County, Alabama","01069",2000,15,5.23,18759
"36","Jackson County, Alabama","01071",2000,13.67,5.13,16000
"37","Jefferson County, Alabama","01073",2000,14.77,6.31,20892
"38","Lamar County, Alabama","01075",2000,16.09,7.1,14435
"39","Lauderdale County, Alabama","01077",2000,14.43,5.6,18626
"40","Lawrence County, Alabama","01079",2000,15.25,6.23,16515
"41","Lee County, Alabama","01081",2000,21.81,5.76,17158
"42","Limestone County, Alabama","01083",2000,12.35,4.26,17782
"43","Lowndes County, Alabama","01085",2000,31.37,11.93,12457
"44","Macon County, Alabama","01087",2000,32.84,12.29,13714
"45","Madison County, Alabama","01089",2000,10.55,5.73,23091
"46","Marengo County, Alabama","01091",2000,25.9,8.74,15308
"47","Marion County, Alabama","01093",2000,15.64,8.09,15321
"48","Marshall County, Alabama","01095",2000,14.66,5.75,17089
"49","Mobile County, Alabama","01097",2000,18.51,7.6,17178
"50","Monroe County, Alabama","01099",2000,21.32,8.38,14862
"51","Montgomery County, Alabama","01101",2000,17.34,6.66,19358
"52","Morgan County, Alabama","01103",2000,12.29,5.41,19223
"53","Perry County, Alabama","01105",2000,35.36,14.71,10948
"54","Pickens County, Alabama","01107",2000,24.91,8.22,13746
"55","Pike County, Alabama","01109",2000,23.07,9.29,14904
"56","Randolph County, Alabama","01111",2000,17.01,5.34,14147
