COUNTYFP,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
1001,23315,90.56,9.44,18.35,23.2,25.11,39.2217243
1003,111945,70.23,29.77,11.68,19.84,26.38,70.41512163
1005,11937,76.95,23.05,29.19,34.44,38.6,13.48816705
1007,9161,74.66,25.34,28.54,36.47,24.93,14.71744734
1009,24222,85.05,14.95,25.22,29.72,21.37,37.563519
1011,4526,79.74,20.26,33.38,42.88,24.47,7.267148218
1013,10026,66.91,33.09,26.18,34.98,30.05,12.90621638
1015,53682,83.89,16.11,14.72,28.52,30.53,88.60393801
1017,16981,79.59,20.41,14,33,32.24,28.46495353
1019,16531,64.16,35.84,29.19,29.16,21.04,29.86509034
1021,19586,85.53,14.47,32.33,26.94,25.15,28.26881475
1023,7344,72.85,27.15,31.59,39.6,20.32,8.039732245
1025,12741,73.45,26.55,26.53,40.42,32.53,10.28815295
1027,6802,76.98,23.02,20.94,31.65,27.64,11.26236812
1029,6806,84.13,15.87,30.3,27.76,24.35,12.15136016
1031,23088,85.71,14.29,13.6,22.17,35.21,34.00379773
1033,26466,82.37,17.63,9.28,30.25,27.29,44.65010185
1035,7143,64.03,35.97,28.74,41.25,23.39,8.401591287
1037,6558,62.56,37.44,30.73,43.16,18.01,10.07516196
1039,18907,79.38,20.62,21.58,30.22,25.97,18.34648293
1041,6790,74.01,25.99,27.3,31.95,26.19,11.15195078
1043,37652,81.62,18.38,22.88,29.26,25.42,51.24274215
1045,23065,80.95,19.05,18.21,23.71,39.8,41.10688038
1047,20336,80.33,19.67,20.46,33.09,40.21,20.77787399
1049,31462,83.06,16.94,23.86,30.25,28.81,40.48667575
1051,34004,85.7,14.3,15.07,23.49,26.29,54.98318096
1053,16595,80.92,19.08,17.52,33.45,31.21,17.55679284
1055,47705,81.28,18.72,10.96,30.12,28.1,89.12168383
1057,8470,82.02,17.98,22.27,34.74,22.1,13.49411979
1059,14152,79.21,20.79,17.38,28.21,29.44,22.32473847
1061,12768,82.07,17.93,28.42,27.84,29.19,22.22539947
1063,5075,58.23,41.77,38.5,53.58,31.27,7.843651216
1065,7777,72.75,27.25,35.86,35.71,28.53,12.07646988
1067,9096,73.32,26.68,25.92,31.55,17.2,16.19232177
1069,47187,83.19,16.81,13.72,25.04,34.42,81.37560758
1071,25106,82.16,17.84,19.57,34.62,25.91,23.28980811
1073,307372,84.89,15.11,2.94,25.76,37.2,276.5687348
1075,7390,80.84,19.16,18.42,35.51,23.55,12.21803678
1077,44792,85.98,14.02,9.12,27.71,31.52,67.05288134
1079,15373,83.33,16.67,22.49,34.52,20.9,22.25773703
1081,68081,87.21,12.79,15.98,18.78,39.67,112.0586619
1083,36069,89.07,10.93,12.58,22.32,21.98,64.41435187
1085,5187,80.59,19.41,36.59,42.62,26.34,7.24534571
1087,10274,74.33,25.67,18.98,38.64,34.25,16.87513938
1089,159299,91.18,8.82,4.45,20.79,32.77,198.73135
1091,10325,75.23,24.77,24.57,36.85,28.77,10.5692758
1093,14867,82.14,17.86,22.34,33.07,24.64,20.0272533
1095,40630,85.89,14.11,14.77,23.62,29.63,71.80444375
1097,183164,85.08,14.92,7.69,28.23,35.11,148.9908476
1099,11398,71.49,28.51,22.6,37.45,39.11,11.11280149
1101,104355,86.09,13.91,4.15,23.38,41.42,132.886077
1103,51951,87.86,12.14,11.11,27.59,27.86,89.66542223
1105,4751,64.81,35.19,20.65,46,27.25,6.601795107
1107,9557,78.79,21.21,23.74,36.15,26.04,10.84265488
1109,16077,71.82,28.18,21.99,27.93,40.72,23.92180471
1111,12056,71.69,28.31,23.49,34.96,26.59,20.7666328
1113,27426,82.91,17.09,15.55,23.32,40.19,42.77628425
1115,36628,87.83,12.17,23.95,23.9,21.06,57.99236679
1117,86077,91,9,7.98,20.73,20.33,109.6003281
1119,6858,73.59,26.41,30.53,34,35.05,7.58777745
1121,37669,83.38,16.62,23.62,33.47,28.7,51.12661089
1123,22310,73.72,26.28,18.06,34.16,27.15,31.13667096
1125,90576,79.91,20.09,9.78,22.13,36.85,68.57386988
1127,31057,80.61,19.39,29.28,29.62,23.93,39.26303341
1129,8509,70.6,29.4,30.88,42.84,16.2,7.87723831
1131,5728,66.41,33.59,40.36,39.35,35.04,6.447212486
1133,13649,68.89,31.11,27.45,36.4,21.03,22.26676202
2013,1106,77.76,22.24,4.34,48.03,38.14,0.158338376
2016,1967,59.79,40.21,0.81,13.84,71.85,0.447850655
2020,116493,91.44,8.56,4.52,18.63,39.14,68.26848745
2050,6027,75.63,24.37,3.48,37.17,38.92,0.14834273
2060,940,35.43,64.57,4.57,31,47.15,1.950294948
2068,1627,39.27,60.73,9.4,29.58,21.91,0.128749907
2070,2446,58.05,41.95,1.64,37.75,39.72,0.133433102
2090,44059,82.87,17.13,4.32,17.19,41.49,6.011200537
2100,1673,61.33,38.67,4.3,26.3,32.55,0.71508543
2105,1656,48.25,51.75,5.5,42.21,26.16,0.252570339
2110,13586,92.16,7.84,6.23,21.96,36,5.0246854
2122,31150,69.79,30.21,5.65,22.17,26.72,1.944051567
2130,6343,83.98,16.02,3.2,22.35,39.18,1.305990273
2150,5405,80.91,19.09,4.9,18.77,45,0.81704089
2158,2225,76.04,23.96,1.35,47.43,25.71,0.130316376
2164,1421,29.91,70.09,0.84,39.69,30.82,0.059462823
2170,41756,73.95,26.05,3.3,18.22,23.11,1.689590797
2180,4078,70.5,29.5,1.01,35.87,39.69,0.177521527
2185,2583,76.11,23.89,0.58,34.53,49.75,0.029079983
2188,2741,67.86,32.14,1.35,42.38,44.41,0.076890077
2195,1762,66.4,33.6,10.5,29.99,31.71,0.607460219
2198,3428,68.73,31.27,14.94,33.55,27.16,0.651370823
2220,4199,84.81,15.19,9.15,26.63,42.09,1.463065175
2230,647,61.82,38.18,8.19,24.97,48.5,1.491020686
2240,3909,55.33,44.67,5.53,29.65,26.44,0.157477085
2261,6178,50.06,49.94,11.33,24.79,26.9,0.180528481
2275,1481,72.52,27.48,14.72,31.92,31.66,0.579424733
2282,413,56.17,43.83,6.78,31.14,37.5,0.054176418
2290,4087,46.64,53.36,2.94,41.2,28.33,0.028075218
4001,32809,62.16,37.84,22.94,45.34,21.61,2.930049662
4003,60883,80.89,19.11,20.94,21.38,30.83,9.876317365
4005,65438,72.25,27.75,13.09,25.32,39.43,3.514659638
4007,33411,64.97,35.03,21.15,24.86,26.14,7.02210643
4009,13416,80.37,19.63,26.37,28.89,30.75,2.902213514
4011,4435,72.72,27.28,28.59,23.86,50.82,2.407748844
4012,16274,54.76,45.24,52.62,22.31,25.72,3.616759354
4013,1719157,88.46,11.54,5.09,14.93,38.64,186.880973
4015,113876,75.07,24.93,27.32,16.71,31.36,8.555026211
4017,57753,59.58,40.42,21.82,31.57,30.94,5.804413005
4019,456962,87.73,12.27,10.32,19.97,37.61,49.7390916
4021,171368,80.11,19.89,19.12,10.38,25.62,31.93699978
4023,18255,84.52,15.48,5.8,25.4,33.82,14.75847628
4025,115213,83.33,16.67,19.3,16.33,28.07,14.18272614
4027,91685,79.03,20.97,29.89,18.16,32.91,16.6278289
5001,9449,81.3,18.7,15.5,28.14,36.29,9.556419461
5003,10148,78,22,21.89,35.42,26.33,10.96663378
5005,22859,80.36,19.64,15.3,23.59,24.18,41.24510948
5007,102838,91.73,8.27,4.95,12.89,33.62,121.3350255
5009,16971,87.62,12.38,11.71,24.15,28.46,28.76499731
5011,5810,78.09,21.91,17.56,26.89,37.49,8.949016051
5013,2909,66.55,33.45,29.43,32.09,16.43,4.628024395
5015,13674,81.62,18.38,15.94,21.71,24.02,21.70608122
5017,5434,79.28,20.72,17.34,31.14,35.72,8.43352274
5019,10498,81.02,18.98,18.9,23.73,37.32,12.12137352
5021,8018,80.33,19.67,10.9,28.8,30.54,12.53860556
