GEOID,totUnits,occP,vacantP,mobileP,lngTermP,rentalP,unitDens
1001020100,779,98.2,1.8,17.33,29.38,10.14,205.5050346
1001020200,852,84.39,15.61,1.53,38.61,13.96,663.5276586
1001020300,1397,92.77,7.23,1.36,21.32,13.09,676.396587
1001020400,1867,87.79,12.21,0,29.34,9.84,757.4124302
1001020500,4488,93,7,0.45,11.44,19.1,1018.849458
1001020600,1413,94.27,5.73,30.15,20.86,8.12,455.0920438
1001020700,1448,98,2,39.02,15.53,12.91,167.3457946
1001020801,1224,83.5,16.5,16.91,26.57,4.85,25.50971245
1001020802,4288,95.59,4.41,19.12,20.55,4.79,58.20183054
1001020900,2472,93.24,6.76,35.96,26.87,4.36,21.86960965
1001021000,1338,76.23,23.77,39.84,31.77,6.23,8.957691915
1001021100,1749,75.76,24.24,37.28,47.97,7.81,9.473791472
1003010100,2273,68.54,31.46,40.26,40.71,3.97,6.059613302
1003010200,1277,89.27,10.73,30.31,40.21,10.79,14.90162303
1003010300,3222,92.8,7.2,18.9,33.47,6.16,24.32705066
1003010400,2110,82.8,17.2,27.16,31.64,7.46,7.409873554
1003010500,1946,90.13,9.87,2.26,23.79,13.1,292.608457
1003010600,1421,76.64,23.36,16.68,28.45,15.76,198.118419
1003010701,3480,93.1,6.9,2.84,22.72,8.23,82.39309356
1003010703,7049,97.57,2.43,1.55,9.44,5.88,126.7729491
1003010704,2113,88.59,11.41,0,25.1,6.72,650.9753086
1003010705,4532,88.28,11.72,0.68,8.66,19.9,673.0873055
1003010800,3018,86.05,13.95,2.25,37.67,11.04,432.1311575
1003010903,2080,86.06,13.94,21.54,16.9,9.19,96.91832575
1003010904,2989,77.38,22.62,32.85,23.83,4.93,28.03691961
1003010905,3743,90.38,9.62,17.93,16.57,14.09,136.31541
1003010906,1907,90.67,9.33,32.04,17.77,9.12,125.4487934
1003011000,1899,80.52,19.48,35.18,23.04,6.35,37.69599228
1003011101,4134,94.34,5.66,6.56,12.57,6.85,317.8609323
1003011102,1880,86.86,13.14,11.49,15.55,2.65,110.1522246
1003011201,2465,78.99,21.01,2.23,12.74,13.68,514.6192542
1003011202,3106,70.64,29.36,3.48,23.92,11.03,596.8168295
1003011300,2517,73.66,26.34,10.61,34.69,4.21,97.81552191
1003011401,5457,74.93,25.07,23.84,25.58,6.63,85.78665732
1003011403,6103,82.42,17.58,10.77,8.35,21.83,185.5294218
1003011405,8170,24.31,75.69,2.29,16.59,8.36,1363.112144
1003011406,7538,19.08,80.92,4.43,9.2,18.33,572.1476665
1003011407,7507,32.42,67.58,2.37,17.93,13.25,576.4692478
1003011408,2698,9.56,90.44,4.23,21.13,5.97,254.6525672
1003011501,2795,91.88,8.12,6.98,17.92,10.87,187.5155452
1003011502,6184,80.66,19.34,13.42,12.82,16.47,308.6297321
1003011601,3022,75.74,24.26,24.75,22.87,8.81,33.37024961
1003011602,3310,72.63,27.37,35.11,20.85,3.9,105.2215267
1005950100,1594,69.13,30.87,36.64,50.25,9.4,8.508181313
1005950200,1266,75.91,24.09,31.75,37.37,15.24,6.342169583
1005950300,863,70.8,29.2,35.57,48.06,10.01,6.335574937
1005950400,1434,75.45,24.55,36.12,32.89,9.4,10.81808516
1005950500,1990,70.3,29.7,58.54,30.5,8.56,15.44530095
1005950600,905,80.88,19.12,31.93,24.97,19.58,23.0496366
1005950700,715,85.87,14.13,8.81,39.26,19.66,14.55721108
1005950800,1176,90.73,9.27,2.04,29.78,23.22,206.7814013
1005950900,1994,81.14,18.86,6.62,25.41,24.61,313.8536163
1007010001,1223,67.87,32.13,47.51,35.55,6.72,13.43969256
1007010002,2537,78.28,21.72,37.6,27.19,9.09,36.37884762
1007010003,2475,69.25,30.75,19.31,43.24,3.39,9.267857704
1007010004,2926,78.95,21.05,20.57,40,11.6,15.03063815
1009050101,3251,85.3,14.7,22.02,25.13,11.38,39.13377379
1009050102,3033,87.24,12.76,8.74,19.42,13.78,42.50984817
1009050200,1581,87.98,12.02,19.42,24.24,6.43,35.15541232
1009050300,2360,81.57,18.43,33.6,33.19,8.95,32.18780948
1009050400,1993,81.44,18.56,37.58,34.41,9.45,21.05981913
1009050500,3119,79.38,20.62,22.06,39.37,7.9,32.41416994
1009050601,1568,83.8,16.2,34.38,44.25,1,48.43926929
1009050602,3652,89.92,10.08,20.56,29.83,3.06,52.0004918
1009050700,3665,86.44,13.56,35.47,25.07,6.88,46.59585069
1011952100,906,71.3,28.7,42.94,41.41,10.97,5.479927757
1011952200,2275,84.84,15.16,23.65,35.45,12.36,14.78540782
1011952500,1345,76.8,23.2,43.42,57.18,1.46,4.430110076
1013952700,1131,63.22,36.78,24.93,31.9,16.08,21.88967802
1013952800,663,76.47,23.53,7.24,25.7,9.16,497.7132673
1013952900,960,69.27,30.73,16.88,26.12,10.98,43.28814176
1013953000,846,64.42,35.58,40.07,43.96,9.33,4.963152533
1013953100,1424,67.63,32.37,21.28,42.79,12.43,114.5388992
1013953200,1926,65.89,34.11,28.71,29.33,7.63,10.42090498
1013953300,896,70.09,29.91,38.17,39.62,5.42,6.587829745
1013953400,1478,62.79,37.21,27.2,39.86,11.01,15.41598522
1013953500,702,69.52,30.48,27.64,31.56,8.84,6.877943955
1015000200,1606,77.33,22.67,0,24.47,21.85,611.8836833
1015000300,1602,76.03,23.97,0,32.42,23.64,1583.111463
1015000400,1370,73.07,26.93,22.77,35.84,12.75,350.3528065
1015000500,963,56.28,43.72,0.73,38.04,22.84,1071.5837
1015000600,914,76.26,23.74,0.98,25.08,27.06,343.9880915
1015000700,1491,73.98,26.02,10.73,24.85,19.87,84.32494429
1015000800,669,61.88,38.12,0,22.62,32.03,480.3090237
1015000900,1811,90.34,9.66,0,29.44,16.18,387.1554419
1015001000,2817,89.24,10.76,1.99,24.78,12.08,437.5011805
1015001100,3018,91.82,8.18,4.21,28.14,14.83,160.9992764
1015001201,1530,76.67,23.33,4.12,26.81,21.86,539.4985592
1015001202,1681,90.36,9.64,23.5,24.8,10.25,185.4277271
1015001300,986,77.38,22.62,22.41,44.76,9.4,438.298713
1015001400,1615,75.17,24.83,25.57,47.82,9.26,198.3024925
1015001500,2198,84.76,15.24,23.93,27.82,7.82,104.5316135
1015001600,1613,85.8,14.2,14.07,25.34,12.21,296.2163421
1015001700,2882,92.47,7.53,9.96,32.04,9.16,399.5705371
1015001800,2919,84.99,15.01,21.65,24.27,8.68,183.768049
1015002000,3263,85.38,14.62,24.12,28.92,6.65,35.31319323
1015002101,1338,74.96,25.04,1.72,11.99,40.1,253.1180511
1015002102,1467,90.46,9.54,1.57,24.71,10.76,182.7616371
1015002103,2944,92.19,7.81,12.3,16.82,20.51,303.3767783
1015002200,1772,80.02,19.98,14.79,33.71,4.14,52.21133397
1015002300,1852,84.5,15.5,18.79,28.71,13.17,54.19471033
1015002400,2068,89.07,10.93,27.08,33.06,7.5,43.01033409
1015002501,3027,90.62,9.38,18.6,35.97,5.43,80.71052249
1015002502,2043,82.97,17.03,28.39,28.63,5.09,32.21002943
1015002600,2223,78.27,21.73,43.23,25.4,6.34,32.40510227
1015981901,0,NA,NA,NA,NA,NA,0
1015981902,0,NA,NA,NA,NA,NA,0
1015981903,0,NA,NA,NA,NA,NA,0
1017953800,1822,77.61,22.39,24.48,35.74,6.66,9.150768493
1017953900,1533,82.71,17.29,3.52,41.35,10.01,40.36529378
1017954000,3093,81.09,18.91,21.21,41.6,13.89,11.84809317
1017954200,1496,83.29,16.71,16.84,39.91,7.55,61.50349427
1017954300,2877,76.19,23.81,17.45,20.97,19.2,56.17419621
1017954400,604,76.32,23.68,3.64,36.5,22.14,344.3754678
1017954500,1978,76.69,23.31,2.43,31.33,16.46,733.8157237
1017954600,1563,79.46,20.54,0,25.58,14.2,417.7562909
1017954700,2015,82.78,17.22,19.75,28.86,10.85,137.2052133
1019955701,2590,56.95,43.05,35.79,27.04,10.01,64.45968874
1019955702,2330,64.98,35.02,30.21,39.78,6.16,17.09983074
1019955800,3485,61.87,38.13,38.25,20.75,8.66,38.64162269
1019955900,2008,81.32,18.68,24.05,22.74,9.22,16.88925391
1019956000,2642,67.56,32.44,8.67,33.09,12.58,110.2159879
1019956100,3476,58.77,41.23,33.06,33.99,6.36,24.13340801
1021060101,2199,84.77,15.23,12.46,37.92,14.84,101.8873073
1021060102,2894,86.28,13.72,9.26,12.88,11.33,116.3699366
1021060200,1357,77.38,22.62,32.28,40.17,7.35,35.6586622
1021060300,1926,75.08,24.92,34.42,21.47,6.8,18.32983053
1021060401,2281,86.32,13.68,28.93,27.75,8.26,64.76427739
1021060402,3635,93.51,6.49,54.11,22.45,9.85,38.58608145
1021060500,1380,89.13,10.87,39.93,27.83,10.02,7.923277561
1021060600,1464,84.97,15.03,36.27,38.77,6.12,14.54221428
1021060700,2450,83.76,16.24,40,33.93,9.81,24.74772318
1023956700,2037,69.51,30.49,34.95,35.55,9.23,9.139580959
1023956800,2283,74.55,25.45,24.53,34.08,11.75,7.855514042
1023956900,1791,72.36,27.64,35.29,40.95,5.87,8.018135077
1023957000,1233,75.91,24.09,33.74,53.12,5.39,6.982117768
1025957500,870,65.98,34.02,33.68,54.87,7.78,9.049050383
1025957601,572,68.53,31.47,27.45,33.22,7.34,3.025759487
1025957602,2549,81.8,18.2,20.24,31.96,19.36,34.14390228
1025957700,1022,50.59,49.41,35.52,48.24,5.16,7.150953365
1025957800,2650,73.66,26.34,27.51,40.1,12.19,8.242325993
1025957901,1632,81.68,18.32,26.23,34.78,13.12,11.24434963
1025957902,1956,74.69,25.31,6.85,48.21,13.86,46.9792467
1025958001,646,79.41,20.59,57.89,31.38,9.12,11.80789939
1025958002,844,62.91,37.09,45.73,57.48,6.36,4.888200777
1027958900,2700,75.67,24.33,13.33,31.42,13.24,13.63039935
1027959000,1569,79.03,20.97,15.42,33.69,15.33,22.61910552
1027959100,1330,78.05,21.95,27.29,32.49,8.25,8.993431526
1027959200,1203,76.06,23.94,38.15,28.71,4.18,6.377911095
1029959500,1194,86.35,13.65,38.61,30.88,6.34,6.29088271
1029959600,1929,80.72,19.28,20.89,23.93,16.91,20.49041162
1029959700,1593,84.81,15.19,34.46,25.72,6.71,9.849409434
1029959800,2090,85.5,14.5,31.05,30.57,7.59,18.26504054
1031010100,998,81.16,18.84,45.39,34.1,7.6,10.63940318
1031010200,843,84.58,15.42,32.15,31.09,9.37,10.48097009
1031010300,2079,87.35,12.65,21.74,26,7.75,18.41247615
1031010400,952,79.94,20.06,28.57,33.56,11.78,11.72456876
1031010500,1976,80.52,19.48,22.06,30.25,12.92,25.49147918
1031010600,725,84.14,15.86,21.79,34.34,10.63,14.66568097
1031010700,1057,83.35,16.65,37.37,31.05,5.85,12.81864419
1031010800,1306,85.38,14.62,16.08,24.07,5.59,24.68031094
1031010900,974,86.24,13.76,8.32,26.55,16.21,124.497876
1031011000,1611,80.63,19.37,11.48,23.82,13.21,145.4728767
1031011100,967,91.93,8.07,0,15.14,16.07,753.368082
1031011201,3600,97.58,2.42,0.36,17,9.43,228.8548231
1031011202,4117,83.82,16.18,1.65,13.16,24.47,855.0854385
1031011300,1883,79.66,20.34,7.75,12.3,25.74,248.1785708
1033020100,1872,81.52,18.48,2.46,24.78,18.27,1065.912277
1033020200,1225,69.96,30.04,0,27.42,20.66,1423.543669
1033020300,1188,78.62,21.38,0.42,26.34,28.5,591.3743208
1033020400,739,93.78,6.22,1.62,26.48,5.01,359.5014864
1033020500,2177,88.65,11.35,4.87,21.82,10.09,238.787388
1033020600,2074,77.72,22.28,0,28.44,18.81,544.7095739
1033020701,2761,91.81,8.19,12.6,26.58,7.4,63.33979824
1033020703,2234,92.39,7.61,0.67,17.84,13.4,710.755576
1033020704,2103,90.68,9.32,0.86,34.41,6.4,749.2600624
1033020801,2226,76.91,23.09,17.21,39.95,7.88,48.46431241
1033020802,1811,81,19,20.27,39.34,7.19,21.79180476
1033020901,1952,83.15,16.85,18.34,34.46,8.56,38.00253633
1033020902,1867,73.06,26.94,22.76,43.51,8.59,18.65771868
1033021000,2237,70.41,29.59,16.63,33.94,8.09,9.200833154
1035960200,1032,62.4,37.6,28.29,50,4.76,4.738095676
1035960300,925,63.35,36.65,36.76,40.08,9.2,6.119121377
1035960400,1860,67.37,32.63,41.61,48.22,4.49,10.02277365
1035960500,1014,64.99,35.01,14.3,32.3,17.33,29.00545342
1035960600,2312,61.94,38.06,21.71,34.24,10.64,8.868932983
1037961000,1955,68.18,31.82,28.49,42.19,10.15,20.14102877
1037961100,2012,64.41,35.59,44.83,32.77,6.22,6.64188866
1037961200,2591,56.89,43.11,21.46,55.57,4.87,10.32615599
1039961600,2432,70.15,29.85,28.08,25.68,3.31,17.504708
1039961700,2097,76.39,23.61,43.63,30.96,5.89,10.77821617
1039961800,1456,83.24,16.76,9.75,37.42,14.25,85.62592363
1039961900,1078,77.92,22.08,15.12,38.41,10.01,67.40067862
1039962000,1972,83.16,16.84,6.54,30.23,17.95,102.2739569
1039962100,947,76.35,23.65,7.39,20.67,20.56,158.8742459
1039962300,1516,87.53,12.47,30.28,25.5,7.39,14.07827972
1039962400,1539,83.17,16.83,20.21,31.22,5.1,25.76982838
1039962500,778,75.96,24.04,4.63,30.34,15.66,160.944308
1039962600,788,79.06,20.94,14.59,19.43,22.82,171.1519861
1039962700,799,92.74,7.26,3.88,24.08,16.81,158.652179
1039962800,874,78.83,21.17,45.54,32.48,8.21,9.061260012
1039962900,973,81.6,18.4,28.16,35.21,3.22,4.750519021
1039963000,1658,74.79,25.21,21.41,37.99,12.27,10.65107037
1041963400,935,73.26,26.74,30.59,37.55,6.19,10.13609554
1041963500,904,71.79,28.21,48.78,27.83,4.56,10.34184521
1041963600,1552,72.55,27.45,24.74,39.99,10.89,10.74216179
1041963700,1736,77.82,22.18,22.06,27.3,11.96,17.44897414
1041963800,923,71.61,28.39,21.13,26.64,14.86,8.734585985
1041963900,740,74.73,25.27,22.3,31.69,6.75,9.300427754
1043964100,2600,88.73,11.27,28.69,35.53,10.54,45.78058892
1043964200,3127,85.1,14.9,24.85,36.82,8.69,52.51238227
1043964300,2210,86.33,13.67,22.71,30.78,9.07,63.70841143
1043964400,1806,88.54,11.46,24.42,37.22,4.92,61.027777
1043964500,2060,81.99,18.01,34.08,29.9,6.91,24.71059303
1043964600,1704,77.64,22.36,33.92,29.7,5.18,33.22713288
1043964700,2012,85.39,14.61,29.72,21.71,6.52,73.54348628
1043964800,1973,89.96,10.04,1.06,14.78,19.82,544.0101945
1043964900,2837,86.75,13.25,8.57,25.74,11.15,154.6963264
1043965000,2896,87.95,12.05,1.14,23.02,20.77,319.8882005
1043965100,1468,94.28,5.72,24.32,22.88,7.48,70.05684154
1043965200,1044,88.12,11.88,14.75,41.19,8.33,48.53898718
1043965300,2045,88.85,11.15,33.84,22.17,8.59,37.79736627
1043965401,1532,75.33,24.67,21.34,18.93,17.53,62.51697585
1043965402,1917,83.15,16.85,18.52,30.19,6.74,39.54677834
1043965500,2922,68.99,31.01,32.41,35.44,6.29,40.40551915
1043965600,2190,36.62,63.38,35.02,34.71,2.99,49.90946853
1043965700,1309,80.6,19.4,28.65,40.2,5.67,17.36401765
1045020000,1452,85.81,14.19,1.03,0,29.22,21.80487899
1045020100,1914,73.51,26.49,39.86,33.63,5.17,13.5958025
1045020200,1158,74.09,25.91,33.51,27.44,9.13,12.13337317
1045020300,975,90.46,9.54,33.85,25.57,10.73,22.72583854
1045020400,963,92.52,7.48,3.53,29.2,5.62,40.30388936
1045020500,1038,84.3,15.7,0,21.78,23.72,240.0608631
1045020700,1721,73.5,26.5,3.49,24.91,23.74,369.5520098
1045020801,1571,87.14,12.86,9.55,24.47,17.19,211.2466302
1045020802,2013,84.65,15.35,8.1,26.32,10.59,144.4017034
1045021101,2115,84.26,15.74,27.94,17.52,12.52,161.0908247
1045021102,2446,71.42,28.58,13.82,24.94,23.71,276.0385651
1045021200,1196,72.83,27.17,43.56,41.16,8.88,30.78373782
1045021300,1920,83.8,16.2,13.8,28.62,9.45,33.54731281
1045021400,2583,83.78,16.22,22.53,22.26,19.47,59.98477563
1047956100,2752,87.21,12.79,33.94,33.47,9.19,22.40337297
1047956201,1221,88.94,11.06,40.38,42.03,9.08,25.21681152
1047956202,998,84.17,15.83,41.58,33.81,7.25,14.18377527
1047956300,1693,91.97,8.03,2.19,31.82,23.37,249.7330454
1047956400,1392,86.42,13.58,1.72,35.54,31.11,875.3726418
1047956500,1573,88.68,11.32,0.83,22.97,28.38,599.677528
1047956600,1721,66.07,33.93,0.81,23.24,22.27,1643.61311
1047956701,853,93.2,6.8,1.29,29.13,11.77,302.2471773
1047956702,818,80.32,19.68,2.08,22.74,12.96,333.9191232
1047956800,1256,75.96,24.04,1.35,30.05,20.79,350.5051824
1047956900,1453,71.99,28.01,43.7,45.06,9.53,6.954343026
1047957000,849,58.78,41.22,39.93,23.68,11.4,2.439474472
1047957100,816,72.79,27.21,43.01,37.56,7.69,10.30611141
1047957200,797,80.55,19.45,47.55,51.07,16.21,60.19711367
