STATEFP,State,areaSqMi,totPopE,alcTotal,alcDens,alcPerCap
1,AL,50646.3508,4864680,378,0.007463519,7.77E-05
2,AK,570980.5776,738516,147,0.000257452,0.000199048
4,AZ,113590.1742,6946685,298,0.002623466,4.29E-05
5,AR,52034.31379,2990671,399,0.007668017,0.000133415
6,CA,155793.0237,39148760,6054,0.03885925,0.000154641
8,CO,103638.1821,5531141,1352,0.013045385,0.000244434
9,CT,4842.662961,3581504,1215,0.250895016,0.000339243
10,DE,1948.23384,949495,258,0.132427635,0.000271723
11,DC,61.1352861,684498,156,2.551717837,0.000227904
12,FL,53648.31515,20598139,2137,0.039833497,0.000103747
13,GA,57715.07658,10297484,999,0.017309169,9.70E-05
15,HI,6422.390037,1422029,104,0.016193348,7.31E-05
16,ID,82644.70566,1687809,120,0.001451999,7.11E-05
17,IL,55513.73268,12821497,1288,0.023201466,0.000100456
18,IN,35825.98559,6637426,913,0.025484295,0.000137553
19,IA,55853.77142,3132499,172,0.00307947,5.49E-05
20,KS,81758.8201,2908776,659,0.008060292,0.000226556
21,KY,39490.15084,4440204,602,0.015244307,0.000135579
22,LA,43203.70439,4663616,277,0.006411487,5.94E-05
23,ME,30844.56604,1332813,55,0.001783134,4.13E-05
24,MD,9710.849529,6003435,1095,0.112760474,0.000182396
25,MA,7801.206704,6830193,1430,0.183304975,0.000209365
26,MI,56602.68455,9957488,1302,0.023002443,0.000130756
27,MN,79625.07315,5527358,995,0.012496064,0.000180014
28,MS,46924.1388,2988762,438,0.009334215,0.000146549
29,MO,68745.48347,6090062,572,0.008320547,9.39E-05
30,MT,145545.459,1041732,115,0.000790131,0.000110393
31,NE,76817.24262,1904760,166,0.002160973,8.72E-05
32,NV,109779.7322,2922849,228,0.002076886,7.80E-05
33,NH,8953.441377,1343622,124,0.013849423,9.23E-05
34,NJ,7354.372965,8881845,1631,0.221772816,0.000183633
35,NM,121311.3152,2092434,98,0.000807839,4.68E-05
36,NY,47123.22385,19618453,2972,0.06306869,0.00015149
37,NC,48619.17223,10155624,633,0.013019555,6.23E-05
38,ND,68999.04819,752201,118,0.001710169,0.000156873
39,OH,40860.57242,11641879,688,0.016837747,5.91E-05
40,OK,68595.72422,3918137,560,0.008163774,0.000142925
41,OR,95987.25609,4081943,549,0.005719509,0.000134495
42,PA,44743.02792,12791181,1033,0.023087396,8.08E-05
44,RI,1033.891854,1056611,218,0.210853775,0.00020632
45,SC,30063.67509,4955925,631,0.020988785,0.000127322
46,SD,75809.64548,864289,94,0.001239948,0.00010876
47,TN,41236.57459,6651089,639,0.015495952,9.61E-05
48,TX,261256.0508,27885195,2584,0.00989068,9.27E-05
49,UT,82195.45239,3045350,87,0.001058453,2.86E-05
50,VT,9217.82855,624977,65,0.007051552,0.000104004
51,VA,39481.74406,8413774,445,0.011271032,5.29E-05
53,WA,66452.73676,7294336,421,0.00633533,5.77E-05
54,WV,24041.10985,1829054,68,0.002828488,3.72E-05
55,WI,54166.0385,5778394,519,0.00958165,8.98E-05
56,WY,97088.24127,581836,114,0.00117419,0.000195931
