COUNTYFP,county,state.code,state,deaths,pop,rawDeathRt
01001,"Autauga County, AL",1,Alabama,54.0,551996.0,9.8
01003,"Baldwin County, AL",1,Alabama,257.0,1977751.0,13.0
01005,"Barbour County, AL",1,Alabama,17.0,266002.0,6.4
01007,"Bibb County, AL",1,Alabama,41.0,226531.0,18.1
01009,"Blount County, AL",1,Alabama,111.0,576987.0,19.2
01011,"Bullock County, AL",1,Alabama,10.0,105825.0,9.4
01013,"Butler County, AL",1,Alabama,16.0,202989.0,7.9
01015,"Calhoun County, AL",1,Alabama,172.0,1163916.0,14.8
01017,"Chambers County, AL",1,Alabama,35.0,340134.0,10.3
01019,"Cherokee County, AL",1,Alabama,43.0,259634.0,16.6
01021,"Chilton County, AL",1,Alabama,66.0,438827.0,15.0
01025,"Clarke County, AL",1,Alabama,15.0,249949.0,6.0
01027,"Clay County, AL",1,Alabama,15.0,135962.0,11.0
01029,"Cleburne County, AL",1,Alabama,25.0,149460.0,16.7
01031,"Coffee County, AL",1,Alabama,48.0,509233.0,9.4
01033,"Colbert County, AL",1,Alabama,51.0,544707.0,9.4
01035,"Conecuh County, AL",1,Alabama,23.0,127958.0,18.0
01037,"Coosa County, AL",1,Alabama,15.0,109186.0,13.7
01039,"Covington County, AL",1,Alabama,36.0,376597.0,9.6
01043,"Cullman County, AL",1,Alabama,147.0,814506.0,18.0
01045,"Dale County, AL",1,Alabama,51.0,496934.0,10.3
01047,"Dallas County, AL",1,Alabama,34.0,416146.0,8.2
01049,"DeKalb County, AL",1,Alabama,149.0,711538.0,20.9
01051,"Elmore County, AL",1,Alabama,67.0,807436.0,8.3
01053,"Escambia County, AL",1,Alabama,151.0,378085.0,39.9
01055,"Etowah County, AL",1,Alabama,185.0,1035703.0,17.9
01057,"Fayette County, AL",1,Alabama,32.0,168705.0,19.0
01059,"Franklin County, AL",1,Alabama,70.0,316253.0,22.1
01061,"Geneva County, AL",1,Alabama,39.0,266720.0,14.6
01067,"Henry County, AL",1,Alabama,11.0,172471.0,6.4
01069,"Houston County, AL",1,Alabama,152.0,1032976.0,14.7
01071,"Jackson County, AL",1,Alabama,67.0,526816.0,12.7
01073,"Jefferson County, AL",1,Alabama,1311.0,6594504.0,19.9
01077,"Lauderdale County, AL",1,Alabama,107.0,926290.0,11.6
01079,"Lawrence County, AL",1,Alabama,52.0,336038.0,15.5
01081,"Lee County, AL",1,Alabama,126.0,1516255.0,8.3
01083,"Limestone County, AL",1,Alabama,76.0,891755.0,8.5
01085,"Lowndes County, AL",1,Alabama,13.0,106938.0,12.2
01087,"Macon County, AL",1,Alabama,16.0,198734.0,8.1
01089,"Madison County, AL",1,Alabama,412.0,3483670.0,11.8
