COUNTYFP,pcp_total,sp_total
01001,21,19
01003,119,204
01005,14,3
01007,12,0
01009,16,7
01011,4,1
01013,9,7
01015,70,129
01017,17,11
01019,9,9
01021,13,8
01023,4,0
01025,17,5
01027,4,4
01029,2,0
01031,26,24
01033,38,53
01035,7,3
01037,0,0
01039,30,31
01041,2,2
01043,45,78
01045,13,14
01047,27,30
01049,21,17
01051,24,21
01053,23,15
01055,81,112
01057,12,4
01059,18,14
01061,6,0
01063,2,0
01065,2,2
01067,4,0
01069,86,255
01071,31,30
01073,676,1638
01075,4,0
01077,39,97
01079,11,4
01081,74,105
01083,29,34
01085,1,0
01087,13,19
01089,276,479
01091,11,5
01093,15,9
01095,52,40
01097,256,600
01099,9,4
01101,200,337
01103,74,119
01105,2,0
01107,4,2
01109,20,13
01111,11,3
01113,17,8
01115,20,13
01117,133,162
01119,7,1
01121,35,39
01123,15,28
01125,146,267
01127,37,51
01129,3,0
01131,4,0
01133,8,5
02013,0,0
02016,6,0
02020,308,599
02050,11,1
02060,0,1
02068,0,0
02070,12,0
02090,80,125
02100,4,0
02105,0,0
02110,39,46
02122,42,46
02130,17,22
02150,19,8
02164,0,0
02170,54,70
02180,8,2
02185,2,1
02188,4,0
02195,1,1
02198,7,1
02220,24,9
02230,0,0
02240,3,0
02261,6,1
02270,0,0
02275,4,0
02282,0,0
02290,1,0
04001,20,28
04003,64,72
04005,107,194
04007,45,26
04009,24,14
04011,5,0
04012,11,9
04013,2667,5478
04015,104,185
04017,60,61
04019,821,1700
04021,85,93
04023,19,18
04025,145,255
04027,89,134
05001,7,4
05003,10,4
05005,34,62
05007,126,161
05009,32,32
05011,5,1
05013,2,0
05015,16,12
05017,10,4
05019,18,11
05021,6,1
05023,14,10
05025,1,0
05027,13,3
05029,13,7
05031,96,160
05033,24,10
05035,21,24
05037,11,2
05039,5,1
05041,5,1
05043,10,5
05045,57,83
05047,10,3
05049,8,0
05051,76,151
05053,2,2
05055,27,20
05057,7,6
05059,9,4
05061,6,2
05063,31,39
05065,4,1
05067,11,11
05069,66,82
05071,17,11
05073,1,0
05075,8,4
05077,3,2
05079,1,0
05081,8,2
05083,11,3
05085,14,10
05087,4,0
05089,1,0
05091,11,7
05093,17,13
05095,6,0
05097,2,0
05099,2,0
05101,0,1
05103,16,4
05105,1,0
05107,9,6
05109,3,0
05111,5,1
05113,13,8
05115,38,38
05117,1,0
05119,401,1246
05121,12,5
05123,9,8
05125,38,44
05127,1,1
05129,3,0
05131,145,206
05133,9,1
05135,8,1
05137,4,4
05139,35,42
05141,5,6
05143,167,266
05145,41,47
05147,5,0
05149,11,5
06001,1592,2259
06003,0,1
06005,24,23
06007,152,296
06009,19,23
06011,9,7
06013,946,1499
06015,23,22
06017,100,137
06019,572,837
06021,9,1
06023,110,172
06025,43,109
06027,19,13
06029,441,584
06031,70,72
06033,40,32
06035,19,10
06037,7256,13862
06039,91,163
06041,295,551
06043,4,5
06045,91,94
06047,120,127
06049,4,1
06051,6,15
06053,280,483
06055,117,264
06057,73,138
06059,2522,4421
06061,378,509
06063,22,7
06065,1030,1520
06067,1191,2179
06069,18,23
06071,1166,1838
06073,2473,4911
06075,1156,2510
06077,414,557
06079,207,447
06081,650,1271
06083,360,609
06085,1863,3324
06087,245,332
06089,154,246
06091,0,1
06093,30,38
06095,404,572
06097,473,667
06099,376,526
06101,76,104
06103,27,35
06105,5,1
06107,208,274
06109,56,56
06111,575,896
06113,179,170
06115,27,36
08001,347,693
08003,19,31
08005,478,863
08007,13,6
08009,4,0
08011,1,0
08013,349,644
08014,34,28
08015,18,16
08017,1,0
08019,8,6
08021,1,2
08023,0,0
08025,0,0
08027,1,0
08029,30,20
08031,679,1620
08033,0,0
08035,195,330
08037,37,83
08039,4,0
08041,404,882
08043,24,16
08045,42,66
08047,0,0
08049,7,2
08051,7,11
08053,0,0
08055,5,3
08057,1,0
08059,424,499
08061,1,0
08063,6,0
08065,2,3
08067,49,130
08069,259,418
08071,8,12
08073,1,0
08075,15,12
08077,152,252
08079,1,0
08081,9,10
08083,23,11
08085,30,55
08087,19,23
08089,16,7
08091,7,4
08093,3,2
08095,3,0
08097,12,36
08099,4,6
08101,138,273
08103,7,3
08105,7,2
08107,22,42
08109,6,3
08111,0,0
08113,3,1
08115,3,0
08117,10,19
08119,12,8
08121,0,0
08123,113,146
08125,5,2
09001,828,1683
09003,800,1839
09005,108,183
09007,126,205
09009,790,1895
09011,186,361
09013,76,85
09015,77,86
10001,87,173
10003,515,892
10005,133,240
11001,1069,2607
12001,336,785
12003,19,18
12005,95,234
12007,19,8
12009,401,754
12011,1265,2780
12013,5,2
12015,118,233
12017,79,159
12019,119,204
12021,217,509
12023,46,84
12027,11,12
12029,3,1
12031,795,1656
12033,239,584
12035,51,100
12037,5,2
12039,15,13
12041,10,2
12043,4,3
12045,9,4
12047,2,1
12049,9,9
12051,9,4
12053,113,163
12055,60,123
12057,960,2092
12059,8,3
12061,99,257
12063,20,25
12065,3,1
12067,2,0
12069,196,377
12071,399,833
12073,220,333
12075,14,8
12077,0,0
12079,8,12
12081,176,364
12083,180,347
12085,98,210
12086,2109,3701
12087,55,113
12089,28,35
12091,156,281
12093,23,33
12095,829,1617
12097,149,232
12099,1056,2361
12101,320,444
12103,841,1560
12105,315,548
12107,35,44
12109,130,188
12111,128,253
12113,93,107
12115,294,727
12117,301,376
12119,43,69
12121,10,2
12123,9,8
12125,5,10
12127,334,534
12129,5,0
12131,25,52
12133,8,5
13001,9,9
13003,0,0
13005,5,4
13007,1,0
13009,36,51
13011,4,4
13013,31,13
13015,46,73
13017,9,7
13019,5,2
13021,168,375
13023,7,1
13025,1,0
13027,3,5
13029,16,21
13031,31,64
13033,7,3
13035,9,3
13037,1,1
13039,20,24
13043,5,1
13045,67,117
13047,35,48
13049,5,1
13051,237,486
13053,30,26
13055,6,3
13057,89,148
13059,98,282
13061,1,0
13063,112,190
13065,3,0
13067,395,736
13069,23,33
13071,24,28
13073,84,118
13075,7,4
13077,54,83
13079,1,0
13081,18,13
13083,5,2
13085,13,2
13087,11,22
13089,646,1415
13091,9,11
13093,0,0
13095,95,185
13097,50,88
13099,3,1
13101,0,0
13103,17,11
13105,10,6
13107,12,8
13109,5,5
13111,16,12
13113,99,153
13115,110,189
13117,85,131
13119,10,4
13121,956,2279
13123,17,10
13125,1,0
13127,55,156
13129,36,32
13131,18,9
13133,15,21
13135,472,647
13137,21,10
13139,122,252
13141,3,0
13143,12,10
