STATEFP,pcp_total,sp_total
01,3031,5194
02,652,933
04,4266,8267
05,1879,2911
06,28810,49880
08,4079,7301
09,2991,6337
10,735,1305
11,1069,2607
12,13738,26609
13,6293,11241
15,1296,2115
16,985,1677
17,10167,17182
18,4389,7969
19,2260,3124
20,2042,3157
21,2878,5368
22,2958,6077
23,1434,2039
24,5191,10488
25,6848,13731
26,7934,13119
27,4842,7441
28,1646,3032
29,4234,7956
30,772,1302
31,1309,2124
32,1595,2975
33,1265,2089
34,7151,14237
35,1601,2383
36,16887,35579
37,6715,12052
38,561,899
39,8805,15791
40,2469,3832
41,3463,5597
42,10212,19844
44,945,1792
45,3125,5726
46,656,998
47,4622,8487
48,14934,28433
49,1585,3106
50,680,960
51,6226,11088
53,5904,9499
54,1479,2267
55,4764,7903
56,375,620
