"","GEOID","state","county","tract","pcp_total","sp_total"
"1","01001020100","01","01001","020100",0,0
"2","01001020200","01","01001","020200",1,0
"3","01001020300","01","01001","020300",4,4
"4","01001020400","01","01001","020400",1,0
"5","01001020500","01","01001","020500",11,13
"6","01001020600","01","01001","020600",0,0
"7","01001020700","01","01001","020700",0,0
"8","01001020801","01","01001","020801",0,0
"9","01001020802","01","01001","020802",2,2
"10","01001020900","01","01001","020900",0,0
"11","01001021000","01","01001","021000",0,0
"12","01001021100","01","01001","021100",2,0
"13","01003010100","01","01003","010100",1,0
"14","01003010200","01","01003","010200",0,0
"15","01003010300","01","01003","010300",1,3
"16","01003010400","01","01003","010400",2,0
"17","01003010500","01","01003","010500",9,22
"18","01003010600","01","01003","010600",0,0
"19","01003010701","01","01003","010701",4,6
"20","01003010703","01","01003","010703",7,20
"21","01003010704","01","01003","010704",0,1
"22","01003010705","01","01003","010705",13,4
"23","01003010800","01","01003","010800",1,10
"24","01003010903","01","01003","010903",2,0
"25","01003010904","01","01003","010904",1,1
"26","01003010905","01","01003","010905",1,1
"27","01003010906","01","01003","010906",0,0
"28","01003011000","01","01003","011000",1,0
"29","01003011101","01","01003","011101",1,5
"30","01003011102","01","01003","011102",6,9
"31","01003011201","01","01003","011201",9,10
"32","01003011202","01","01003","011202",22,58
"33","01003011300","01","01003","011300",0,0
"34","01003011401","01","01003","011401",2,0
"35","01003011403","01","01003","011403",3,0
"36","01003011405","01","01003","011405",0,5
"37","01003011406","01","01003","011406",5,0
"38","01003011407","01","01003","011407",5,3
"39","01003011408","01","01003","011408",0,0
"40","01003011501","01","01003","011501",9,30
"41","01003011502","01","01003","011502",10,14
"42","01003011601","01","01003","011601",0,0
"43","01003011602","01","01003","011602",4,2
"44","01003990000","01","01003","990000",0,0
"45","01005950100","01","01005","950100",3,1
"46","01005950200","01","01005","950200",1,0
"47","01005950300","01","01005","950300",0,0
"48","01005950400","01","01005","950400",1,0
"49","01005950500","01","01005","950500",0,0
"50","01005950600","01","01005","950600",1,0
"51","01005950700","01","01005","950700",6,2
"52","01005950800","01","01005","950800",1,0
"53","01005950900","01","01005","950900",1,0
"54","01007010001","01","01007","010001",1,0
"55","01007010002","01","01007","010002",1,0
"56","01007010003","01","01007","010003",5,0
"57","01007010004","01","01007","010004",5,0
"58","01009050101","01","01009","050101",10,7
