STATEFP,state,crrctExp_S,plcFireExp_S,healthExp_S,wlfrExp_S,crrctExp_L,plcFireExp_L,healthExp_L,wlfrExp_L,crrctExp_T,plcFireExp_T,healthExp_T,wlfrExp_T
28,Mississippi,407751,135917,407751,815502,558639.0,925545,558639.0,1117278,966390,1061462,966390,1932780
37,North Carolina,1598229,532743,1598229,3196458,1675407.0,3722009,1675407.0,3350814,3273636,4254752,3273636,6547272
40,Oklahoma,530334,176778,530334,1060668,459852.0,1411278,459852.0,919704,990186,1588056,990186,1980372
51,Virginia,1221636,407212,1221636,2443272,3570756.0,3489010,3570756.0,7141512,4792392,3896222,4792392,9584784
54,West Virginia,243093,81031,243093,486186,157695.0,435074,157695.0,315390,400788,516105,400788,801576
22,Louisiana,728616,242872,728616,1457232,1443519.0,2166712,1443519.0,2887038,2172135,2409584,2172135,4344270
26,Michigan,1420932,473644,1420932,2841864,1852605.0,3055552,1852605.0,3705210,3273537,3529196,3273537,6547074
25,Massachusetts,2568345,856115,2568345,5136690,0.0,3026686,0.0,0,2568345,3882801,2568345,5136690
16,Idaho,191931,63977,191931,383862,428508.0,614081,428508.0,857016,620439,678058,620439,1240878
12,Florida,1819119,606373,1819119,3638238,5889987.0,11925508,5889987.0,11779974,7709106,12531881,7709106,15418212
31,Nebraska,247611,82537,247611,495222,428370.0,661579,428370.0,856740,675981,744116,675981,1351962
53,Washington,915105,305035,915105,1830210,2196606.0,3385247,2196606.0,4393212,3111711,3690282,3111711,6223422
35,New Mexico,375543,125181,375543,751086,710391.0,895515,710391.0,1420782,1085934,1020696,1085934,2171868
46,South Dakota,134268,44756,134268,268536,186960.0,234435,186960.0,373920,321228,279191,321228,642456
48,Texas,3689850,1229950,3689850,7379700,7708710.0,10346638,7708710.0,15417420,11398560,11576588,11398560,22797120
06,California,5647680,1882560,5647680,11295360,18713541.0,25783987,18713541.0,37427082,24361221,27666547,24361221,48722442
01,Alabama,501051,167017,501051,1002102,642843.0,1609448,642843.0,1285686,1143894,1776465,1143894,2287788
13,Georgia,1249401,416467,1249401,2498802,2491740.0,3493626,2491740.0,4983480,3741141,3910093,3741141,7482282
42,Pennsylvania,3245916,1081972,3245916,6491832,4721220.0,3629833,4721220.0,9442440,7967136,4711805,7967136,15934272
29,Missouri,822222,274074,822222,1644444,639198.0,2401509,639198.0,1278396,1461420,2675583,1461420,2922840
08,Colorado,578478,192826,578478,1156956,1402407.0,2693737,1402407.0,2804814,1980885,2886563,1980885,3961770
49,Utah,450945,150315,450945,901890,557298.0,907989,557298.0,1114596,1008243,1058304,1008243,2016486
47,Tennessee,669087,223029,669087,1338174,1315068.0,2526743,1315068.0,2630136,1984155,2749772,1984155,3968310
56,Wyoming,118392,39464,118392,236784,210957.0,280918,210957.0,421914,329349,320382,329349,658698
36,New York,2595894,865298,2595894,5191788,10207965.0,13459750,10207965.0,20415930,12803859,14325048,12803859,25607718
20,Kansas,323604,107868,323604,647208,697572.0,1108566,697572.0,1395144,1021176,1216434,1021176,2042352
02,Alaska,349572,116524,349572,699144,19371.0,489925,19371.0,38742,368943,606449,368943,737886
32,Nevada,265440,88480,265440,530880,1397259.0,1731653,1397259.0,2794518,1662699,1820133,1662699,3325398
17,Illinois,1227459,409153,1227459,2454918,2179767.0,7527125,2179767.0,4359534,3407226,7936278,3407226,6814452
50,Vermont,312243,104081,312243,624486,1371.0,186062,1371.0,2742,313614,290143,313614,627228
30,Montana,114483,38161,114483,228966,137052.0,415817,137052.0,274104,251535,453978,251535,503070
19,Iowa,286545,95515,286545,573090,445464.0,988953,445464.0,890928,732009,1084468,732009,1464018
45,South Carolina,541773,180591,541773,1083546,792183.0,1715571,792183.0,1584366,1333956,1896162,1333956,2667912
33,New Hampshire,212742,70914,212742,425484,240462.0,607695,240462.0,480924,453204,678609,453204,906408
04,Arizona,754293,251431,754293,1508586,1848045.0,3429846,1848045.0,3696090,2602338,3681277,2602338,5204676
11,District of Columbia,0,,0,0,,,,,0,0,0,0
34,New Jersey,1860483,620161,1860483,3720966,2118744.0,3980848,2118744.0,4237488,3979227,4601009,3979227,7958454
24,Maryland,1639605,546535,1639605,3279210,1313001.0,3301963,1313001.0,2626002,2952606,3848498,2952606,5905212
23,Maine,271104,90368,271104,542208,293139.0,387204,293139.0,586278,564243,477572,564243,1128486
15,Hawaii,134631,44877,134631,269262,0.0,693798,0.0,0,134631,738675,134631,269262
10,Delaware,440268,146756,440268,880536,0.0,270786,0.0,0,440268,417542,440268,880536
44,Rhode Island,278499,92833,278499,556998,0.0,696596,0.0,0,278499,789429,278499,556998
21,Kentucky,726039,242013,726039,1452078,913584.0,977663,913584.0,1827168,1639623,1219676,1639623,3279246
39,Ohio,998547,332849,998547,1997094,1514334.0,5526212,1514334.0,3028668,2512881,5859061,2512881,5025762
55,Wisconsin,134340,44780,134340,268680,1631865.0,2541133,1631865.0,3263730,1766205,2585913,1766205,3532410
41,Oregon,600183,200061,600183,1200366,1629090.0,1966587,1629090.0,3258180,2229273,2166648,2229273,4458546
38,North Dakota,105756,35252,105756,211512,364725.0,323969,364725.0,729450,470481,359221,470481,940962
05,Arkansas,317061,105687,317061,634122,531165.0,870184,531165.0,1062330,848226,975871,848226,1696452
18,Indiana,670386,223462,670386,1340772,1288020.0,2104036,1288020.0,2576040,1958406,2327498,1958406,3916812
27,Minnesota,1071069,357023,1071069,2142138,1649442.0,2112958,1649442.0,3298884,2720511,2469981,2720511,5441022
09,Connecticut,669357,223119,669357,1338714,0.0,1582453,0.0,0,669357,1805572,669357,1338714
