HEROP_ID,GEOID,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
050US01001,01001,32259,10957,18614,2525,6136,3495,2663,14914,3373,1316,1171,2824,19.09,73.08,8.75,76.92,22.4,1.13,0.18,0.24,0.01,0.25,40.56,33.54,16.62,6.72,6.94
050US01003,01003,78556,29947,44509,6114,13397,7436,5987,33616,7799,3979,3802,9849,17.09,67.63,12.54,83.81,15.34,1.01,0.55,0.11,0.01,0.18,39.74,30.8,16.23,7.6,10.59
050US01005,01005,24756,9246,13352,1958,4486,2442,1778,10033,2368,1290,1289,3332,17.05,66.56,13.46,55.31,44.45,1.08,0.12,0.09,0.01,0.02,55.06,32.61,30.81,8.16,9.42
050US01007,01007,15723,5721,8591,1244,2880,1519,1246,6695,1452,759,630,2063,17.59,68.81,13.12,76.51,23.37,1.12,0.01,0.05,0.02,0.04,59.47,32.24,21.24,9.16,9.68
050US01009,01009,36459,13733,21313,2554,6167,3370,2728,16120,3891,1757,1653,4317,16.73,68.13,11.84,98.09,1.64,0.56,0.15,0.05,0,0.07,53.91,29.7,18.01,7.66,7.65
050US01011,01011,10596,3895,5388,894,1942,1077,796,4174,848,512,545,1681,17.68,66.16,15.86,32.34,67.57,1.51,0.01,0.02,0.02,0.04,58.99,33.29,35.45,9.51,11.3
050US01013,01013,21680,8108,11412,1832,3714,1938,1587,8339,2067,1117,1179,3432,16.26,64.05,15.83,61.16,38.73,1.33,0.02,0.06,0,0.02,54.95,31.53,27.16,7.07,7.86
050US01015,01015,119761,42454,74066,8719,18792,13453,13533,58430,11723,5586,4902,11609,22.53,71.76,9.69,81.26,17.6,1.11,0.18,0.33,0.09,0.54,43.26,28.46,16.33,9.15,6.6
050US01017,01017,39191,14422,21631,2866,6766,3528,2923,15773,3851,2065,2158,5712,16.46,64.82,14.57,64.36,35.45,0.91,0.04,0.05,0.01,0.09,54.6,30.23,17.83,7.68,6.25
050US01019,01019,18760,7377,11061,1334,3044,1610,1545,8092,2010,991,951,2338,16.82,66.47,12.46,91.6,8.26,0.53,0.08,0.04,0,0.01,56.76,28.58,18.61,7.4,11.82
050US01021,01021,30612,12702,17428,2391,5066,2772,2469,13115,3129,1512,1425,3974,17.12,67.2,12.98,88.01,11.87,0.55,0.03,0.07,0,0.03,53.97,30.09,19.85,9.34,15.43
050US01023,01023,16839,5988,8919,1476,3226,1672,1258,6946,1574,825,681,2111,17.4,69.17,12.54,56.36,43.46,0.97,0.04,0.06,0,0.08,55.34,34.5,31.47,8.01,9.74
050US01025,01025,27702,9909,14659,2428,5228,2795,2165,11632,2511,1145,1203,3555,17.9,69.63,12.83,57.06,42.69,1.11,0.15,0.05,0.01,0.04,50.59,34.25,26.37,7.99,10.02
050US01027,01027,13703,5320,7455,1010,2342,1304,994,5597,1370,629,677,2078,16.77,65.31,15.16,83.37,16.55,0.69,0.03,0.03,0,0.02,53.41,30.43,21.02,6.14,10.39
050US01029,01029,12595,4778,7247,901,2116,1161,1001,5466,1322,585,612,1593,17.17,67.35,12.65,94.68,5.14,0.56,0.03,0.1,0,0.06,61.66,29.81,16.68,6.1,8.48
050US01031,01031,38533,14559,22655,2771,6414,3667,3025,17312,4047,1934,1676,4379,17.37,68.76,11.36,82.1,16.95,0.91,0.17,0.43,0.01,0.33,43.38,29.84,16.32,6.61,7.75
050US01033,01033,54519,20662,32579,3809,8723,5266,4497,24365,5867,2992,2650,6113,17.91,67.68,11.21,82.92,16.78,0.51,0.12,0.11,0.01,0.06,44.15,29.03,14.53,9.5,7.17
050US01035,01035,15884,5963,8356,1314,2724,1559,1251,6299,1492,757,777,2521,17.69,65.08,15.87,58.62,41.14,1.23,0.16,0.03,0.04,0.01,57.51,31.52,29.41,7.29,8.5
050US01037,01037,11377,4303,6354,791,2009,1025,906,4559,1257,593,608,1560,16.97,64.68,13.71,65.14,34.72,0.99,0.07,0,0.01,0.06,56.88,30.44,24.68,5.15,9.39
050US01039,01039,36850,15043,20876,2472,5517,3298,2647,14620,3957,2161,2138,5985,16.13,61.35,16.24,86.62,13.12,0.7,0.09,0.12,0,0.05,55.73,27.11,19.92,6.79,8.62
050US01041,01041,14110,5488,7611,1063,2286,1257,1032,5463,1385,785,770,2358,16.22,62.45,16.71,73.51,26.17,0.91,0.18,0.05,0.03,0.06,62.38,29.35,29.82,6.03,8.45
050US01043,01043,61642,23507,35924,4313,10055,5646,4842,26539,6658,3295,3002,7780,17.01,66.36,12.62,98.84,0.86,0.5,0.12,0.11,0.02,0.06,53.38,29.1,17.48,8.06,7.44
050US01045,01045,47821,16499,29361,4247,7966,4689,6062,24574,4024,1813,1440,3757,22.48,76.93,7.86,81.02,16.37,2.24,0.41,0.97,0.14,1.09,35.1,30.75,16.49,8.92,8.07
050US01047,01047,53981,19223,28790,4643,10162,5894,4499,22992,4907,2426,2172,6679,19.25,70.02,12.37,44.84,54.63,1.1,0.07,0.06,0.03,0.37,46.49,34.29,32.29,9.4,8.5
050US01049,01049,53658,20605,30750,3923,8938,4624,4232,22783,5554,2724,2537,7199,16.5,66.43,13.42,97.91,1.75,0.52,0.17,0.07,0.01,0.09,57.33,29.28,19.46,6.87,6.59
050US01051,01051,43390,15975,25264,3168,7480,4043,3656,19481,4289,2130,1903,4939,17.74,69.44,11.38,77.4,22.25,0.8,0.07,0.12,0.01,0.15,42.27,30.39,18.18,5.45,12.21
050US01053,01053,38440,13489,21860,3028,6552,3746,3119,17050,3740,1771,1639,4660,17.86,69.28,12.12,67.78,29.59,0.73,2.47,0.06,0.03,0.06,49.23,31.01,21.02,9.59,6.2
050US01055,01055,103057,39824,60410,7391,16665,8992,8296,43778,10883,5857,5379,13104,16.78,65.82,12.72,86.17,13.4,0.51,0.12,0.14,0,0.16,45.1,28.67,16.15,8.19,7.43
050US01057,01057,18809,7489,10602,1423,3050,1665,1433,7840,1870,967,937,2722,16.47,65.46,14.47,87.08,12.74,0.61,0.04,0.08,0.01,0.06,56.42,29.16,18.13,6.46,10.4
050US01059,01059,28350,11239,16459,2005,4472,2469,2232,12101,3047,1448,1392,3885,16.58,65.53,13.7,95.21,4.59,0.65,0.08,0.1,0,0.03,54.92,28.24,17.11,9.47,9.16
050US01061,01061,24253,9310,13526,1739,4092,2167,1782,9914,2467,1257,1254,3530,16.28,64.92,14.55,86.67,12.71,0.87,0.41,0.05,0.01,0.16,54,29.67,20.85,5.28,7.93
050US01063,01063,11021,3814,5303,1000,2142,1219,855,4268,942,419,460,1790,18.82,67.24,16.24,21.82,78,1.59,0.02,0.04,0.01,0.12,60.09,35.64,45.67,14.51,9.49
050US01065,01065,15604,5476,7836,1448,2791,1741,1229,6150,1338,738,721,2418,19.03,66.58,15.5,37,62.8,1.97,0.11,0.04,0.04,0.01,61.81,34.29,39.52,11.07,11.43
050US01067,01067,15302,6065,8415,1222,2667,1316,1084,6194,1459,815,751,2194,15.68,65.89,14.34,61.91,37.9,0.89,0.16,0.03,0,0.01,56.04,30.67,22.72,6.06,13.31
050US01069,01069,74632,28558,43785,6040,12845,6806,6180,33751,7737,3460,3114,7685,17.4,70.53,10.3,76.91,22.26,0.77,0.31,0.38,0,0.14,41.71,31.03,16.9,4.72,8.32
050US01071,01071,51407,19297,30400,4049,8891,4663,4274,23727,5154,2273,2126,5187,17.38,71.33,10.09,95.3,4.18,0.66,0.37,0.08,0,0.07,52.18,30.77,15.75,8.76,8.33
050US01073,01073,671324,259042,406353,48923,99487,58582,63435,306270,69663,35452,30457,81072,18.18,67.73,12.08,66.2,33.33,0.67,0.08,0.24,0.02,0.13,35.29,27.39,15.32,6.66,5.72
050US01075,01075,16453,6376,9157,1228,2783,1422,1229,6734,1698,810,794,2406,16.11,65.31,14.62,87.87,12,0.95,0.07,0.04,0.01,0.01,57.02,29.72,18.24,6.05,9.24
050US01077,01077,80546,30090,48772,5437,12750,8273,7759,37527,8379,4012,3666,8775,19.9,69.17,10.89,89.86,9.74,0.65,0.12,0.18,0.01,0.09,42.4,28.55,14.76,8.37,6.21
050US01079,01079,30170,10818,16766,2364,5733,3065,2332,13363,2840,1330,1238,3302,17.89,71.13,10.94,82.91,16.82,0.63,0.13,0.04,0,0.1,57.05,33.48,23.55,10.73,9.28
050US01081,01081,76283,29202,51416,4882,10727,10109,14616,43765,6116,2764,2395,5634,32.41,77.83,7.39,74.55,24.45,1.04,0.14,0.52,0.01,0.32,37.87,25.21,23.58,6.16,7.63
