HEROP_ID,STATEFP,TotPop,TotUnits,Age18_64,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_54,Age55_59,Age60_64,AgeOv65,Age15_24P,Und45P,Ovr65P,WhiteP,BlackP,HispP,AmIndP,AsianP,PacIsP,OtherP,NoHsP,ChildrenP,PovP,UnempP,VacantP
040US01,1,3893888,1450755,2291625,296412,642246,377406,361187,1767059,388995,190062,169099,440015,18.97,69.49,11.3,73.77,25.59,0.86,0.19,0.23,0.02,0.2,43.51,29.85,18.88,7.51,7.51
040US02,2,401851,152562.6081,259559,38949,69325,37154,45090,227074,34243,12617,8096,11547.01,20.47,83.45,2.87,77.08,3.4,2.36,15.95,1.83,0.17,1.57,17.47,32.54,10.56,9.66,14.68
040US04,4,2718215,1071787.001,1619366,213883,430640,252017,263783,1257603,251820,132507,124400,307362,18.98,69.98,11.31,82.44,2.76,16.22,5.62,0.76,0.05,8.37,27.65,29.12,13.18,6.2,10.71
040US05,5,2286435,889193,1302584,175592,365856,214322,193769,990843,217759,113577,110331,312477,17.85,67.02,13.67,82.68,16.35,0.78,0.41,0.28,0.01,0.27,44.55,29.36,18.96,6.92,8.22
040US06,6,23667902,9223120,14864694,1708400,3446367,2130465,2355965,11544383,2359934,1202140,992428,2414250,18.96,70.56,10.2,76.18,7.69,19.2,0.85,5.04,0.26,9.98,26.52,26.99,11.37,6.55,6.43
040US08,8,2889964,1169574,1833826,216495,439282,268588,302606,1487692,270860,125711,102599,247325,19.76,74.17,8.56,88.98,3.52,11.76,0.63,0.98,0.06,5.84,21.36,27.99,10.13,5,9.26
040US09,9,3107576,1144520,1919793,185188,462041,288383,272382,1421200,338901,178712,156670,364864,18.05,66.56,11.74,90.08,7,4.01,0.15,0.6,0.01,2.17,29.67,26.48,8.03,4.66,4.44
040US10,10,594338,230301,368564,41151,90946,59748,58123,281175,63210,31847,26830,59179,19.83,69.53,9.96,82.08,16.13,1.63,0.22,0.68,0.01,0.88,31.35,28.03,11.85,6.29,10.08
040US11,11,638333,276857,420555,34365,78751,57624,69563,324004,63341,34093,29492,74287,19.92,68.48,11.64,26.91,70.32,2.77,0.16,0.99,0.05,1.57,32.93,22.48,18.57,6.77,8.57
040US12,12,9746324,4278634,5699115,570224,1306550,811340,811427,4072956,989160,555209,564652,1687573,16.65,61.05,17.31,83.97,13.78,8.81,0.2,0.56,0.02,1.47,33.33,24.21,13.46,5.11,12.49
040US13,13,5463105,2013839,3300244,414935,916429,530773,516084,2624230,528004,246907,215869,516731,19.16,72.41,9.46,72.25,26.82,1.12,0.14,0.42,0.02,0.34,43.59,30.13,16.63,5.86,7.06
040US15,15,964691,332205,612958,77848,147927,86446,105682,483145,94444,47383,37794,76150,19.92,73.49,7.89,33.05,1.8,7.38,0.28,46.86,13.61,4.41,26.17,28.57,9.89,4.72,11.48
040US16,16,943935,360031,543590,93531,161952,87982,86234,433944,81449,41182,38197,93680,18.46,73.04,9.92,95.52,0.29,3.88,1.12,0.58,0.05,2.45,26.28,32.49,12.61,7.97,9.98
040US17,17,11426518,4304425,6921596,842241,1768998,1066995,1073008,5288561,1161441,593160,510232,1261885,18.73,69.14,11.04,80.8,14.66,5.56,0.14,1.38,0.02,2.99,33.5,28.38,11.02,7.15,6.02
040US18,18,5490224,2065115,3286522,418764,887881,529628,518661,2536280,550112,278021,233782,585384,19.09,70,10.66,91.15,7.56,1.59,0.14,0.36,0.01,0.78,33.62,29.48,9.66,7.81,6.69
040US19,19,2913808,1121314,1700351,221628,442741,277633,272024,1301508,281422,145854,133071,387584,18.86,67.47,13.3,97.44,1.43,0.88,0.19,0.39,0.01,0.54,28.47,28.34,10.15,5.04,6.09
040US20,20,2363679,950511,1408381,180877,344378,217721,232788,1074767,231429,119932,106033,306263,19.06,67.69,12.96,91.73,5.34,2.68,0.65,0.61,0.03,1.64,26.67,27.46,10.15,3.98,8.24
040US21,21,3660777,1355434,2168219,282731,591156,354439,346119,1690704,354252,178333,153773,409828,19.14,70.06,11.2,92.3,7.09,0.75,0.1,0.25,0.02,0.24,46.88,29.58,17.6,8.54,6.79
040US22,22,4205900,1537183,2471153,361533,717761,426157,420276,1977411,393906,189278,161732,404279,20.12,72.68,9.61,69.24,29.44,2.36,0.29,0.54,0.02,0.47,42.33,31.63,18.63,6,8.16
040US23,23,1124660,428245,662355,78514,178456,107412,98438,507374,112021,56566,50811,140918,18.3,67.96,12.53,98.68,0.28,0.44,0.36,0.25,0.01,0.41,31.33,28.58,12.97,7.61,7.72
040US24,24,4216975,1549680.001,2653836,272274,649494,405011,392391,2050048,446488,222682,180380,395609,18.91,70.47,9.38,74.91,22.72,1.54,0.19,1.5,0.03,0.66,32.55,27.69,9.82,5.76,5.73
040US25,25,5737037,2141364,3520117,337215,836066,548239,552902,2664011,584835,310995,277384,726531,19.19,66.89,12.66,93.48,3.85,2.46,0.13,0.85,0.01,1.67,27.81,25.98,9.59,5.05,5.07
040US26,26,9262078,3450696,5597834,685113,1528994,901277,894430,4339993,930931,471411,393378,912258,19.39,70.76,9.85,84.99,12.95,1.75,0.43,0.6,0.01,1.01,32.01,29.71,10.44,10.95,7.4
040US27,27,4075970,1530293,2424598,307249,629673,399818,393566,1919139,380250,189457,170638,479564,19.46,70.07,11.77,96.56,1.31,0.79,0.86,0.64,0.01,0.62,26.95,28.75,9.47,5.41,5.56
040US28,28,2520638,904523,1417084,215279,445324,258878,233505,1122427,231819,112768,103664,289357,19.53,70.74,11.48,64.08,35.2,0.98,0.24,0.28,0.02,0.18,45.23,32.3,23.93,7.15,8.55
040US29,29,4916686,1962576,2906077,354144,737594,461336,445442,2200081,496552,254957,225232,648126,18.44,66.95,13.18,88.38,10.46,1.05,0.25,0.44,0.03,0.44,36.48,27.71,12.16,6.9,8.62
040US30,30,786690,320540,470236,64455,122777,74622,74018,369984,73677,36557,34681,84559,18.89,70.83,10.75,94.08,0.23,1.27,4.74,0.29,0.03,0.63,25.58,29.48,12.25,8.23,9.94
040US31,31,1569825,618833,916971,122946,238952,147249,148734,708958,150653,75104,67528,205684,18.85,68.21,13.1,94.94,3.08,1.78,0.59,0.43,0.02,0.95,26.6,28.49,10.73,3.7,7.66
040US32,32,800493,337649,518938,56132,117433,70162,77442,398063,85410,42116,35583,65756,18.44,71.41,8.21,87.49,6.37,6.73,1.66,1.64,0.12,2.71,24.52,26.96,8.7,5.93,9.87
040US33,33,920610,349172,559561,62512,144760,87776,83624,435824,90121,44749,39677,102967,18.62,69.86,11.18,98.86,0.43,0.6,0.15,0.31,0.01,0.24,27.75,28.03,8.45,4.8,7.36
040US34,34,7364823,2690377,4514191,463289,1114288,670665,614828,3303209,826558,430048,367660,859771,17.45,66.27,11.67,83.2,12.56,6.68,0.11,1.4,0.01,2.72,32.6,27.03,9.53,6.67,5.27
040US35,35,1302894,493489,769081,114731,223716,132306,125428,619319,122043,58424,48755,115906,19.78,73.51,8.9,75.03,1.84,36.63,8.14,0.49,0.03,14.45,31.14,32.08,17.61,7.1,10.54
040US36,36,17544043,6706199,10701110.46,1134970.33,2588392.69,1597121.56,1518866.08,7935424.2,1906552.75,978708.17,840493.18,2159501.69,17.76,66.45,12.31,79.5,13.69,9.46,0.23,1.76,0.02,4.81,33.73,26.7,13.42,7.14,5.45
