HEROP_ID,G_STATEFP,GEOID,STUSPS,TotPop,TotPopHh,TotVetPop,TotUnits,TotWrkE,WhiteP,BlackP,AmIndP,AsianP,PacIsP,OtherP,HispP,ChildrenP,Age15_24P,Und45P,Ovr65P,Age0_4,Age5_14,Age15_19,Age20_24,Age15_44,Age45_49,Age50_54,Age55_59,Age60_64,AgeOv65,AgeOv18,Age18_64,DisbP,NoHsP,VetP,NonRelFhhP,NonRelNfhhP,UnempP,PovP,MedInc,PciE,ForDqP,ForDqTot,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkE,EssnWrkP,NoIntP,VacantP,MobileP,LngTermP,RentalP,UnitDens,AreaSqMi,AlcTot,AlcDens,AlcPerCap,DsmBlk,IntrBlkWht,IsoBlk,DsmHsp,IntrHspWht,IsoHsp,DsmAs,IntrAsWht,IsoAs,Ndvi,ParkArea,StateArea,Cover,TotTracts,CntBupT,CntMetT,CntNalT,AvBupTime,AvMetTime,AvNalTime,PctBupT,PctMetT,PctNalT,FqhcCtTmDr,FqhcAvTmDr,FqhcTmDrP,HospCtTmDr,HospAvTmDr,HospTmDrP,RxCtTmDr,RxAvTmDr,RxTmDrP,MhCtTmDr,MhAvTmDr,MhTmDrP,SutpCtTmDr,SutpAvTmDr,SutpTmDrP,OtpCtTmDr,OtpAvTmDr,OtpTmDrP,DrgRlDth,TotHcv,MlHcv,FmHcv,Un50Hcv,A50_74Hcv,Ov75Hcv,BlkHcv,NonBlkHcv,HcvD13,MlHcvD13,FlHcvD13,AmInHcvD13,AsPiHcvD13,BlkHcvD13,HspHcvD13,U50HcvD13,A50_74HcvD13,O75HcvD13,HcvD14,MlHcvD14,FlHcvD14,AmInHcvD14,AsPiHcvD14,BlkHcvD14,HspHcvD14,U50HcvD14,A50_74HcvD14,O75HcvD14,HcvD15,MlHcvD15,FlHcvD15,AmInHcvD15,AsPiHcvD15,BlkHcvD15,HspHcvD15,U50HcvD15,D50_74Hcv15,O75HcvD15,HcvD16,MlHcvD16,FlHcvD16,AmInHcvD16,AsPiHcvD16,BlkHcvD16,HspHcvD16,U50HcvD16,A50_74HcvD16,O75HcvD16,HcvD17,MlHcvD17,FlHcvD17,AmInHcvD17,AsPiHcvD17,BlkHcvD17,HspHcvD17,U50HcvD17,A50_74HcvD17,O75HcvD17,AvHcvD,AvMlHcvD,AvFlHcvD,AvAmInHcvD,AvAsPiHcvD,AvBlkHcvD,AvHspHcvD,AvU50HcvD,Av50_74HcvD,AvO75HcvD,TotPcp,TotSp,OpRxRt20,PrMsuse20P,OdMortRt14,OdMortRt15,OdMortRt16,OdMortRt17,OdMortRt18,OdMortRt19,OdMortRt20,OdMortRtAv,AnyPdmpFr,AnyPdmphFr,OpPdmpFr,MsAcPdmpFr,ElcPdmpFr,AnyPdmpDt,AnyPdmphDt,OpPdmpDt,MsAcPdmpDt,ElcPdmpDt,AnyGslDt,GslArrDt,AnyGslFr,GslArrFr,AnyNalDt,NalPrStDt,NalPresDt,AnyNalFr,NalPrStFr,NalPresFr,MedcdExp19,MedcdExp18,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,ExpSsp,NoPrphLw,NtPrFrDsSy,PrExcInj,PrNtRefInj,NoLwRmUnc,MdMarijLaw,CrrctExpS,PlcFyrExpS,HlthExpS,WlfrExpS,CrrctExpL,PlcFyrExpL,HlthExpL,WlfrExpL,CrrctExpT,PlcFyrExpT,HlthExpT,WlfrExpT
040US01,G01,1,AL,4864680,4745881,335599,2244462,2076708,68.19,26.58,0.53,1.33,0.04,3.32,4.18,77,13.53,57.49,16.11,292125,614267,323914,334416,1890372,310307,330762,334011,309004,783832,3765887,2982055,16.3,14.24,8.94,2.11,16.98,6.6,17.5,25375,26846,10.68,54.4,0.48,8.9,23.74,13.49,11.76,1026959,49.45,19.81,17.12,13.29,26.54,31.45,44.32,50646.35,378,0.01,0,0.37,0.56,0.37,0.44,0.63,0.07,0.51,0.59,0.02,0.24,9179680820,1999581060,4.59,1181,1004,599,712,14.66,36.44,30.61,0.85,0.51,0.6,972,17.21,0.82,1024,15.64,0.87,1150,6.29,0.97,987,17.56,0.84,956,18.56,0.81,658,33.28,0.56,6405,30700,19400,10500,9400,19800,700,9400,20500,234,168,66,NA,NA,60,NA,NA,188,NA,246,165,81,NA,NA,66,NA,13,214,NA,187,136,51,NA,NA,50,NA,17,148,NA,166,120,46,NA,NA,45,NA,NA,135,NA,188,142,46,NA,NA,59,NA,11,149,11,204.2,146.2,58,NA,NA,56,NA,7.8,166.8,1.4,3031,5194,80.4,3.56,15.2,15.7,16.2,18,16.6,16.3,22.3,16.56,1,1,1,0,1,8/1/2004,11/1/2005,4/1/2006,,8/1/2004,6/10/2015,,1,0,7/1/2015,7/1/2015,,1,1,0,5916189723,5598446200,4014987200,1583459000,,,0,0,0,0,0,1,0,501051,167017,501051,1002102,642843,1609448,642843,1285686,1143894,1776465,1143894,2287788
040US02,G02,2,AK,738516,711117,67452,315386,351152,64.84,3.27,14.44,6.3,1.2,9.95,6.93,75,14.11,63.91,10.62,54240,102349,47451,56749,315398,44874,48470,50904,43853,78428,552378,473950,12,7.28,12.6,4.08,27.51,7.4,10.8,33413,35874,4.67,24.11,0.42,9.38,16.63,14.66,10.93,167856,47.8,11.46,19.63,4.71,21.31,36.02,0.55,570980.58,147,0,0,0.19,0.5,0.02,0.12,0.5,0.06,0.22,0.46,0.08,0.05,469000000000,52177139592,8.99,167,0,0,0,NA,NA,NA,0,0,0,157,15.31,0.93,131,72.47,0.78,128,76.08,0.77,144,48.22,0.86,144,73.34,0.86,90,37.31,0.54,NA,5200,3600,1600,1300,3800,100,200,5000,62,44,18,NA,NA,NA,NA,NA,37,NA,60,41,19,NA,NA,NA,NA,NA,35,NA,41,34,NA,NA,NA,NA,NA,NA,14,NA,50,33,17,14,NA,NA,NA,NA,33,NA,38,24,14,NA,NA,NA,NA,NA,10,NA,50.2,35.2,13.4,2,NA,NA,NA,NA,25.8,NA,652,933,36.1,3.61,16.8,16,16.8,20.2,14.6,17.8,22,17.08,1,1,1,0,1,9/7/2008,9/1/2008,1/1/2012,,9/7/2008,9/8/2008,,1,0,4/1/2016,4/1/2016,,1,1,0,2113813188,2077801600,1088386100,576420900,398204400,14790200,0,1,0,0,0,0,1,349572,116524,349572,699144,19371,489925,19371,38742,368943,606449,368943,737886
040US04,G04,4,AZ,6946685,6790680,487684,2970935,3045978,77.22,4.39,4.46,3.29,0.2,10.43,31.14,76,13.77,59.22,16.67,436102,920099,468197,488355,2757583,420088,425175,420490,408828,1158320,5312902,4154582,12.9,13.23,9.21,3.18,24.65,6.5,16.1,28815,29265,14.24,148.17,0.47,8.85,16.15,13.02,12.16,1344429,44.14,12.85,15.03,10.47,16.73,36.38,26.15,113590.17,298,0,0,0.53,0.48,0.04,0.38,0.47,0.41,0.46,0.53,0.03,0.1,49969878090,19686821200,2.54,1533,1434,1258,1410,8.08,20.01,10.75,0.94,0.82,0.92,1434,12.04,0.94,1386,12.88,0.91,1444,7,0.94,1430,10.1,0.93,1434,10.14,0.94,1309,17.44,0.85,12166,61500,44400,18800,16300,45400,1400,4100,59300,531,389,142,21,NA,33,148,56,431,21,553,411,142,25,NA,24,138,52,450,32,567,411,156,30,NA,26,135,57,459,31,500,355,145,15,NA,29,93,33,420,15,480,344,136,19,NA,28,132,32,407,25,526.2,382,144.2,22,NA,28,129.2,46,433.4,24.8,4266,8267,40.5,3.89,18.2,19,20.3,22.2,23.8,26.8,35.8,22.42,1,1,1,0,1,9/19/2007,9/1/2007,12/1/2008,,9/19/2007,4/26/2018,,0.67,0,9/1/2016,9/1/2016,,1,1,0,13178700072,11769148600,6371629300,2523317200,2653909200,220292800,0,0,0,0,0,1,1,754293,251431,754293,1508586,1848045,3429846,1848045,3696090,2602338,3681277,2602338,5204676
040US05,G05,5,AR,2990671,2906459,202572,1362040,1292263,77,15.41,0.67,1.47,0.27,5.18,7.32,76,13.56,58.49,16.3,190311,395579,201068,204406,1163477,182094,194386,195360,181928,487536,2284728,1797192,17.2,13.81,8.88,2.5,18.55,5.5,17.6,24977,25635,9.39,46.92,0.48,9.51,24.09,14.97,13.3,658909,50.99,21.07,15.41,12.27,21.68,34.35,26.18,52034.31,399,0.01,0,0.4,0.69,0.21,0.35,0.72,0.08,0.51,0.66,0.02,0.1,1893672651,1836606158,1.03,686,536,232,474,17.79,51.93,24.77,0.78,0.34,0.69,563,15.88,0.82,564,16.45,0.82,652,6.95,0.95,593,14.18,0.86,576,15.47,0.84,244,50.94,0.36,3915,21800,14900,6900,5800,15500,500,4600,17300,171,126,45,NA,NA,21,NA,14,133,NA,160,109,51,NA,NA,23,NA,NA,133,NA,183,134,49,NA,NA,29,NA,NA,145,NA,184,133,51,NA,NA,32,NA,NA,160,NA,169,121,48,NA,NA,24,NA,13,143,NA,173.4,124.6,48.8,NA,NA,25.8,NA,4.8,142.8,NA,1879,2911,75.8,3.36,12.6,13.8,14,15.5,15.7,13.5,19.1,14.5,1,1,1,0,1,3/11/2011,3/1/2013,5/1/2013,,7/27/2011,7/22/2015,7/22/2015,1,1,8/1/2015,8/1/2015,,1,1,0,6899029518,6400396000,3228811200,1323965200,1739970200,107649400,0,0,1,0,0,0,1,317061,105687,317061,634122,531165,870184,531165,1062330,848226,975871,848226,1696452
040US06,G06,6,CA,39148760,38329281,1618861,14084824,18309012,60.1,5.79,0.76,14.32,0.39,18.64,38.88,77,13.78,61.35,13.58,2480679,5055988,2583578,2809630,16482385,2577771,2578082,2465921,2192477,5315457,30075105,24759648,10.6,17.07,5.41,3.56,28.27,6.7,14.3,30797,35021,13.7,126,0.49,8.51,18.55,12.47,10.63,7920148,43.26,10.64,7.95,3.69,23.14,45.35,90.41,155793.02,6054,0.04,0,0.47,0.49,0.07,0.34,0.47,0.38,0.39,0.5,0.12,0.22,107000000000,7063958716,15.08,8058,7918,7251,7648,5.15,14.72,8.86,0.98,0.9,0.95,7881,6.61,0.98,7835,8.38,0.97,7971,3.15,0.99,7779,8.3,0.97,7866,7.06,0.98,7448,13.54,0.92,43494,318900,225200,98000,54800,254600,13300,49400,274400,3476,2442,1034,55,213,373,967,298,2809,350,3409,2417,992,51,193,397,997,274,2800,319,3245,2281,964,57,179,370,959,233,2645,352,2917,2033,884,52,159,367,868,193,2406,308,2630,1838,792,54,137,330,780,152,2154,311,3135.4,2202.2,933.2,53.8,176.2,367.4,914.2,230,2562.8,328,28810,49880,28.5,3.69,11.1,11.3,11.2,11.7,12.8,15,21.8,12.4,1,1,1,0,1,1/1/1939,1/1/1990,9/1/2009,,1/1/1998,1/1/2013,1/1/2013,1,1,1/1/2008,1/1/2014,,1,1,0,88735876561,89944234400,36497606700,35151528200,17251390500,1043709100,1,0,0,0,0,0,1,5647680,1882560,5647680,11295360,18713541,25783987,18713541,37427082,24361221,27666547,24361221,48722442
040US08,G08,8,CO,5531141,5411306,375746,2352202,2839374,84.17,4.12,0.99,3.12,0.15,7.45,21.42,77,13.25,61.13,13.39,335199,714733,354630,377987,2331051,357390,357964,363001,331165,740638,4271322,3530684,10.6,8.61,8.87,2.81,27.14,4.7,10.9,34109,36415,9.84,80.8,0.46,8.73,17.96,12.03,10.84,1151623,40.56,9.41,10.15,4.13,17.91,35.12,22.7,103638.18,1352,0.01,0,0.37,0.63,0.03,0.22,0.7,0.24,0.31,0.61,0.02,0.09,51431167579,4209023352,12.22,1249,1168,893,1154,8.39,25.99,10.71,0.94,0.71,0.92,1146,12.35,0.92,1145,12.91,0.92,1205,6.04,0.96,1180,10.42,0.94,1178,9.37,0.94,1007,21.32,0.81,8296,36300,25100,10900,9100,26100,800,3700,32300,349,263,86,NA,NA,25,101,29,285,13,352,228,124,NA,NA,25,84,23,298,20,362,240,122,NA,NA,36,92,16,304,10,385,288,97,NA,NA,36,99,20,327,20,386,251,135,NA,NA,47,91,31,317,13,366.8,254,112.8,NA,NA,33.8,93.4,23.8,306.2,15.2,4079,7301,37.5,3.7,16.3,15.4,16.6,17.6,16.8,18,24.9,16.88,1,1,1,0,1,6/3/2005,6/1/2005,2/1/2008,,6/3/2005,5/29/2012,8/10/2016,1,1,6/1/2013,5/1/2015,,1,1,0,9299627439,9229483200,3812195000,3792747500,1525136400,99404300,1,0,0,0,0,0,1,578478,192826,578478,1156956,1402407,2693737,1402407,2804814,1980885,2886563,1980885,3961770
040US09,G09,9,CT,3581504,3466662,173998,1512305,1810445,76.36,10.56,0.27,4.43,0.03,8.34,15.69,79,13.76,55,16.41,184983,425141,247182,245490,1359543,249188,272950,266170,235949,587580,2828879,2241299,11,9.51,6.17,2.59,19.7,6.5,10,36515,43056,8.46,55.12,0.5,10.91,17.6,15.58,10.6,729279,40.28,11.57,9.58,0.78,29.97,33.66,312.29,4842.66,1215,0.25,0,0.56,0.57,0.17,0.47,0.59,0.24,0.41,0.72,0.08,0.17,1880342992,1613697223,1.17,833,833,814,830,4.33,11.02,7.11,1,0.98,1,829,6.41,1,817,10.14,0.98,833,3.14,1,832,6.83,1,833,7.3,1,821,10.27,0.99,3999,18300,12900,4900,5600,11700,400,3700,14100,160,111,49,NA,NA,31,28,13,121,NA,156,116,40,NA,NA,23,38,13,133,NA,153,119,34,NA,NA,19,27,NA,121,NA,123,91,32,NA,NA,24,27,NA,99,NA,130,92,38,NA,NA,24,31,NA,103,NA,144.4,105.8,38.6,NA,NA,24.2,30.2,4.6,115.4,NA,2991,6337,37,3.48,17.6,22.1,27.4,30.9,30.7,34.7,39.1,29.16,1,1,1,1,1,6/6/2006,10/1/2006,7/1/2008,10/1/2015,10/1/2006,10/1/2011,10/1/2011,1,1,10/1/2003,10/1/2017,7/1/2015,1,0.25,1,8598198181,8579843200,3270834800,3257617600,1822845100,228545700,1,0,0,0,1,0,1,669357,223119,669357,1338714,0,1582453,0,0,669357,1805572,669357,1338714
040US10,G10,10,DE,949495,924444,66590,428251,450946,68.97,22.11,0.36,3.87,0.05,4.64,9.09,79,12.72,55.41,17.6,54854,113842,59798,61022,357416,60008,66445,68175,61626,167129,746069,578940,12.3,10.22,8.96,2.8,22.04,5.9,11.9,32357,33989,7.35,56.28,0.45,9.71,16.89,15.11,12.16,196456,43.57,11.82,16.46,8.26,25.16,28.92,219.81,1948.23,258,0.13,0,0.39,0.53,0.31,0.36,0.57,0.15,0.37,0.64,0.05,0.22,839131003.3,1734973880,0.48,218,218,218,218,5.61,10.79,8.17,1,1,1,217,10.43,1,211,11.45,0.97,218,2.92,1,212,9.48,0.97,218,8.63,1,218,10.2,1,1360,6300,4300,2000,1800,4300,100,2300,4000,53,37,16,NA,NA,16,NA,NA,25,NA,50,44,NA,NA,NA,20,NA,NA,31,NA,45,36,NA,NA,NA,13,NA,NA,29,NA,47,33,14,NA,NA,17,NA,NA,36,NA,49,34,15,NA,NA,17,NA,NA,23,NA,48.8,36.8,8.6,NA,NA,16.6,NA,NA,28.8,NA,735,1305,45.2,3.34,20.9,22,30.8,37,43.8,48,47.3,36.32,1,1,1,0,1,7/15/2010,9/1/2011,8/1/2012,,1/1/2011,8/31/2013,8/31/2013,1,1,9/1/2014,9/1/2014,,1,1,0,2254530291,2318701900,987366600,761443100,514715800,55176500,1,0,0,0,0,0,1,440268,146756,440268,880536,0,270786,0,0,440268,417542,440268,880536
040US11,G11,11,DC,684498,644878,26936,311545,369194,40.97,46.94,0.29,3.9,0.05,7.84,10.92,82,13.37,66.68,11.94,44692,61291,37417,54117,350426,38274,38186,36453,33464,81712,562761,481049,11.8,9.41,4.81,3.7,29.71,7.4,16.8,46436,53321,7.09,37.66,0.53,9.54,4.46,9,4.68,92135,24.96,14.06,9.7,0.07,21.43,58.21,5095.99,61.14,156,2.55,0,0.68,0.16,0.71,0.41,0.39,0.18,0.25,0.53,0.07,0.13,25548615.98,176787002.2,0.14,179,179,179,179,1.53,6.21,5.16,1,1,1,179,2.17,1,179,4.08,1,179,1.3,1,179,9.24,1,179,2.7,1,179,5.62,1,861,12700,7900,5200,1000,11500,500,11900,1200,103,80,23,NA,NA,96,NA,NA,89,NA,92,63,29,NA,NA,80,NA,NA,72,NA,101,74,27,NA,NA,88,NA,NA,94,NA,95,67,28,NA,NA,89,NA,NA,71,NA,83,65,18,NA,NA,76,NA,NA,59,NA,94.8,69.8,25,NA,NA,85.8,NA,NA,77,NA,1069,2607,32.6,3.62,19.4,14.7,14.5,15.2,22.8,43.2,58.1,22.08,1,1,1,0,1,2/22/2014,2/1/2014,10/1/2016,,2/22/2014,3/19/2013,3/19/2013,1,1,4/1/2013,3/1/2017,3/1/2017,1,0.83,0.83,2901113778,2780196600,1634749600,701938800,417278500,26229700,1,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,0,0,0,0
040US12,G12,12,FL,20598139,20166501,1452967,9348689,9253932,75.39,16.1,0.28,2.71,0.06,5.45,25.17,80,12.07,53.75,19.73,1117420,2308718,1201106,1284168,7644981,1326465,1422372,1399430,1314377,4064376,16449587,12385211,13.4,12.05,8.86,3.12,23.96,6.3,14.8,26895,30197,18.45,200.21,0.49,7.62,14.18,13.4,12.91,4120574,44.53,13.1,18.47,8.96,19.62,34.99,174.26,53648.32,2137,0.04,0,0.43,0.56,0.25,0.3,0.62,0.19,0.41,0.67,0.03,0.16,36913909440,2256248805,16.36,4245,4161,3255,3933,6.58,22.95,12.3,0.98,0.77,0.93,4129,10.37,0.97,4069,11.02,0.97,4212,3.47,0.99,4016,11.6,0.95,4071,10.22,0.96,3420,20.57,0.81,27974,151000,104300,46600,37200,109000,4400,27300,123900,1261,885,376,NA,10,179,124,92,1061,84,1266,897,369,NA,NA,159,141,86,1072,88,1270,897,373,NA,12,162,131,105,1074,81,1222,859,363,NA,NA,173,143,76,1030,103,1222,870,352,NA,13,171,144,99,1004,110,1248.2,881.6,366.6,NA,6.6,168.8,136.6,91.6,1048.2,93.2,13738,26609,43.4,3.45,13.2,16.2,23.7,25.1,13.2,25.5,35,20.74,1,1,1,0,1,6/18/2009,12/1/2010,10/1/2011,,7/1/2009,10/1/2012,,1,0,7/1/2015,7/1/2016,,1,1,0,24504283362,23376959100,14473538300,8903420700,,,1,0,0,0,0,0,1,1819119,606373,1819119,3638238,5889987,11925508,5889987,11779974,7709106,12531881,7709106,15418212
