"","GEOID","totPop19","engProf19"
"1","01001",52163,0.00803251346740026
"2","01003",201141,0.00708458245708234
"3","01005",24012,0.0189072130601366
"4","01007",21178,0.00335253565020304
"5","01009",54249,0.016184630131431
"6","01011",9706,0.0064908304141768
"7","01013",18679,0.00160608169602227
"8","01015",108010,0.00884177390982316
"9","01017",31617,0.00319448398013727
"10","01019",24716,0.00445055834277391
"11","01021",41296,0.0166844246416118
"12","01023",12246,0.00244977951984321
"13","01025",22751,0.000791174014329041
"14","01027",12657,0.000948091964920597
"15","01029",14067,0.00739318973484041
"16","01031",48455,0.0127334640387989
"17","01033",51632,0.00582971800433839
"18","01035",11694,0
"19","01037",10393,0.0036563071297989
"20","01039",35035,0.00151277294134437
"21","01041",13056,0.00582107843137255
"22","01043",77738,0.00627749620520209
"23","01045",46046,0.0127481214437736
"24","01047",36756,0.00198607030144738
"25","01049",67050,0.0344369873228934
"26","01051",76407,0.00956718625256848
"27","01053",34954,0.00411970017737598
"28","01055",96832,0.0125165234633179
"29","01057",15618,0
"30","01059",29247,0.0508770130269771
"31","01061",24977,0.00716659326580454
"32","01063",7746,0.000516395558998193
"33","01065",13825,0.00209764918625678
"34","01067",16244,0.00135434622014282
"35","01069",98301,0.00549333170567949
"36","01071",49096,0.00354407691054261
"37","01073",617160,0.0123468792533541
"38","01075",13163,0.0011395578515536
"39","01077",87771,0.0045459206343781
"40","01079",31279,0.0031970331532338
"41","01081",151625,0.0128672712283594
"42","01083",89510,0.00998771087029382
"43","01085",9466,0
"44","01087",17874,0
"45","01089",341026,0.0108730712614287
"46","01091",18352,0.000599389712292938
"47","01093",28314,0.00441477714204987
"48","01095",89028,0.0479736712045649
"49","01097",386912,0.00719543462079233
"50","01099",20135,0
"51","01101",211595,0.0153973392565987
"52","01103",112032,0.0215117109397315
"53","01105",8809,0
"54","01107",19186,0.016783070989263
"55","01109",31507,0.0203129463293871
"56","01111",21330,0.00276605719643694
"57","01113",53794,0.0124549206231178
"58","01115",82818,0.00440725446159048
"59","01117",200991,0.0155678612475185
