G_COUNTYFP,COUNTYFP,cntT,cntTimeDrive,avTimeDrive,pctTimeDrive
G01001,01001,12,9,23.8083333333333,0.75
G01003,01003,32,26,20.294375,0.81
G01005,01005,9,8,14.2055555555556,0.89
G01007,01007,4,3,14.445,0.75
G01009,01009,9,5,24.7444444444444,0.56
G01011,01011,3,1,37.81,0.33
G01013,01013,9,0,50.7933333333333,0
G01015,01015,31,25,16.4854838709677,0.81
G01017,01017,9,7,16.9344444444444,0.78
G01019,01019,6,5,18.5216666666667,0.83
G01021,01021,9,9,12.21,1
G01023,01023,4,3,26.055,0.75
G01025,01025,9,0,57.5577777777778,0
G01027,01027,4,3,19.7325,0.75
G01029,01029,4,2,20.0825,0.5
G01031,01031,14,11,18.9628571428571,0.79
G01033,01033,14,13,11.915,0.93
G01035,01035,5,4,23.244,0.8
G01037,01037,3,1,28.2133333333333,0.33
G01039,01039,14,0,44.7171428571429,0
G01041,01041,6,2,28.13,0.33
G01043,01043,18,16,18.7377777777778,0.89
G01045,01045,14,12,23.4871428571429,0.86
G01047,01047,15,14,13.9213333333333,0.93
G01049,01049,14,13,17.1928571428571,0.93
G01051,01051,15,10,26.876,0.67
G01053,01053,9,6,21.4855555555556,0.67
G01055,01055,30,30,9.75,1
G01057,01057,5,0,39.01,0
G01059,01059,9,6,26.7855555555556,0.67
G01061,01061,6,6,12.8466666666667,1
G01063,01063,3,3,18.6833333333333,1
G01065,01065,6,6,18.43,1
G01067,01067,6,6,17.185,1
G01069,01069,22,22,15.6322727272727,1
G01071,01071,11,9,13.5927272727273,0.82
G01073,01073,163,161,10.519509202454,0.99
G01075,01075,3,3,15.3866666666667,1
G01077,01077,22,21,13.0759090909091,0.95
G01079,01079,9,6,23.3477777777778,0.67
G01081,01081,27,16,28.0559259259259,0.59
G01083,01083,16,16,15.18625,1
G01085,01085,4,1,27.31,0.25
G01087,01087,12,12,12.26,1
G01089,01089,73,71,11.6586301369863,0.97
G01091,01091,6,4,22.2533333333333,0.67
G01093,01093,8,1,36.22875,0.12
G01095,01095,18,9,29.2261111111111,0.5
G01097,01097,115,113,8.57373913043478,0.98
G01099,01099,7,4,21.2271428571429,0.57
G01101,01101,65,64,8.11507692307692,0.98
G01103,01103,27,23,16.1474074074074,0.85
G01105,01105,3,2,13.9966666666667,0.67
G01107,01107,5,5,9.584,1
G01109,01109,8,8,15.6925,1
G01111,01111,6,1,30.8466666666667,0.17
G01113,01113,13,11,15.0053846153846,0.85
G01115,01115,13,4,33.9207692307692,0.31
G01117,01117,48,34,26.104375,0.71
G01119,01119,4,2,29.09,0.5
G01121,01121,22,14,23.7490909090909,0.64
G01123,01123,10,0,44.613,0
G01125,01125,47,46,13.1331914893617,0.98
G01127,01127,18,14,14.8805555555556,0.78
G01129,01129,5,3,29.704,0.6
G01131,01131,4,3,15.77,0.75
G01133,01133,7,4,21.7128571428571,0.57
G02013,02013,1,1,23.94,1
G02016,02016,2,2,23.94,1
G02020,02020,55,53,10.0681818181818,0.96
G02050,02050,3,3,0,1
G02060,02060,1,1,0,1
