"","GEOID","year","totPopE","whiteP","blackP","amIndP","asianP","pacIsP","otherP","hispP","noHSP","age0_4","age5_14","age15_19","age20_24","age15_44","age45_49","age50_54","age55_59","age60_64","ageOv65","ageOv18","age18_64","a15_24P","und45P","ovr65P","disbP"
"1","01",2010,4712651,69.9,26.15,0.55,1.09,0.04,2.27,3.45,18.62,6.4,13.3,7.3,7,40.4,7.4,7.2,6.4,5.4,13.5,76,62.5,0,0,0,16.3
"2","02",2010,691189,67.15,3.28,14.2,5.21,0.91,9.25,5.55,9.29,7.4,14.5,7.9,8,43.4,8.1,7.9,6.9,4.5,7.3,73.2,65.9,0,0.01,0,11.2
"3","04",2010,6246816,78.18,3.85,4.46,2.67,0.19,10.65,29.05,15.04,7.4,14.1,7.2,6.9,41.1,6.8,6.4,5.8,5.1,13.3,74.2,60.9,0,0,0,11.5
"4","05",2010,2872684,78.46,15.5,0.67,1.16,0.14,4.07,5.86,18.07,6.8,13.6,7.2,6.8,39.9,7.1,6.8,6.2,5.5,14.1,75.4,61.3,0,0,0,16.8
"5","06",2010,36637290,61.12,6.13,0.77,12.96,0.38,18.64,36.73,19.32,6.9,13.9,7.7,7.4,43.7,7.3,6.7,5.7,4.6,11.1,74.5,63.4,0,0,0,10
"6","08",2010,4887061,83.54,3.9,0.96,2.72,0.12,8.76,20.12,10.69,7,13.5,7,7.1,42.8,7.7,7.3,6.3,5,10.5,75.4,64.9,0,0,0,9.8
"7","09",2010,3545837,78.85,9.67,0.22,3.66,0.04,7.56,12.61,11.65,5.8,13.2,7.1,6.2,39.4,8.2,7.7,6.5,5.4,13.9,76.7,62.8,0,0,0,10.6
"8","10",2010,881278,71.08,21.02,0.35,3.17,0.05,4.33,7.59,12.95,6.4,12.7,7.3,6.9,40.4,7.6,7.1,6.2,5.6,13.9,76.7,62.8,0,0.01,0,12.4
"9","11",2010,584400,38.05,52.88,0.28,3.48,0.06,5.25,8.78,13.51,5.5,9,7.5,9.6,50.5,6.6,6.3,5.8,4.8,11.5,82.4,70.9,0,0.01,0,11.3
"10","12",2010,18511620,76.25,15.67,0.29,2.4,0.06,5.33,21.58,14.7,5.8,11.9,6.7,6.5,38.9,7.5,6.9,6.3,5.7,16.9,78.3,61.4,0,0,0,12.8
"11","13",2010,9468815,61.13,30.34,0.25,3.14,0.05,5.09,8.29,16.52,7.3,14.3,7.5,7,43.4,7.4,6.7,5.8,4.8,10.3,74,63.7,0,0,0,11.8
"12","15",2010,1333591,25.03,1.59,0.26,39.43,9.57,24.12,8.66,10.23,6.5,12.1,6.5,7.2,40.5,7.2,7.3,6.6,5.8,14,77.4,63.4,0,0,0,10.7
"13","16",2010,1526797,92.18,0.57,1.24,1.17,0.15,4.69,10.57,11.82,7.8,15.1,7.6,7.1,40.5,6.9,6.7,6,5,12,72.5,60.5,0,0,0,12.3
"14","17",2010,12745359,71.69,14.6,0.19,4.48,0.03,9.01,15.22,13.79,6.6,13.7,7.3,6.9,41.9,7.5,7.1,6.1,4.8,12.3,75.3,63,0,0,0,10.3
"15","18",2010,6417398,85.1,8.92,0.23,1.5,0.02,4.23,5.63,13.79,6.8,13.9,7.4,7,40.7,7.5,7.1,6.3,5,12.7,75,62.3,0,0,0,12.7
"16","19",2010,3016267,91.95,2.74,0.33,1.67,0.03,3.28,4.54,10.05,6.6,13.2,7.3,7.1,39.2,7.4,7.3,6.5,5.1,14.8,76,61.2,0,0,0,11.4
"17","20",2010,2809329,85.14,5.76,0.87,2.35,0.06,5.82,9.83,10.79,7.1,14.1,7.4,7.3,40.2,7.4,7.1,6.2,4.9,13.1,74.5,61.4,0,0,0,12.1
"18","21",2010,4285828,88.49,7.72,0.21,1.06,0.06,2.46,2.74,19.04,6.5,13.2,7,6.7,40.6,7.6,7.2,6.5,5.4,13.1,76.2,63.1,0,0,0,16.7
"19","22",2010,4429940,63.64,31.73,0.62,1.52,0.03,2.46,3.9,19.02,6.9,13.7,7.4,7.5,41.4,7.4,7.2,6.2,5.1,12.1,75.1,63,0,0,0,15
"20","23",2010,1327665,95.57,1.05,0.53,1.01,0.03,1.81,1.28,10.24,5.3,11.8,6.9,6,37.5,8.3,8.2,7.4,6.2,15.3,78.8,63.5,0,0,0,15.6
"21","24",2010,5696423,59.62,29.23,0.28,5.35,0.05,5.47,7.55,12.24,6.4,13.1,7.2,6.7,41.5,8.1,7.4,6.4,5.1,11.9,76.1,64.2,0,0,0,10.1
"22","25",2010,6477096,81.66,6.52,0.19,5.19,0.04,6.4,9.03,11.31,5.7,12.3,7.2,7.1,41.5,7.9,7.4,6.4,5.3,13.5,77.9,64.4,0,0,0,11.2
"23","26",2010,9952687,79.33,14.08,0.55,2.44,0.03,3.57,4.25,11.96,6.2,13.6,7.6,6.7,39.9,7.7,7.5,6.6,5.2,13.2,75.7,62.5,0,0,0,13.5
"24","27",2010,5241914,86.61,4.91,1.06,3.9,0.04,3.48,4.46,8.67,6.7,13.4,7.2,6.9,40.8,7.9,7.4,6.3,4.9,12.6,75.5,62.9,0,0,0,10
"25","28",2010,2941991,59.89,36.99,0.46,0.84,0.02,1.8,2.37,20.38,7.1,14.1,7.7,7.3,40.9,7.2,6.9,6.2,5,12.6,74.3,61.7,0,0,0,16.3
"26","29",2010,5922314,83.38,11.47,0.39,1.56,0.09,3.11,3.35,13.84,6.5,13.3,7.3,7,40.1,7.6,7.2,6.3,5.3,13.7,75.9,62.2,0,0,0,14
"27","30",2010,973739,89.82,0.44,6.18,0.63,0.06,2.87,2.8,9.04,6.1,12.5,7.1,7,38,7.6,8,7.4,5.9,14.4,77.1,62.7,0,0.01,0,13.1
"28","31",2010,1799125,88.26,4.33,0.87,1.65,0.07,4.82,8.45,10,7.2,13.7,7.2,7.3,40.2,7.3,7.1,6.2,4.9,13.4,74.8,61.4,0,0,0,10.8
"29","32",2010,2633331,73.6,7.88,1.08,6.99,0.59,9.86,25.59,15.72,7.2,13.6,6.7,6.7,42.5,7.2,6.7,6,5.4,11.5,75,63.5,0,0,0,10.8
"30","33",2010,1313939,94.49,1.08,0.22,2.11,0.02,2.08,2.69,9.05,5.5,12.7,7.3,6.3,39.3,8.8,8.1,7,5.7,13,77.5,64.5,0,0,0,11.3
"31","34",2010,8721577,69.64,13.49,0.23,8,0.03,8.61,16.83,12.74,6.3,13.3,6.9,6,40.4,8.1,7.4,6.2,5.1,13.2,76.1,62.9,0,0,0,9.9
"32","35",2010,2013122,71.23,1.98,9.35,1.36,0.05,16.03,45.4,17.29,7.1,13.8,7.5,7.1,40,7.2,7.1,6.5,5.4,12.8,74.5,61.7,0,0,0,13.7
"33","36",2010,19229752,66.38,15.55,0.35,7.24,0.03,10.45,17.1,15.55,6,12.5,7.2,7.1,42,7.6,7.1,6.3,5.1,13.3,77.2,63.9,0,0,0,10.9
"34","37",2010,9271178,69.61,21.37,1.14,2.1,0.06,5.72,7.8,16.43,6.7,13.3,7,6.9,41.5,7.4,6.9,6.2,5.3,12.6,75.9,63.3,0,0,0,13.1
"35","38",2010,659858,90.53,1.07,5.27,0.93,0.07,2.13,1.95,10.58,6.3,12,7.5,9.1,40.9,7.3,7.5,6.5,5,14.6,77.6,63,0,0.01,0,10.8
"36","39",2010,11512431,83.38,12.08,0.2,1.62,0.02,2.7,2.89,12.57,6.3,13.4,7.3,6.5,39.5,7.6,7.5,6.6,5.3,13.8,76,62.2,0,0,0,13.2
"37","40",2010,3675339,74.01,7.27,7.07,1.68,0.11,9.86,8.22,14.63,7,13.6,7.3,7.4,40.5,7.2,7,6.2,5.2,13.4,75.2,61.8,0,0,0,15.7
"38","41",2010,3761925,85.6,1.77,1.61,3.6,0.32,7.1,11.17,11.45,6.2,12.7,6.8,6.7,40.4,7.1,7.4,7,5.7,13.5,77,63.5,0,0,0,13.5
"39","42",2010,12612705,82.93,10.68,0.14,2.64,0.02,3.59,5.21,12.59,5.8,12.4,7.3,6.7,39.2,7.7,7.6,6.7,5.4,15.3,77.6,62.3,0,0,0,13.2
"40","44",2010,1056389,82.04,5.88,0.43,2.93,0.03,8.69,11.78,16.34,5.6,12.1,7.7,7.6,41.2,7.8,7.5,6.4,5.3,14.2,78.2,64,0,0.01,0,12.5
"41","45",2010,4511428,67.25,28.14,0.31,1.2,0.05,3.05,4.63,16.99,6.6,13,7.3,7.1,40.8,7.3,7,6.5,5.7,13.2,76.3,63.1,0,0,0,13.8
"42","46",2010,799462,86.6,1.11,8.53,0.89,0.03,2.84,2.56,10.74,7.1,13.5,7.4,7.2,39.1,7.4,7.3,6.5,4.8,14.3,75.1,60.8,0,0.01,0,11.5
"43","47",2010,6234968,78.76,16.64,0.24,1.4,0.05,2.91,4.19,17.51,6.5,13.2,7,6.7,40.7,7.4,7.1,6.4,5.5,13.1,76.1,63,0,0,0,15
