"","GEOID","year","TotalPop","TotalVetPop","VetPercent","MalePop","MaleVetPop","Male18To34","MaleVet18To34","Male35To54","MaleVet35To54","Male55To64","MaleVet55To64","Male65To74","MaleVet65To74","Male75Plus","MaleVet75Plus","FemalePop","FemaleVetPop","Female18To34","FemaleVet18To34","Female35To54","FemaleVet35To54","Female55To64","FemaleVet55To64","Female65To74","FemaleVet65To74","Female75Plus","FemaleVet75Plus"
"1","01001",2010,37747,5817,15.41,17727,5121,5200,476,7326,1674,2635,1340,1708,934,858,697,20020,696,5567,175,8131,386,2828,73,2047,30,1447,32
"2","01003",2010,134597,20396,15.15,64898,19170,16693,1418,23889,4689,10873,4326,8089,4561,5354,4176,69699,1226,16435,183,25644,648,12073,145,8540,85,7007,165
"3","01005",2010,21463,2327,10.84,11460,2222,3789,86,4382,790,1682,548,977,382,630,416,10003,105,2547,26,3474,69,1783,2,1107,8,1092,0
"4","01007",2010,17312,1883,10.88,9209,1804,2761,225,3918,509,1346,288,757,458,427,324,8103,79,2223,11,2962,47,1290,3,871,0,757,18
"5","01009",2010,42617,4072,9.55,20758,3911,5859,197,8131,857,3265,1159,2251,848,1252,850,21859,161,5609,46,8012,73,3687,25,2540,14,2011,3
"6","01011",2010,8427,943,11.19,4500,891,1323,25,1859,371,835,253,308,147,175,95,3927,52,1116,32,1322,12,644,8,425,0,420,0
"7","01013",2010,15808,1675,10.6,7156,1529,1969,51,2569,473,1279,431,795,271,544,303,8652,146,2249,73,2929,39,1391,34,957,0,1126,0
"8","01015",2010,90020,11757,13.06,42432,10601,13375,805,15499,3023,6823,2930,4160,2031,2575,1812,47588,1156,13829,284,16479,509,7518,185,4928,81,4834,97
"9","01017",2010,26469,2893,10.93,12342,2809,3322,202,4632,700,2147,855,1402,470,839,582,14127,84,3448,12,4889,69,2400,3,1601,0,1789,0
"10","01019",2010,20335,2172,10.68,9935,2107,2209,92,3714,373,1973,598,1419,576,620,468,10400,65,2333,27,3643,25,1959,0,1437,0,1028,13
"11","01021",2010,32201,3317,10.3,15724,3143,4659,190,6106,735,2434,775,1627,855,898,588,16477,174,4584,8,6002,108,2688,25,1734,10,1469,23
"12","01023",2010,10850,745,6.87,5107,690,1121,24,1993,198,942,108,661,188,390,172,5743,55,1184,23,2123,19,1025,13,728,0,683,0
"13","01025",2010,19508,1649,8.45,9074,1612,2385,80,3469,285,1520,455,1068,475,632,317,10434,37,2628,3,3820,17,1676,0,1217,10,1093,7
"14","01027",2010,10899,1148,10.53,5279,1063,1313,40,2001,220,844,226,708,288,413,289,5620,85,1310,19,1971,45,946,21,526,0,867,0
"15","01029",2010,11246,1126,10.01,5557,1028,1419,129,2134,162,969,281,679,238,356,218,5689,98,1400,21,2039,52,953,0,704,12,593,13
"16","01031",2010,35069,5947,16.96,16432,5284,4444,548,6264,1692,2750,1257,1788,1005,1186,782,18637,663,4803,250,6770,241,3006,82,2134,48,1924,42
"17","01033",2010,42183,4586,10.87,19745,4415,5028,187,7540,1076,3311,1091,2288,1021,1578,1040,22438,171,5333,25,8031,64,3658,29,2781,15,2635,38
"18","01035",2010,10180,1185,11.64,4820,1157,1120,0,1758,331,926,330,567,251,449,245,5360,28,1399,10,1702,0,954,18,689,0,616,0
"19","01037",2010,9034,1097,12.14,4395,1063,968,54,1738,233,823,326,571,240,295,210,4639,34,976,0,1746,17,874,3,572,0,471,14
"20","01039",2010,29025,3764,12.97,13722,3575,3549,182,5019,866,2351,965,1637,856,1166,706,15303,189,3593,49,5201,20,2516,41,1999,0,1994,79
"21","01041",2010,10591,1256,11.86,5007,1148,1328,122,1893,315,898,295,523,246,365,170,5584,108,1304,20,1981,14,925,58,707,0,667,16
"22","01043",2010,61128,6708,10.97,29860,6361,8493,311,11236,1535,4809,1749,3241,1468,2081,1298,31268,347,8130,92,10911,83,5150,64,3791,42,3286,66
"23","01045",2010,34774,7148,20.56,15993,6261,4519,735,5937,1978,2720,1531,1699,1124,1118,893,18781,887,5382,430,6654,261,2955,165,2097,13,1693,18
"24","01047",2010,32150,3384,10.53,14352,3067,4080,163,5445,929,2411,827,1512,569,904,579,17798,317,4949,75,6424,192,2800,14,1876,7,1749,29
"25","01049",2010,51806,4514,8.71,25152,4142,7656,300,9381,914,4074,1279,2546,817,1495,832,26654,372,7252,73,9688,194,4188,35,2982,44,2544,26
"26","01051",2010,58324,8363,14.34,28226,7395,8687,596,11173,2252,4398,1965,2560,1367,1408,1215,30098,968,8541,269,12118,503,4521,159,2746,20,2172,17
"27","01053",2010,28928,3146,10.88,14944,2971,4559,203,5754,747,2258,790,1508,678,865,553,13984,175,3602,0,4801,122,2399,43,1684,10,1498,0
"28","01055",2010,79785,9837,12.33,37675,9201,10461,386,14116,2712,6452,2434,3934,1863,2712,1806,42110,636,10656,177,14856,249,7029,112,4776,48,4793,50
"29","01057",2010,13521,1319,9.76,6462,1240,1651,71,2318,208,1135,351,848,297,510,313,7059,79,1556,17,2480,16,1242,30,976,7,805,9
"30","01059",2010,23652,2059,8.71,11624,1942,3407,91,4527,529,1704,365,1199,408,787,549,12028,117,3023,0,4459,42,1877,0,1451,34,1218,41
"31","01061",2010,20517,2547,12.41,9825,2356,2506,129,3651,586,1731,759,1153,505,784,377,10692,191,2458,51,3810,65,1789,51,1424,0,1211,24
"32","01063",2010,6909,460,6.66,3195,399,850,0,1166,143,557,96,346,34,276,126,3714,61,883,35,1340,26,684,0,406,0,401,0
"33","01065",2010,11974,1209,10.1,5638,1124,1592,140,2105,236,989,300,569,209,383,239,6336,85,1648,22,2350,58,997,0,678,0,663,5
