G_GEOID,GEOID,year,totWrkE,eduP,hghRskP,hltCrP,retailP
G01001020100,01001020100,2018,931,9.45,22.88,4.62,10.96
G01001020200,01001020200,2018,750,9.73,15.73,18.13,8.13
G01001020300,01001020300,2018,1624,5.23,25.12,11.39,10.41
G01001020400,01001020400,2018,1663,6.98,24.23,10.94,12.33
G01001020500,01001020500,2018,4607,10.05,15.56,10.44,5.45
G01001020600,01001020600,2018,1333,3.38,12.68,12.6,17.25
G01001020700,01001020700,2018,1488,2.55,18.82,14.92,5.98
G01001020801,01001020801,2018,1347,7.28,22.05,11.95,16.78
G01001020802,01001020802,2018,5070,10.73,24.64,9.45,4.99
G01001020900,01001020900,2018,3169,10.82,23.6,8.58,11.77
G01001021000,01001021000,2018,1110,23.24,21.98,11.8,7.75
G01001021100,01001021100,2018,1032,8.53,28.78,14.05,10.56
G01003010100,01003010100,2018,1748,6.52,32.44,13.16,10.07
G01003010200,01003010200,2018,1333,2.48,35.41,9.83,8.63
G01003010300,01003010300,2018,3711,8.08,23.77,12.13,20.64
G01003010400,01003010400,2018,2198,5.32,26.43,10.33,14.51
G01003010500,01003010500,2018,2123,9.8,26.94,12.44,14.32
G01003010600,01003010600,2018,1284,3.58,31.54,18.15,13.32
G01003010701,01003010701,2018,3894,9.48,18.67,14.2,9.66
G01003010703,01003010703,2018,10069,8.07,21.09,17.96,8.31
G01003010704,01003010704,2018,2688,9.34,15.44,11.76,16.67
G01003010705,01003010705,2018,5556,8.03,16.18,14.7,15.39
G01003010800,01003010800,2018,2924,9.1,10.94,11.76,20.59
G01003010903,01003010903,2018,2317,5.27,18.95,11.52,18.82
G01003010904,01003010904,2018,2749,8.8,26.81,6.07,12.44
G01003010905,01003010905,2018,4178,4.93,25.13,10.39,13.93
G01003010906,01003010906,2018,2022,6.08,34.12,8.16,15.08
G01003011000,01003011000,2018,1721,5.58,22.72,7.03,12.43
G01003011101,01003011101,2018,4741,8.73,9.87,21.83,12.34
G01003011102,01003011102,2018,1959,9.6,15.36,18.12,14.8
G01003011201,01003011201,2018,1843,6.78,9.55,14.32,11.56
G01003011202,01003011202,2018,2214,14.5,11.25,9.85,15.04
G01003011300,01003011300,2018,2127,3.81,19.13,11,14.39
G01003011401,01003011401,2018,5509,12.4,16.55,17.24,12.11
G01003011403,01003011403,2018,5167,12.35,16.33,5.92,17.81
G01003011405,01003011405,2018,1987,4.98,12.38,4.33,15.2
G01003011406,01003011406,2018,1632,5.09,7.54,9.93,12.56
G01003011407,01003011407,2018,2262,7.91,15.96,4.11,16.27
G01003011408,01003011408,2018,248,9.27,13.31,7.66,14.11
G01003011501,01003011501,2018,2695,12.8,21.97,6.27,13.58
G01003011502,01003011502,2018,5607,5.24,24.24,7.12,9.47
G01003011601,01003011601,2018,2755,2.54,20.15,10.93,18.04
G01003011602,01003011602,2018,2118,5.43,29.18,10.86,15.82
G01003990000,01003990000,2018,0,NA,NA,NA,NA
G01005950100,01005950100,2018,1065,7.51,30.8,13.99,9.48
G01005950200,01005950200,2018,876,8.56,35.16,4.45,5.71
G01005950300,01005950300,2018,635,5.2,49.76,1.1,8.35
G01005950400,01005950400,2018,952,11.66,31.83,10.61,9.03
G01005950500,01005950500,2018,1411,2.55,43.23,8.86,13.54
G01005950600,01005950600,2018,817,3.43,38.43,7.96,13.46
G01005950700,01005950700,2018,602,12.79,38.7,6.31,6.48
G01005950800,01005950800,2018,960,27.92,28.75,8.96,5.83
G01005950900,01005950900,2018,1402,10.84,32.67,11.13,17.12
G01007010001,01007010001,2018,836,9.33,30.98,10.77,0
G01007010002,01007010002,2018,2422,9.25,37.28,6.61,13.38
G01007010003,01007010003,2018,2159,10.75,34.18,13.66,10.28
G01007010004,01007010004,2018,2682,8.28,32.55,20.36,7.27
G01009050101,01009050101,2018,2907,3.85,33.95,14.76,10.22
G01009050102,01009050102,2018,2714,8,33.49,12.49,15.14
G01009050200,01009050200,2018,1672,5.98,26.56,18.54,7.66
G01009050300,01009050300,2018,1377,11.47,36.31,6.83,15.25
G01009050400,01009050400,2018,1550,6.06,36.39,12.71,17.81
G01009050500,01009050500,2018,2550,5.25,32.67,10.82,14.2
G01009050601,01009050601,2018,1655,9.24,30.27,14.68,11.18
G01009050602,01009050602,2018,4025,5.86,21.27,15.48,7.11
G01009050700,01009050700,2018,2896,5.15,30.49,11.74,12.26
G01011952100,01011952100,2018,464,9.7,47.84,5.82,5.82
