"","name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility"
"1","Perspectives Center for Care Inc","","60 Westwood Avenue","Suite 220","Waterbury","CT",6708,2460,"New Haven","860-276-3000","","860-276-3000 x301","","http://www.pcc4me.com",41.5613412,-73.0638482,"MH"
"2","Waterbury Hospital","Behavioral Health","88 Grandview Avenue","","Waterbury","CT",6708,2509,"New Haven","203-573-6500","","","","http://www.waterburyhospital.org",41.560854,-73.062008,"MH"
"3","Western CT Mental Health Network","Waterbury Area","95 Thomaston Avenue","","Waterbury","CT",6702,NA,"New Haven","203-805-5301","","","","http://www.ct.gov",41.5617313,-73.0551009,"MH"
"4","Patrick F MCauliffe Center","Co Occurring Center","70 Central Avenue","","Waterbury","CT",6702,NA,"New Haven","203-346-1931","","203-346-1931 x3106","","http://",41.559069,-73.043104,"MH"
"5","Connecticut Junior Republic","Wellness Center Waterbury","80 Prospect Street","","Waterbury","CT",6702,NA,"New Haven","860-567-9423 x303","","","860-567-9423 x325","http://www.ctjuniorrepublic.org",41.5579838,-73.0407474,"MH"
"6","StayWell Health Center 80 Phoenix","Behavioral Health Department","80 Phoenix Avenue","Suite 104","Waterbury","CT",6702,NA,"New Haven","203-756-8021 x3560","","","203-756-8021 x3555","http://staywellhealth.org/services/adult-behavioral-health/",41.5574067,-73.0388056,"MH"
"7","Family Intervention Center","","51 Lakeside Boulevard East","Suite 2","Waterbury","CT",6708,2958,"New Haven","203-753-2153","","","","http://familyinterventioncenterct.com",41.5439927,-73.0788451,"MH"
"8","Wellmore Behavioral Health","","141 East Main Street","","Waterbury","CT",6702,NA,"New Haven","203-575-0466 x1115","","203-756-7287","","http://www.wellmore.org",41.5552578,-73.0382552,"MH"
"9","Community Health Center of Waterbury","","51 North Elm Street","","Waterbury","CT",6702,NA,"New Haven","203-574-4000","","","","http://www.chc1.com",41.5558734,-73.0369383,"MH"
"10","Waterbury Outpatient Servs for CMHA","","255 Bank Street","4th Floor","Waterbury","CT",6702,NA,"New Haven","203-596-9724","","","","http://www.cmhacc.org",41.5523348,-73.0415485,"MH"
"11","CT Renaissance Waterbury Outpatient","","527 Wolcott Street","","Waterbury","CT",6705,NA,"New Haven","203-568-6190","","203-558-6190","","http://",41.5566363,-73.0141922,"MH"
"12","StayWell Health Center/South End II","Behavioral Health Adult Outpt Clinic","1309 South Main Street","","Waterbury","CT",6706,NA,"New Haven","203-756-8021 x3529","","","","http://www.staywellhealth.org",41.5383915,-73.0357615,"MH"
"13","Angelus House","","158 Flanders Road","","Bethlehem","CT",6751,NA,"Litchfield","203-266-8080","","203-266-8002","","http://Wellspring.org",41.6199611,-73.212898,"MH"
"14","Wellspring Foundation Inc","","21 Arch Bridge Road","","Bethlehem","CT",6751,NA,"Litchfield","203-266-8000","","203-266-8002","","http://wellspring.org/",41.6286001,-73.226122,"MH"
"15","StayWell Health Center Naugatuck","Behavioral Health Department","30 Church Street","","Naugatuck","CT",6770,NA,"New Haven","203-805-4929 x3450","Intakes","203-756-8021 x3450","203-756-8021 x3451","http://staywellhealth.org/services/adult-behavioral-health/",41.4880729,-73.0564844,"MH"
"16","Perspectives Center for Care Inc","","66 West Street","Suite 1","Danbury","CT",6810,NA,"Fairfield","860-276-3000","","860-276-3000 x301","","http://pcc4me.com",41.6693478,-72.9480372,"MH"
"17","Community Health Center of Bristol","","395 North Main Street","","Bristol","CT",6010,NA,"Hartford","860-585-5000","","","","http://www.chc1.com",41.679057,-72.947258,"MH"
"18","Bristol Hospital","Inpatient Behavioral Health","41 Brewster Road","P.O. Box 977","Bristol","CT",6010,NA,"Hartford","860-585-3420","","","","http://www.bristolhospital.org/",41.676516,-72.9359275,"MH"
"19","Perspectives Center for Care Inc","","135 Middle Street","Building 2","Bristol","CT",6010,NA,"Hartford","860-276-3000","","860-276-3000 x301","","http://pcc4me.com",41.6656164,-72.9212887,"MH"
"20","Devereux Foundation","The Glenholme School","81 Sabbaday Lane","","Washington","CT",6793,NA,"Litchfield","860-868-7377","","","","http://www.theglenholmeschool.org",41.647125,-73.306873,"MH"
"21","Wheeler Clinic Inc","Lifeline Program","91 NW Drive","","Plainville","CT",6062,NA,"Hartford","860-223-8885","","860-793-3500","","http://www.wheelerclinic.org",41.6923112,-72.8799867,"MH"
"22","Wheeler Clinic Inc","Alcohol and Drug Abuse Unit","91 NW Drive","","Plainville","CT",6062,NA,"Hartford","860-793-3500","","","","http://www.wheelerclinic.org",41.6923112,-72.8799867,"MH"
"23","Rushford at Cheshire","","680 South Main Street","","Cheshire","CT",6410,NA,"New Haven","203-630-5280","","","","http://www.rushford.org",41.4856144,-72.9049731,"MH"
