name1,name2,street1,street2,city,state,zip,zip4,county,latitude,longitude
A New Beginning,,122 Helton Court,,Florence,AL,35630,1465,Lauderdale,34.832909,-87.66639
AIDS Action Coalition,DBA Thrive Alabama,600 Saint Clair Avenue,Building 9 Suite 23,Huntsville,AL,35801,,Madison,34.7226273,-86.5873927
Aletheia House,,912 JL Chestnut Jr Boulevard,,Selma,AL,36701,,Dallas,32.4146865,-87.0259873
Aletheia House,,4246 5th Avenue South,,Birmingham,AL,35222,,Jefferson,33.5236257,-86.7697206
Aletheia House,,201 Finley Avenue West,,Birmingham,AL,35204,,Jefferson,33.5365581,-86.8387923
Aletheia House,Men Only,135 Finley Avenue West,,Birmingham,AL,35204,,Jefferson,33.5369594,-86.837993
AltaPointe Health Systems Inc,AltaPointe Medication Assisted Trt,4211 Government Boulevard,,Mobile,AL,36693,,Mobile,30.628145,-88.148098
Anniston Fellowship House Inc,,106 East 22nd Street,,Anniston,AL,36201,,Calhoun,33.6726345,-85.8278658
BHG Cullman Treatment Center,,1912 Commerce Avenue NW,,Cullman,AL,35055,,Cullman,34.2049023,-86.8751209
BHG Gadsden Treatment Center,,1121 Gardner Street,,Gadsden,AL,35901,,Etowah,34.0211838,-86.0179171
BHG Shoals Treatment Center Inc,,3430 North Jackson Highway,,Sheffield,AL,35660,,Colbert,34.7662769,-87.6761045
BHG/ECD Program Inc,,808 Downtowner Loop West,,Mobile,AL,36609,,Mobile,30.672136,-88.145133
Birmingham Metro Treatment Center,Metro Treatment of Alabama LP,151 Industrial Drive,,Birmingham,AL,35211,,Jefferson,33.4487324,-86.8503808
Bradford Health Services,Montgomery Regional Office,386 Saint Lukes Drive,,Montgomery,AL,36117,,Montgomery,32.3793482,-86.1703676
Bradford Health Services,Tuscaloosa Regional Office,515 Energy Center Boulevard,,Northport,AL,35473,,Tuscaloosa,33.2398014,-87.5539161
Bradford Health Services,Birmingham Regional Office/Jefferson,300 Century Park South,Suite 100,Birmingham,AL,35226,,Jefferson,33.4163883,-86.8107503
Bradford Health Services,Warrior,1189 Allbritton Road,,Warrior,AL,35180,,Jefferson,33.82505,-86.8721899
Bradford Health Services,Oxford Anniston,1713 Hamric Drive East,,Oxford,AL,36203,,Calhoun,33.6156587,-85.8058191
Bradford Health Services,Mobile Regional Facility,1000 Hillcrest Road,Suite 304,Mobile,AL,36695,,Mobile,30.6692464,-88.1914373
Bradford Health Services,Madison Residential Facility,1600 Browns Ferry Road,,Madison,AL,35758,,Madison,34.7242799,-86.7834227
Bradford Health Services,Huntsville Regional Office,220 Providence Main Street NW,Suite 200,Huntsville,AL,35806,4831,Madison,34.7512931,-86.6924627
Bradford Health Services,Florence Outreach,303 East College Street,Suite A,Florence,AL,35630,5709,Lauderdale,34.8007918,-87.6722525
Bridge Inc,Recovery Ctr for Teens/Tuscaloosa,6001 12th Avenue East,,Tuscaloosa,AL,35405,,Tuscaloosa,33.1523064,-87.521877
Bridge Inc,Recovery Center for Teens/Cullman,402 Arnold Street NE,Suite 104,Cullman,AL,35055,,Cullman,34.1808389,-86.8404266
Bridge Inc,Northwood Addiction Treatment Center,3232 Lay Springs Road,,Gadsden,AL,35904,,Etowah,34.0718643,-85.9792603
Bridge Inc,Mobile Addictions Treatment Center,722 Downtowner Loop West,,Mobile,AL,36609,,Mobile,30.6741679,-88.1451291
Bridge Inc,Fort Payne Addiction Treatment Ctr,100 7th Street NE,,Fort Payne,AL,35967,,DeKalb,34.4457695,-85.7173597
