G_COUNTYFP,COUNTYFP,county,state.code,state,deaths,pop,rawDeathRt
G01001,01001,"Autauga County, AL",1,Alabama,54,551996,9.8
G01003,01003,"Baldwin County, AL",1,Alabama,257,1977751,13
G01005,01005,"Barbour County, AL",1,Alabama,17,266002,6.4
G01007,01007,"Bibb County, AL",1,Alabama,41,226531,18.1
G01009,01009,"Blount County, AL",1,Alabama,111,576987,19.2
G01011,01011,"Bullock County, AL",1,Alabama,10,105825,9.4
G01013,01013,"Butler County, AL",1,Alabama,16,202989,7.9
G01015,01015,"Calhoun County, AL",1,Alabama,172,1163916,14.8
G01017,01017,"Chambers County, AL",1,Alabama,35,340134,10.3
G01019,01019,"Cherokee County, AL",1,Alabama,43,259634,16.6
G01021,01021,"Chilton County, AL",1,Alabama,66,438827,15
G01025,01025,"Clarke County, AL",1,Alabama,15,249949,6
G01027,01027,"Clay County, AL",1,Alabama,15,135962,11
G01029,01029,"Cleburne County, AL",1,Alabama,25,149460,16.7
G01031,01031,"Coffee County, AL",1,Alabama,48,509233,9.4
G01033,01033,"Colbert County, AL",1,Alabama,51,544707,9.4
G01035,01035,"Conecuh County, AL",1,Alabama,23,127958,18
G01037,01037,"Coosa County, AL",1,Alabama,15,109186,13.7
G01039,01039,"Covington County, AL",1,Alabama,36,376597,9.6
G01043,01043,"Cullman County, AL",1,Alabama,147,814506,18
G01045,01045,"Dale County, AL",1,Alabama,51,496934,10.3
G01047,01047,"Dallas County, AL",1,Alabama,34,416146,8.2
G01049,01049,"DeKalb County, AL",1,Alabama,149,711538,20.9
G01051,01051,"Elmore County, AL",1,Alabama,67,807436,8.3
G01053,01053,"Escambia County, AL",1,Alabama,151,378085,39.9
G01055,01055,"Etowah County, AL",1,Alabama,185,1035703,17.9
G01057,01057,"Fayette County, AL",1,Alabama,32,168705,19
G01059,01059,"Franklin County, AL",1,Alabama,70,316253,22.1
G01061,01061,"Geneva County, AL",1,Alabama,39,266720,14.6
G01067,01067,"Henry County, AL",1,Alabama,11,172471,6.4
G01069,01069,"Houston County, AL",1,Alabama,152,1032976,14.7
G01071,01071,"Jackson County, AL",1,Alabama,67,526816,12.7
G01073,01073,"Jefferson County, AL",1,Alabama,1311,6594504,19.9
G01077,01077,"Lauderdale County, AL",1,Alabama,107,926290,11.6
G01079,01079,"Lawrence County, AL",1,Alabama,52,336038,15.5
G01081,01081,"Lee County, AL",1,Alabama,126,1516255,8.3
G01083,01083,"Limestone County, AL",1,Alabama,76,891755,8.5
G01085,01085,"Lowndes County, AL",1,Alabama,13,106938,12.2
G01087,01087,"Macon County, AL",1,Alabama,16,198734,8.1
G01089,01089,"Madison County, AL",1,Alabama,412,3483670,11.8
G01093,01093,"Marion County, AL",1,Alabama,16,302779,5.3
G01095,01095,"Marshall County, AL",1,Alabama,161,945109,17
G01097,01097,"Mobile County, AL",1,Alabama,550,4138644,13.3
G01099,01099,"Monroe County, AL",1,Alabama,18,221428,8.1
G01101,01101,"Montgomery County, AL",1,Alabama,156,2277276,6.9
G01103,01103,"Morgan County, AL",1,Alabama,204,1194670,17.1
G01107,01107,"Pickens County, AL",1,Alabama,30,199382,15
G01109,01109,"Pike County, AL",1,Alabama,37,331221,11.2
G01111,01111,"Randolph County, AL",1,Alabama,24,227248,10.6
G01113,01113,"Russell County, AL",1,Alabama,88,569352,15.5
G01115,01115,"St. Clair County, AL",1,Alabama,195,861224,22.6
G01117,01117,"Shelby County, AL",1,Alabama,306,2046152,15
G01121,01121,"Talladega County, AL",1,Alabama,109,811667,13.4
G01123,01123,"Tallapoosa County, AL",1,Alabama,46,411355,11.2
G01125,01125,"Tuscaloosa County, AL",1,Alabama,292,2013088,14.5
G01127,01127,"Walker County, AL",1,Alabama,188,656751,28.6
G01133,01133,"Winston County, AL",1,Alabama,29,240970,12
G04001,04001,"Apache County, AZ",4,Arizona,202,719894,28.1
G04003,04003,"Cochise County, AZ",4,Arizona,216,1287448,16.8
G04005,04005,"Coconino County, AZ",4,Arizona,316,1376276,23
G04007,04007,"Gila County, AZ",4,Arizona,172,533723,32.2
G04009,04009,"Graham County, AZ",4,Arizona,63,375550,16.8
G04011,04011,"Greenlee County, AZ",4,Arizona,12,90955,13.2
G04012,04012,"La Paz County, AZ",4,Arizona,54,204426,26.4
G04013,04013,"Maricopa County, AZ",4,Arizona,7772,40668713,19.1
G04015,04015,"Mohave County, AZ",4,Arizona,537,2038694,26.3
G04017,04017,"Navajo County, AZ",4,Arizona,329,1082639,30.4
G04019,04019,"Pima County, AZ",4,Arizona,1855,10026949,18.5
G04021,04021,"Pinal County, AZ",4,Arizona,562,3989724,14.1
G04023,04023,"Santa Cruz County, AZ",4,Arizona,38,468042,8.1
G04025,04025,"Yavapai County, AZ",4,Arizona,597,2188685,27.3
G04027,04027,"Yuma County, AZ",4,Arizona,338,2024373,16.7
G05001,05001,"Arkansas County, AR",5,Arkansas,24,185691,12.9
G05003,05003,"Ashley County, AR",5,Arkansas,31,210879,14.7
G05005,05005,"Baxter County, AR",5,Arkansas,79,412561,19.1
G05007,05007,"Benton County, AR",5,Arkansas,345,2424272,14.2
G05009,05009,"Boone County, AR",5,Arkansas,50,372104,13.4
G05015,05015,"Carroll County, AR",5,Arkansas,63,276795,22.8
G05017,05017,"Chicot County, AR",5,Arkansas,16,112366,14.2
G05019,05019,"Clark County, AR",5,Arkansas,29,226852,12.8
G05021,05021,"Clay County, AR",5,Arkansas,20,154019,13
G05023,05023,"Cleburne County, AR",5,Arkansas,37,255613,14.5
G05027,05027,"Columbia County, AR",5,Arkansas,31,241324,12.8
G05029,05029,"Conway County, AR",5,Arkansas,30,211178,14.2
G05031,05031,"Craighead County, AR",5,Arkansas,135,1019843,13.2
G05033,05033,"Crawford County, AR",5,Arkansas,118,621142,19
G05035,05035,"Crittenden County, AR",5,Arkansas,57,496961,11.5
G05037,05037,"Cross County, AR",5,Arkansas,24,173940,13.8
G05041,05041,"Desha County, AR",5,Arkansas,13,123310,10.5
G05043,05043,"Drew County, AR",5,Arkansas,24,185925,12.9
