"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","ovr65P","VetPercent","noHSP","povP","UnempP","totUnits","occP","vacantP"
"1","Autauga County, Alabama","01001",1980,32259,76.27,22.07,1.13,33.54,8.75,11.99,23.39,16.62,6.72,10957,93.06,6.94
"2","Baldwin County, Alabama","01003",1980,78556,83.03,15.22,1.01,30.8,12.54,13.15,21.54,16.23,7.6,29947,89.41,10.59
"3","Barbour County, Alabama","01005",1980,24756,55.03,43.67,1.08,32.61,13.46,9.08,37.11,30.81,8.16,9246,90.58,9.42
"4","Bibb County, Alabama","01007",1980,15723,76.09,22.69,1.12,32.24,13.12,8.99,34.93,21.24,9.16,5721,90.32,9.68
"5","Blount County, Alabama","01009",1980,36459,97.58,1.64,0.56,29.7,11.84,10.69,32.2,18.01,7.66,13733,92.35,7.65
"6","Bullock County, Alabama","01011",1980,10596,32.12,66.31,1.51,33.29,15.86,7.35,38.34,35.45,9.51,3895,88.7,11.3
"7","Butler County, Alabama","01013",1980,21680,60.9,37.66,1.33,31.53,15.83,9.53,35.07,27.16,7.07,8108,92.14,7.86
"8","Calhoun County, Alabama","01015",1980,119761,80.7,17.51,1.11,28.46,9.69,11.59,23.87,16.33,9.15,42454,93.4,6.6
"9","Chambers County, Alabama","01017",1980,39191,64.1,34.87,0.91,30.23,14.57,9.96,31.32,17.83,7.68,14422,93.75,6.25
"10","Cherokee County, Alabama","01019",1980,18760,91.23,8.11,0.53,28.58,12.46,9.8,33.98,18.61,7.4,7377,88.18,11.82
"11","Chilton County, Alabama","01021",1980,30612,87.6,11.77,0.55,30.09,12.98,10.28,31.66,19.85,9.34,12702,84.57,15.43
"12","Choctaw County, Alabama","01023",1980,16839,56.16,42.7,0.97,34.5,12.54,9.5,36.17,31.47,8.01,5988,90.26,9.74
"13","Clarke County, Alabama","01025",1980,27702,56.82,41.87,1.11,34.25,12.83,8.82,28.48,26.37,7.99,9909,89.98,10.02
"14","Clay County, Alabama","01027",1980,13703,82.95,16.29,0.69,30.43,15.16,10.91,30.85,21.02,6.14,5320,89.61,10.39
"15","Cleburne County, Alabama","01029",1980,12595,94.13,5.14,0.56,29.81,12.65,8.86,38.05,16.68,6.1,4778,91.52,8.48
"16","Coffee County, Alabama","01031",1980,38533,81.55,16.76,0.91,29.84,11.36,11.1,26.84,16.32,6.61,14559,92.25,7.75
"17","Colbert County, Alabama","01033",1980,54519,82.59,16.63,0.51,29.03,11.21,11.38,24.49,14.53,9.5,20662,92.83,7.17
