"","NAME","FIPS","year","totPopE","whiteP","blackP","hispanicP","und18P","age35_49P","age50_64P","ovr65P","VetPercent","noHSP","disbP","povP","UnempP","totUnits","occP","vacantP"
"1","Autauga County, Alabama","01001",1990,34222,78.89,19.89,0.67,29.51,20.76,13.9,9.85,72.7,29.97,72.24,15.65,5.38,12732,92.88,7.12
"2","Baldwin County, Alabama","01003",1990,98280,85.27,12.81,1.04,25.98,20.24,15.41,15.14,77.04,26.78,76.27,14.34,5.44,50933,72.73,27.27
"3","Barbour County, Alabama","01005",1990,25417,55.29,43.89,0.49,29.37,19.16,13.07,14.66,73.93,44.36,72.1,25.19,7.52,10705,86.11,13.89
"4","Bibb County, Alabama","01007",1990,16576,78.63,20.92,0.24,28.92,19.87,12.9,12.67,74.14,48.19,73.12,21.18,6.45,6404,89.71,10.29
"5","Blount County, Alabama","01009",1990,39248,97.52,1.32,0.73,25.57,21.06,15.15,13.04,77.56,39.46,77.09,15.26,5.05,15790,92.74,7.26
"6","Bullock County, Alabama","01011",1990,11042,27.27,71.98,0.59,30.62,17.72,11.13,16.06,72.15,50.96,66.13,36.52,8.1,4458,84.95,15.05
"7","Butler County, Alabama","01013",1990,21892,59.39,40.12,0.3,30.11,17.79,13.21,16.81,73.44,47.25,72.47,31.48,14.11,8745,90.74,9.26
"8","Calhoun County, Alabama","01015",1990,116034,79.42,18.51,1.1,24.97,20.01,13.85,12.39,73.79,32.62,73.07,15.66,8.49,46753,91.94,8.06
"9","Chambers County, Alabama","01017",1990,36876,63.75,35.76,0.34,26.12,18.77,14.13,16.86,77.26,45.75,76.26,18.8,6.83,14910,92.46,7.54
"10","Cherokee County, Alabama","01019",1990,19543,92.71,6.61,0.29,24.01,20.39,16.66,14.79,79.51,46.55,79.15,17.59,7.56,9379,79.6,20.4
"11","Chilton County, Alabama","01021",1990,32458,88.04,11.29,0.36,26.76,20,14.62,13.88,76.27,43.42,75.57,17.11,5.97,13883,87.26,12.74
"12","Choctaw County, Alabama","01023",1990,16018,55.49,44.03,0.33,29.39,19.15,13.99,13.85,74.25,45.71,73.79,30.19,11.34,6789,84.65,15.35
"13","Clarke County, Alabama","01025",1990,27240,56.83,42.48,0.38,29.94,18.45,13.51,13.13,73.95,39.74,72.81,25.88,7.7,10853,87.59,12.41
"14","Clay County, Alabama","01027",1990,13252,83.16,16.34,0.2,25.04,18.79,15.26,16.84,78.09,46.18,76.87,17.44,4.92,5608,89.21,10.79
"15","Cleburne County, Alabama","01029",1990,12730,94.83,4.61,0.3,26.02,20.44,14.83,13.39,76.87,50.22,76.32,15.3,5.48,5232,91.28,8.72
"16","Coffee County, Alabama","01031",1990,40240,80.51,17.15,1.17,25.66,20.76,14.57,13.2,73.61,32.81,72.76,15.54,6.15,16951,90.02,9.98
"17","Colbert County, Alabama","01033",1990,51666,82.65,16.54,0.36,24.29,20.4,15.98,14.69,78.54,34.83,78.04,14.56,6.98,21812,92.13,7.87
"18","Conecuh County, Alabama","01035",1990,14054,57.11,41.9,0.58,27.88,17.89,14.13,17.29,75.59,47.33,74.84,29.74,11.53,6207,84.73,15.27
"19","Coosa County, Alabama","01037",1990,11063,65.35,34.13,0.16,26.05,18.38,15.56,14.48,77.19,46.14,75.91,18.2,5.73,5113,78.56,21.44
"20","Covington County, Alabama","01039",1990,36478,86.24,13.08,0.36,25.32,18.68,15.63,17.27,77.46,42.71,76.69,22.04,5.28,16178,89.28,10.72
"21","Crenshaw County, Alabama","01041",1990,13635,73.54,25.98,0.22,26.73,18.53,14.31,18.31,76.27,48.72,75.17,24.33,8.94,5938,88.62,11.38
"22","Cullman County, Alabama","01043",1990,67613,98.41,0.83,0.4,25.16,20.07,15.18,14.46,77.66,41.21,76.72,15.31,5.76,28369,90.26,9.74
"23","Dale County, Alabama","01045",1990,49633,77.95,17.66,2.45,27.96,18.23,11.61,9.39,64.66,25.76,64.08,14.79,6.92,19432,90.44,9.56
"24","Dallas County, Alabama","01047",1990,48130,41.67,57.69,0.27,31.38,17.53,13.03,13.74,72.15,40.42,71.12,36.25,11.35,19045,89.44,10.56
"25","DeKalb County, Alabama","01049",1990,54651,96.71,1.87,0.39,25.45,20.34,14.91,14.65,77.78,46.96,76.89,17.35,5.53,22939,91.41,8.59
"26","Elmore County, Alabama","01051",1990,49210,76.58,22.34,0.55,25.99,20.97,13.69,11.67,76.13,33.46,69.35,14.5,5.4,19497,84.79,15.21
"27","Escambia County, Alabama","01053",1990,35518,68.21,28.2,0.48,26.65,19.71,14.61,13.88,76.67,40.12,72.94,28.07,10.67,14356,89.85,10.15
"28","Etowah County, Alabama","01055",1990,99840,85.21,13.8,0.33,24.63,20.22,15.36,15.9,78.53,35.92,77.6,16.49,7.24,41787,92.55,7.45
"29","Fayette County, Alabama","01057",1990,17962,87.22,12.19,0.43,25.62,19.78,14.83,16.31,77.62,43.35,76.88,20.32,9.14,7555,90.79,9.21
"30","Franklin County, Alabama","01059",1990,27814,94.83,4.48,0.36,24.82,19.66,16.02,15.47,78.31,44.89,77.17,20.72,6.62,11772,92.17,7.83
"31","Geneva County, Alabama","01061",1990,23647,87.13,11.91,0.51,24.91,19.25,15.87,16.76,77.9,44.56,77.39,19.49,5.81,10416,88.62,11.38
"32","Greene County, Alabama","01063",1990,10153,19.36,80.37,0.24,32.92,16.16,12.92,15.66,70.46,46.21,69.8,45.57,10.5,4162,84.38,15.62
"33","Hale County, Alabama","01065",1990,15498,40.27,59.18,0.37,31.5,16.78,12.59,15.94,72.35,45.63,70.73,35.6,6.91,6370,84.73,15.27
"34","Henry County, Alabama","01067",1990,15374,64.25,34.92,0.6,26.67,19.68,14.67,16.26,76.56,41.49,75.87,17.35,5.29,7056,81.76,18.24
"35","Houston County, Alabama","01069",1990,81331,75.29,23.24,0.57,27.63,20.84,13.6,12.45,75.2,31.72,74.32,16.52,4.74,33196,92.91,7.09
"36","Jackson County, Alabama","01071",1990,47796,93.17,4.09,0.44,25.76,21.42,15.46,12.55,77.29,41.92,76.98,16.62,6.81,19768,91.16,8.84
"37","Jefferson County, Alabama","01073",1990,651525,63.92,35.02,0.42,24.95,20.62,13.74,14.04,77.59,26.15,76.44,16,6.54,273097,92.08,7.92
"38","Lamar County, Alabama","01075",1990,15715,87.48,11.85,0.45,25.39,19.4,15.4,15.72,77.56,47.1,76.57,18.01,5.78,6617,90.75,9.25
"39","Lauderdale County, Alabama","01077",1990,79661,89.52,9.64,0.39,23.95,20.17,15.1,14.28,78.52,32.12,77.75,14.88,5.74,33522,92.19,7.81
"40","Lawrence County, Alabama","01079",1990,31513,77.69,15.2,0.32,27.41,19.76,13.87,11.86,76.03,44.43,75.5,19.82,6.71,12212,93.43,6.57
"41","Lee County, Alabama","01081",1990,87146,74.04,23.36,0.63,21.9,17.24,10.62,8.55,79.97,26.78,79.16,24.86,6.69,36636,90.34,9.66
"42","Limestone County, Alabama","01083",1990,54135,85.84,13.13,0.48,25.13,20.69,13.99,11.31,77.76,36.87,74.85,13.98,6.28,21455,91.75,8.25
"43","Lowndes County, Alabama","01085",1990,12658,25.1,74.32,0.47,34.72,16,11.68,12.68,68.48,43.32,68.17,38.57,11.73,4792,84.64,15.36
"44","Macon County, Alabama","01087",1990,24928,13.76,85.41,0.41,26.64,16.17,10.82,15.35,76.99,38.06,74.72,34.49,14.3,9818,86.4,13.6
"45","Madison County, Alabama","01089",1990,238912,76.32,20.02,1.25,24.59,20.69,14.26,8.95,76.5,19.76,75.91,10.85,5.37,97855,93.21,6.79
"46","Marengo County, Alabama","01091",1990,23084,48.86,50.71,0.32,30.29,18.21,13.68,14.6,73.45,38.61,72.63,30.01,7.67,9144,89.2,10.8
"47","Marion County, Alabama","01093",1990,29830,96.24,3.23,0.22,24.55,20.09,15.62,15.21,78.42,49.98,76.49,19.14,9.03,12597,91.46,8.54
"48","Marshall County, Alabama","01095",1990,70832,97.58,1.53,0.41,24.66,20.53,15.81,14.05,78.29,38.53,77.46,17.23,7.48,30225,91.85,8.15
"49","Mobile County, Alabama","01097",1990,378643,66.73,31.03,0.84,28.53,20.03,12.9,11.79,74.31,29.86,73.3,21.37,8.96,151220,90.53,9.47
"50","Monroe County, Alabama","01099",1990,23968,59.46,39.03,0.39,30.78,18.6,12.88,13.14,73.37,40.76,72.74,22.68,8.64,9633,87.32,12.68
"51","Montgomery County, Alabama","01101",1990,209085,56.67,41.63,0.78,27.45,20.21,12.39,11.61,73.89,24.71,71.89,17.9,6.95,84525,91.3,8.7
"52","Morgan County, Alabama","01103",1990,100043,88.69,10.04,0.58,26,21.59,14.38,11.69,76.88,30.62,75.33,12.03,5.27,40419,93.52,6.48
"53","Perry County, Alabama","01105",1990,12759,35.24,64.24,0.28,31.37,15.09,13.1,15.85,72.48,49.03,71.42,42.64,7.5,4807,87.39,12.61
"54","Pickens County, Alabama","01107",1990,20699,57.84,41.67,0.24,28.47,17,15.56,16.4,74.25,43.83,73.09,28.89,8.28,8379,90.32,9.68
"55","Pike County, Alabama","01109",1990,27595,64.36,34.47,0.39,24.88,16.76,11.9,14.61,77.78,41.04,76.97,27.24,8.29,11506,89.64,10.36
"56","Randolph County, Alabama","01111",1990,19881,75.97,23.5,0.27,26.08,18.12,15.14,16.55,77.04,49.68,76.01,18.87,6.44,8728,86.54,13.46
"57","Russell County, Alabama","01113",1990,46860,60.42,38.5,0.64,26.63,19.35,14.85,12.68,75.85,42.97,75.01,20.37,8.86,19633,89.13,10.87
"58","St. Clair County, Alabama","01115",1990,50009,90.06,9.09,0.42,26.62,21.55,14.28,11.59,76.22,39,73.3,14.76,5.62,20382,86.67,13.33
"59","Shelby County, Alabama","01117",1990,99358,90.88,7.75,0.53,27.37,23.83,11.46,7.61,75.22,21.81,74.75,9.16,3.36,39201,91.8,8.2
"60","Sumter County, Alabama","01119",1990,16174,29.34,69.95,0.48,30.74,15.06,11.51,14.55,73.08,47.57,72.21,39.75,10.68,6545,84.72,15.28
"61","Talladega County, Alabama","01121",1990,74107,68.41,30.52,0.66,27.65,19.96,14.06,12.93,75.62,39.27,73.43,20.16,7.61,29861,88.57,11.43
"62","Tallapoosa County, Alabama","01123",1990,38826,73.3,26.24,0.18,25.57,19.49,15.14,16.11,77.55,42.17,76.11,16.03,4.62,17312,84.91,15.09
"63","Tuscaloosa County, Alabama","01125",1990,150522,72.28,26.09,0.63,23.69,19.11,12.58,11.35,78.67,30.42,76.35,20.06,6.02,58740,94.24,5.76
"64","Walker County, Alabama","01127",1990,67670,92.9,6.5,0.33,25.28,20.51,15.11,14.4,77.65,43.96,76.76,17.32,7.4,28427,89.89,10.11
"65","Washington County, Alabama","01129",1990,16694,65.64,27.63,0.31,30.45,19.23,13.3,12.04,73,41.83,72.48,24.84,10.45,6625,86.17,13.83
"66","Wilcox County, Alabama","01131",1990,13568,30.84,68.78,0.29,33.99,15.71,12.41,15.82,70.14,48.88,68.56,45.2,14.27,5119,86.25,13.75
"67","Winston County, Alabama","01133",1990,22053,99.17,0.26,0.27,24.63,20.92,15.64,14.09,78.24,51.24,77.33,19.79,9.44,10254,83.32,16.68
"68","Aleutians East Borough, Alaska","02013",1990,2464,32.51,0.61,7.31,22.2,23.01,9.66,2.35,79.91,33.57,79.91,11.87,1.38,693,76.91,23.09
"69","Aleutians West Census Area, Alaska","02016",1990,9478,64.68,6.7,7.83,19.87,20.33,4.85,0.87,49.15,14.16,49.15,8.95,3.32,2051,89.96,10.04
"70","Anchorage Municipality, Alaska","02020",1990,226338,78.72,6.24,4.09,29.46,25.32,9.5,3.65,68.78,9.61,68.07,7.07,7.04,94153,87.84,12.16
"71","Bethel Census Area, Alaska","02050",1990,13656,15.19,0.45,0.59,39.05,18.64,8.02,4.81,63.62,37.7,62.65,30.02,13.07,4362,82.65,17.35
"72","Bristol Bay Borough, Alaska","02060",1990,1410,62.48,2.7,2.34,27.09,22.91,8.65,2.98,56.6,10.24,56.6,5.15,6.93,596,68.29,31.71
"73","Denali Borough, Alaska","02068",1990,1681.9995924,41.73,1.04,0.97,34.83,23.97,10.43,4.62,62.18,26.79,62.03,26.05,21.42,971.9410242,56.09,43.91
"74","Dillingham Census Area, Alaska","02070",1990,4012,25.1,0.2,1.22,37.49,20.74,8.92,5.11,65.13,30.25,65.1,24.57,10.58,1691,71.85,28.15
"75","Fairbanks North Star Borough, Alaska","02090",1990,77720,80.03,6.94,3.73,31.31,22.91,7.71,3.27,61.31,10.19,60.64,7.58,10.21,31823,83.88,16.12
"76","Haines Borough, Alaska","02100",1990,2117,84.7,0.05,1.28,27.96,27.73,12.61,8.6,75.3,21.46,74.78,9.16,7.78,1112,71.13,28.87
"77","Hoonah-Angoon Census Area, Alaska","02105",1990,3284.9214565,59.79,0.14,1.53,32.7,25.63,10.7,5.36,69.81,20.72,69.81,8.92,13.11,1574.6647438,67.65,32.35
