"GEOID","TotPop","TotVetPop","TotUnits","WhiteP","BlackP","AmIndP","AsianP","PacIsP","OtherP","HispP","A15_24P","Und45P","Ovr65P","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","Age18_64","DisbP","NoHsP","VetP","UnempP","PovP","MedInc","PciE","GiniCoeff","VacP","ChildrenP"
"01001",54571,6036,22077,78.53,17.67,0.43,0.87,0.06,2.45,1.52,13.51,62.23,12,3579,8281,4290,3080,22100,4332,3873,3083,2777,6546,33412,15,14.89,15.39,7.53,11.55,27775,25253,0.4122,9.71,26.78
"01003",182265,19903,103984,85.67,9.38,0.67,0.74,0.05,3.49,2.85,11.55,55,16.77,11158,23525,11600,9449,65558,13431,13490,12523,12012,30568,109799,14,11.62,14.13,7.66,13.26,25643,26769,0.4364,30.04,22.99
"01005",27457,2174,11878,48,46.89,0.42,0.39,0.11,4.2,3.37,12.84,57.96,14.24,1702,3241,1731,1794,10971,2108,1910,1817,1799,3909,17533,20.5,26.41,10.13,11.3,26.07,16033,16532,0.4758,20.67,21.91
"01007",22915,1650,8958,75.85,22.02,0.28,0.1,0.06,1.69,1.35,13.24,60.61,12.68,1378,2845,1543,1491,9665,1805,1581,1401,1334,2906,14808,16.2,23.86,9.44,9.71,16.49,19745,17611,0.4212,17.55,22.7
"01009",57322,4245,23761,92.58,1.33,0.54,0.2,0.07,5.29,4.75,12.46,58.48,14.72,3616,7964,4033,3107,21942,4163,3922,3694,3582,8439,34777,17.3,24.34,9.77,9.12,14.73,22915,21155,0.4112,11.49,24.61
"01011",10914,739,4501,22.97,70.24,0.21,0.18,0.39,6,4.44,13.17,58.1,13.46,742,1245,726,711,4354,845,852,768,639,1469,7015,19.1,29.69,8.8,13.03,22.17,19179,19822,0.4979,16.91,22.26
"01013",20947,1690,9973,54.42,43.42,0.29,0.84,0.03,1,0.62,12.23,55.63,16.66,1372,2816,1391,1170,7465,1428,1552,1531,1294,3489,12402,19,23.73,10.73,11.93,25.69,18106,17564,0.4691,18.29,24.14
"01015",118572,11636,53293,74.92,20.56,0.46,0.71,0.08,3.26,2.09,14.87,58.6,14.33,7204,15240,8607,9022,47043,8291,8695,8024,7085,16990,74456,18.9,21.2,12.82,11.51,21.41,19649,20881,0.4532,14.13,22.88
"01017",34215,2736,17000,58.78,38.75,0.2,0.49,0.03,1.75,1.06,12.34,54.63,16.68,1953,4282,2298,1925,12456,2402,2647,2467,2302,5706,20806,21,26.22,10.36,13.84,23.27,18092,18478,0.4576,19.8,22.51
"01019",25989,2054,16168,92.66,4.65,0.52,0.21,0,1.96,0.66,11.27,51.54,17.9,1390,3154,1670,1258,8851,1919,2101,1909,2014,4651,15772,20.5,22.92,9.99,9.53,19.48,21349,22472,0.4556,27.28,21.42
