"GEOID","TotPop","TotVetPop","TotUnits","WhiteP","BlackP","AmIndP","AsianP","PacIsP","OtherP","HispP","Age0_4","Age5_14","Age15_19","Age20_24","Age15_44","Age45_49","Age50_54","Age55_59","Age60_64","AgeOv65","AgeOv18","A15_24P","Und45P","Ovr65P","NoHsP","DisbP","VetP","UnempP","PovP","PciE","MedInc","GiniCoeff","VacantP"
"01",4779736,398343,2172647,68.53,26.18,0.59,1.12,0.06,3.52,2.48,304957,627884,343471,335322,1907216,346369,347485,311906,276127,657792,3647277,14.2,59.42,13.76,17.4,16.3,10.97,9.11,18.07,23587,22318,0.4705,15
"02",710231,72090,305445,66.68,3.28,14.77,5.37,1.04,8.87,3.44,53996,101703,52141,54419,302659,54726,56300,49971,35938,54938,522853,15,64.54,7.74,8.41,11.2,14.22,7.4,9.59,32537,31005,0.4132,17
"04",6392017,530693,2841432,73.01,4.05,4.64,2.76,0.2,15.33,18.64,455715,902344,461582,442584,2583353,427022,415524,375268,350960,881831,4763003,14.15,61.66,13.8,14.56,11.5,11.13,8.69,17.15,25571,26388,0.4571,17
"05",2915918,242151,1316874,77,15.43,0.76,1.24,0.2,5.37,3.81,197689,394436,203805,199650,1145555,205544,201722,183960,167031,419981,2204443,13.84,59.59,14.4,16.69,16.8,11.01,7.74,18.72,22007,21604,0.4618,14
"06",37253956,1952910,13667226,57.59,6.17,0.97,13.05,0.39,21.83,24.85,2531333,5096769,2823940,2765949,16090476,2689819,2562552,2204296,1832197,4246514,27958916,15,63.67,11.4,18.98,10,7,9.71,15.28,29551,27129,0.4751,9
"08",5029196,405895,2211615,81.31,4.01,1.11,2.76,0.13,10.67,13.21,343960,681257,339475,348615,2114012,371635,371063,328364,269280,549625,3803587,13.68,62.42,10.93,10.08,9.8,10.71,7.26,12.86,31039,30084,0.4559,11
"09",3574097,228291,1485445,77.57,10.14,0.31,3.79,0.04,8.15,8.92,202106,462836,250834,227898,1383547,291272,284325,240157,203295,506559,2757082,13.39,57.31,14.17,11.04,10.6,8.3,8.2,9.95,37807,32842,0.4846,8
"10",897934,76752,405883,68.89,21.36,0.47,3.18,0.04,6.06,5.14,55886,113334,64583,62867,354954,67556,65998,57816,53113,129277,692169,14.19,58.38,14.4,12.32,12.4,11.11,7.52,11.5,29733,29752,0.4373,18
"11",601723,30777,296671,38.47,50.71,0.35,3.5,0.05,6.93,7.1,32613,51188,39919,64110,309433,38539,37164,34274,29703,68809,500908,17.29,65.35,11.44,12.47,11.3,6.17,9.33,18.46,45004,38230,0.5315,12
"12",18801310,1606758,8983414,75.04,15.96,0.38,2.42,0.07,6.14,16.59,1073506,2211102,1228382,1228758,7177939,1401202,1340291,1202418,1135250,3259602,14799219,13.07,55.65,17.34,14.18,12.8,10.84,9.91,15.62,26451,24683,0.476,20
"13",9687653,701808,4086231,59.74,30.46,0.33,3.25,0.07,6.16,5.56,686785,1384845,709999,680080,4123179,722661,668591,573551,496006,1032035,7196101,14.35,63.95,10.65,15.58,11.8,9.78,9.38,17.41,25309,25705,0.4719,14
"15",1360301,112589,519811,24.74,1.57,0.31,38.6,9.96,24.82,5.56,87407,164900,85994,95829,543529,95787,97978,93340,82222,195138,1056483,13.37,58.5,14.35,9.74,10.7,11.03,5.91,10.78,29227,30374,0.4294,14
