GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJXHE001,AJXHE002,AJXHE003,AJXHE004,AJXHE005,AJXHE006,AJXHE007,AJXHE008,AJXHE009,AJXHE010,AJXHE011,AJXHE012,AJXHE013,AJXHE014,AJXHE015,AJXHE016,AJXHE017,AJXHE018,AJXHE019,AJXHE020,AJXHE021,AJXHE022,AJXHE023,AJXHE024,AJXHE025,AJXHE026,AJXHE027,AJXHE028,AJXHE029,AJXHE030,AJXHE031,AJXHE032,AJXHE033,AJXHE034,AJXHE035,AJXHE036,AJXHE037,AJXHE038,NAME_M,AJXHM001,AJXHM002,AJXHM003,AJXHM004,AJXHM005,AJXHM006,AJXHM007,AJXHM008,AJXHM009,AJXHM010,AJXHM011,AJXHM012,AJXHM013,AJXHM014,AJXHM015,AJXHM016,AJXHM017,AJXHM018,AJXHM019,AJXHM020,AJXHM021,AJXHM022,AJXHM023,AJXHM024,AJXHM025,AJXHM026,AJXHM027,AJXHM028,AJXHM029,AJXHM030,AJXHM031,AJXHM032,AJXHM033,AJXHM034,AJXHM035,AJXHM036,AJXHM037,AJXHM038
"G010","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4864680,4745881,3986553,1229905,627250,602655,883383,1420593,1311974,34896,73723,156035,58627,49430,10901,20176,73521,83982,7481,12157,32890,3715,27739,759328,630364,287222,240691,46531,343142,307921,35221,128964,14680,49913,42474,457,21440,118799,"Alabama",0,0,6661,6269,5342,4108,6057,6856,6923,1728,2121,3702,2590,2389,799,968,2945,2628,880,1187,1409,538,1594,6661,4397,3203,2623,1711,3332,3439,1316,4064,1751,2389,1532,222,1866,0
"G020","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",738516,711117,592723,167633,88253,79380,125877,226219,205400,9658,11161,17576,7859,7319,2458,3579,10014,24189,2903,4122,8854,1475,6835,118394,85829,48267,35491,12776,37562,29706,7856,32565,4858,10617,11861,143,5086,27399,"Alaska",0,0,2827,1876,1792,1567,1592,1925,2255,762,854,899,531,647,462,374,784,1206,532,666,517,359,640,2827,1668,1305,1266,816,1181,1107,520,1670,671,1050,625,82,731,0
"G040","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",6946685,6790680,5627827,1648126,866318,781808,1199402,2022987,1878858,55466,88663,191668,104123,108771,25667,36684,111334,179065,15584,27801,81171,5741,48768,1162853,876174,427018,322977,104041,449156,366625,82531,286679,30264,108568,101495,1560,44792,156005,"Arizona",0,0,9327,7057,6528,5595,8303,6897,7128,2143,3135,4134,3796,3173,1473,1718,4223,4254,1460,1706,2146,702,2209,9327,5604,4451,3910,2246,4188,3826,1765,5596,2187,3786,2300,523,2178,0
"G050","2014-2018",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2990671,2906459,2430873,764816,389181,375635,559216,841966,769620,22850,49496,83662,32881,30135,6958,11888,38532,60819,4176,9909,28217,2177,16340,475586,387359,182261,147716,34545,205098,179725,25373,88227,6838,34169,32240,285,14695,84212,"Arkansas",0,0,5054,4296,4077,3296,4080,4371,4494,1387,2204,2617,1823,1706,708,807,1880,2023,624,1112,1190,402,1098,5054,3793,2823,2698,1222,2650,2634,1171,2691,1039,1929,1150,146,1268,0
"G060","2014-2018",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",39148760,38329281,32682972,8915228,4771418,4143810,6432739,12167052,11568417,203204,395431,1049049,701717,849830,209665,283215,909848,1164629,174028,246473,419624,24734,299770,5646309,4050207,1919599,1382627,536972,2130608,1701906,428702,1596102,190187,738008,452969,4917,210021,819479,"California",0,0,26655,24043,21766,10907,31403,16273,17787,4295,6197,9406,11681,9807,3431,3650,14952,11699,5265,5857,5210,1663,5922,26655,10913,9572,7369,6358,7435,7842,4559,19848,6614,14913,4443,932,4560,0
"G080","2014-2018",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",5531141,5411306,4365896,1351683,709358,642325,1050080,1527658,1416085,42612,68961,94413,57713,56116,16781,22472,66335,122645,16068,27736,43657,3340,31844,1045410,761704,375596,272620,102976,386108,305912,80196,283706,33640,129173,89708,502,30683,119835,"Colorado",0,0,8960,6051,5656,4750,6715,5799,6597,2037,2496,2821,2343,2134,1048,1308,3101,3415,1573,1721,1574,545,1599,8960,5103,3184,3261,1956,3748,3312,1823,5843,2927,4738,2055,269,2070,0
"G090","2014-2018",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3581504,3466662,2875868,892940,445323,447617,660122,1046036,991092,22047,32897,58703,35128,44850,11463,12228,39846,74552,7614,10590,33065,1904,21379,590794,474434,209870,164205,45665,264564,226145,38419,116360,11305,38920,49134,548,16453,114842,"Connecticut",0,0,6232,4443,4168,4075,4792,4594,4912,1188,1576,2199,1774,1865,891,913,2516,2109,909,978,1045,450,1192,6232,3819,2464,2202,1448,3180,2934,1374,3367,1176,2271,1358,310,1288,0
"G100","2014-2018",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",949495,924444,770697,237901,121275,116626,174063,269603,252340,5413,11850,25060,10438,11694,3666,3401,13319,21552,2691,2766,9650,261,6184,153747,119864,53374,41484,11890,66490,56003,10487,33883,3250,11464,14001,20,5148,25051,"Delaware",0,0,3510,2194,1983,2192,2219,2986,3219,603,1037,1533,982,922,557,443,1226,1142,466,482,668,106,988,3510,2454,1477,1406,770,1768,1571,622,1621,697,1072,842,20,697,0
"G110","2014-2018",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",684498,644878,417910,121788,49841,71947,71690,153954,147490,3690,2774,21041,10448,6844,738,1395,14540,15472,2862,3375,3640,219,5376,226968,159534,71990,53209,18781,87544,70992,16552,67434,6465,40695,14899,133,5242,39620,"District of Columbia",0,0,3006,1584,1441,1267,1309,2221,2210,541,473,1447,947,620,203,285,1218,1195,577,562,354,127,801,3006,1670,1278,1230,716,1394,1252,841,2224,850,2074,752,102,630,0
"G120","2014-2018",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",20598139,20166501,16610702,4917841,2586609,2331232,3557801,5761092,5370642,123619,266831,497430,305611,439155,108319,112615,392335,518503,54452,92725,205642,9561,156123,3555799,2703919,1231755,944328,287427,1472164,1244431,227733,851880,89766,323122,291463,2089,145440,431638,"Florida",0,0,20150,23203,16066,13438,23284,15801,17317,3610,6440,7951,8683,10661,3827,3329,9895,7908,3160,3618,4003,935,4475,20150,12480,8354,6881,4263,8260,8261,3068,14093,4690,8519,4138,624,5802,0
