STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,TotBed,PITCt,YrCt
21,007,00516850,0500000US21007,21007,Ballard,06,639387454.000000000000000,69473325.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
21,017,00516855,0500000US21017,21017,Bourbon,06,750439351.000000000000000, 4829777.000000000000000,     135.000000000000000,     102.000000000000000,     135.000000000000000
21,031,00516862,0500000US21031,21031,Butler,06,1103571974.000000000000000,13943044.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
21,065,00516879,0500000US21065,21065,Estill,06,655509930.000000000000000, 6516335.000000000000000,       4.000000000000000,       4.000000000000000,       4.000000000000000
21,069,00516881,0500000US21069,21069,Fleming,06,902727151.000000000000000, 7182793.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
21,093,00516893,0500000US21093,21093,Hardin,06,1614569777.000000000000000,17463238.000000000000000,      79.000000000000000,      50.000000000000000,      48.000000000000000
21,099,00516896,0500000US21099,21099,Hart,06,1068530028.000000000000000,13692536.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
21,131,00516912,0500000US21131,21131,Leslie,06,1038206077.000000000000000, 9189732.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
21,151,00516919,0500000US21151,21151,Madison,06,1132729653.000000000000000,15306635.000000000000000,     122.000000000000000,     105.000000000000000,     101.000000000000000
21,155,00516921,0500000US21155,21155,Marion,06,888463701.000000000000000, 9891797.000000000000000,     137.000000000000000,     143.000000000000000,     137.000000000000000
21,179,00516936,0500000US21179,21179,Nelson,06,1081354961.000000000000000,16997384.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
17,091,00424247,0500000US17091,17091,Kankakee,06,1752121058.000000000000000,12440760.000000000000000,      88.000000000000000,      86.000000000000000,      88.000000000000000
17,187,01785134,0500000US17187,17187,Warren,06,1404747944.000000000000000, 1674135.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
17,197,01785190,0500000US17197,17197,Will,06,2164927644.000000000000000,34548925.000000000000000,     716.000000000000000,     539.000000000000000,     716.000000000000000
18,027,00450343,0500000US18027,18027,Daviess,06,1112374406.000000000000000,19124393.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
18,061,00451677,0500000US18061,18061,Harrison,06,1254889433.000000000000000, 5193186.000000000000000,      32.000000000000000,      21.000000000000000,      32.000000000000000
01,001,00161526,0500000US01001,01001,Autauga,06,1539602123.000000000000000,25706961.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
01,005,00161528,0500000US01005,01005,Barbour,06,2292144655.000000000000000,50538698.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
01,023,00161537,0500000US01023,01023,Choctaw,06,2365869835.000000000000000,19144469.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
01,035,00161543,0500000US01035,01035,Conecuh,06,2202007854.000000000000000, 6632046.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
01,051,00161551,0500000US01051,01051,Elmore,06,1601769095.000000000000000,99957723.000000000000000,       4.000000000000000,       2.000000000000000,       4.000000000000000
01,055,00161553,0500000US01055,01055,Etowah,06,1386373604.000000000000000,34568854.000000000000000,      69.000000000000000,      48.000000000000000,      57.000000000000000
01,065,00161558,0500000US01065,01065,Hale,06,1667907112.000000000000000,32423361.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
01,089,00161570,0500000US01089,01089,Madison,06,2076091216.000000000000000,28831382.000000000000000,     820.000000000000000,     666.000000000000000,     818.000000000000000
01,113,00161583,0500000US01113,01113,Russell,06,1660577613.000000000000000,15641643.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000
01,117,00161584,0500000US01117,01117,Shelby,06,2034112797.000000000000000,62537787.000000000000000,      47.000000000000000,      36.000000000000000,      47.000000000000000
02,016,01419965,0500000US02016,02016,Aleutians West,05,11375510886.000000000000000,25186009907.000000000000000,       6.000000000000000,       0.000000000000000,       6.000000000000000
02,130,01419973,0500000US02130,02130,Ketchikan Gateway,04,12579243763.000000000000000,4651750442.000000000000000,      78.000000000000000,      53.000000000000000,      58.000000000000000
02,180,01419977,0500000US02180,02180,Nome,05,59497122355.000000000000000,13774270048.000000000000000,      63.000000000000000,      49.000000000000000,      22.000000000000000
