Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T067_001,SE_T067_002,SE_T067_003
"01001","Autauga County","Autauga County, Alabama","00","01","001",,10957,10197,760
"01003","Baldwin County","Baldwin County, Alabama","00","01","003",,29947,26775,3172
"01005","Barbour County","Barbour County, Alabama","00","01","005",,9246,8375,871
"01007","Bibb County","Bibb County, Alabama","00","01","007",,5721,5167,554
"01009","Blount County","Blount County, Alabama","00","01","009",,13733,12682,1051
"01011","Bullock County","Bullock County, Alabama","00","01","011",,3895,3455,440
"01013","Butler County","Butler County, Alabama","00","01","013",,8108,7471,637
"01015","Calhoun County","Calhoun County, Alabama","00","01","015",,42454,39651,2803
"01017","Chambers County","Chambers County, Alabama","00","01","017",,14422,13520,902
"01019","Cherokee County","Cherokee County, Alabama","00","01","019",,7377,6505,872
"01021","Chilton County","Chilton County, Alabama","00","01","021",,12702,10742,1960
"01023","Choctaw County","Choctaw County, Alabama","00","01","023",,5988,5405,583
"01025","Clarke County","Clarke County, Alabama","00","01","025",,9909,8916,993
"01027","Clay County","Clay County, Alabama","00","01","027",,5320,4767,553
"01029","Cleburne County","Cleburne County, Alabama","00","01","029",,4778,4373,405
"01031","Coffee County","Coffee County, Alabama","00","01","031",,14559,13430,1129
"01033","Colbert County","Colbert County, Alabama","00","01","033",,20662,19181,1481
"01035","Conecuh County","Conecuh County, Alabama","00","01","035",,5963,5456,507
"01037","Coosa County","Coosa County, Alabama","00","01","037",,4303,3899,404
"01039","Covington County","Covington County, Alabama","00","01","039",,15043,13747,1296
"01041","Crenshaw County","Crenshaw County, Alabama","00","01","041",,5488,5024,464
"01043","Cullman County","Cullman County, Alabama","00","01","043",,23507,21758,1749
"01045","Dale County","Dale County, Alabama","00","01","045",,16499,15168,1331
"01047","Dallas County","Dallas County, Alabama","00","01","047",,19223,17590,1633
"01049","DeKalb County","DeKalb County, Alabama","00","01","049",,20605,19247,1358
"01051","Elmore County","Elmore County, Alabama","00","01","051",,15975,14024,1951
"01053","Escambia County","Escambia County, Alabama","00","01","053",,13489,12653,836
"01055","Etowah County","Etowah County, Alabama","00","01","055",,39824,36864,2960
"01057","Fayette County","Fayette County, Alabama","00","01","057",,7489,6710,779
"01059","Franklin County","Franklin County, Alabama","00","01","059",,11239,10209,1030
"01061","Geneva County","Geneva County, Alabama","00","01","061",,9310,8572,738
"01063","Greene County","Greene County, Alabama","00","01","063",,3814,3452,362
"01065","Hale County","Hale County, Alabama","00","01","065",,5476,4850,626
"01067","Henry County","Henry County, Alabama","00","01","067",,6065,5258,807
"01069","Houston County","Houston County, Alabama","00","01","069",,28558,26183,2375
"01071","Jackson County","Jackson County, Alabama","00","01","071",,19297,17689,1608
"01073","Jefferson County","Jefferson County, Alabama","00","01","073",,259042,244215,14827
"01075","Lamar County","Lamar County, Alabama","00","01","075",,6376,5787,589
"01077","Lauderdale County","Lauderdale County, Alabama","00","01","077",,30090,28220,1870
"01079","Lawrence County","Lawrence County, Alabama","00","01","079",,10818,9814,1004
"01081","Lee County","Lee County, Alabama","00","01","081",,29202,26973,2229
"01083","Limestone County","Limestone County, Alabama","00","01","083",,16372,15358,1014
"01085","Lowndes County","Lowndes County, Alabama","00","01","085",,4163,3732,431
"01087","Macon County","Macon County, Alabama","00","01","087",,9222,8273,949
"01089","Madison County","Madison County, Alabama","00","01","089",,71033,67082,3951
"01091","Marengo County","Marengo County, Alabama","00","01","091",,8881,8117,764
"01093","Marion County","Marion County, Alabama","00","01","093",,11596,10792,804
"01095","Marshall County","Marshall County, Alabama","00","01","095",,25780,23489,2291
"01097","Mobile County","Mobile County, Alabama","00","01","097",,131301,123298,8003
"01099","Monroe County","Monroe County, Alabama","00","01","099",,7980,7242,738
"01101","Montgomery County","Montgomery County, Alabama","00","01","101",,73694,68471,5223
"01103","Morgan County","Morgan County, Alabama","00","01","103",,33778,31369,2409
"01105","Perry County","Perry County, Alabama","00","01","105",,5018,4595,423
"01107","Pickens County","Pickens County, Alabama","00","01","107",,7728,6997,731
"01109","Pike County","Pike County, Alabama","00","01","109",,10200,9525,675
"01111","Randolph County","Randolph County, Alabama","00","01","111",,7827,7045,782
"01113","Russell County","Russell County, Alabama","00","01","113",,17829,16252,1577
"01115","St. Clair County","St. Clair County, Alabama","00","01","115",,15229,13850,1379
