Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SF1_H0030001,SF1_H0030002,SF1_H0030003
"Autauga County","Autauga County, Alabama","1539582278","25775735","050","00","3","6","01001","01","001",22135,20221,1914
"Baldwin County","Baldwin County, Alabama","4117521611","1133190229","050","00","3","6","01003","01","003",104061,73180,30881
"Barbour County","Barbour County, Alabama","2291818968","50864716","050","00","3","6","01005","01","005",11829,9820,2009
"Bibb County","Bibb County, Alabama","1612480789","9289057","050","00","3","6","01007","01","007",8981,7953,1028
"Blount County","Blount County, Alabama","1669961855","15157440","050","00","3","6","01009","01","009",23887,21578,2309
"Bullock County","Bullock County, Alabama","1613056905","6056528","050","00","3","6","01011","01","011",4493,3745,748
"Butler County","Butler County, Alabama","2011976894","2726814","050","00","3","6","01013","01","013",9964,8491,1473
"Calhoun County","Calhoun County, Alabama","1569189995","16624267","050","00","3","6","01015","01","015",53289,47331,5958
"Chambers County","Chambers County, Alabama","1545009282","17048142","050","00","3","6","01017","01","017",17004,13933,3071
"Cherokee County","Cherokee County, Alabama","1434075952","119858898","050","00","3","6","01019","01","019",16267,10626,5641
"Chilton County","Chilton County, Alabama","1794483586","20586383","050","00","3","6","01021","01","021",19278,16558,2720
"Choctaw County","Choctaw County, Alabama","2365954748","19059251","050","00","3","6","01023","01","023",7269,5866,1403
"Clarke County","Clarke County, Alabama","3207609488","36542656","050","00","3","6","01025","01","025",12638,10337,2301
"Clay County","Clay County, Alabama","1564252280","5284628","050","00","3","6","01027","01","027",6776,5670,1106
"Cleburne County","Cleburne County, Alabama","1450652767","2365681","050","00","3","6","01029","01","029",6718,5891,827
"Coffee County","Coffee County, Alabama","1758528786","3944730","050","00","3","6","01031","01","031",22330,19849,2481
"Colbert County","Colbert County, Alabama","1534877333","76430813","050","00","3","6","01033","01","033",25758,22773,2985
"Conecuh County","Conecuh County, Alabama","2201894769","6644940","050","00","3","6","01035","01","035",7093,5625,1468
"Coosa County","Coosa County, Alabama","1685891075","39946646","050","00","3","6","01037","01","037",6478,4794,1684
"Covington County","Covington County, Alabama","2668869505","34526309","050","00","3","6","01039","01","039",18829,15531,3298
"Crenshaw County","Crenshaw County, Alabama","1576888006","5376392","050","00","3","6","01041","01","041",6735,5652,1083
"Cullman County","Cullman County, Alabama","1903228333","52266921","050","00","3","6","01043","01","043",37054,31864,5190
"Dale County","Dale County, Alabama","1453371157","4016457","050","00","3","6","01045","01","045",22677,20065,2612
"Dallas County","Dallas County, Alabama","2534807386","39134826","050","00","3","6","01047","01","047",20208,17064,3144
"DeKalb County","DeKalb County, Alabama","2012662359","4123588","050","00","3","6","01049","01","049",31109,26842,4267
"Elmore County","Elmore County, Alabama","1601867593","99862541","050","00","3","6","01051","01","051",32657,28301,4356
"Escambia County","Escambia County, Alabama","2447746932","20873208","050","00","3","6","01053","01","053",16486,14157,2329
"Etowah County","Etowah County, Alabama","1385618994","35322991","050","00","3","6","01055","01","055",47454,42036,5418
"Fayette County","Fayette County, Alabama","1625631609","4392821","050","00","3","6","01057","01","057",8437,7100,1337
"Franklin County","Franklin County, Alabama","1641587713","32897905","050","00","3","6","01059","01","059",14022,12286,1736
