GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJ02E001,AJ02E002,AJ02E003,AJ02E004,AJ02E005,AJ02E006,AJ02E007,AJ02E008,AJ02E009,AJ02E010,AJ02E011,AJ02E012,AJ02E013,AJ02E014,AJ02E015,AJ02E016,AJ02E017,AJ02E018,AJ02E019,AJ02E020,AJ02E021,AJ02E022,AJ02E023,AJ02E024,AJ02E025,AJ02E026,AJ02E027,AJ02E028,AJ02E029,AJ02E030,AJ02E031,AJ02E032,AJ02E033,AJ02E034,AJ02E035,AJ02E036,AJ02E037,AJ02E038,AJ02E039,NAME_M,AJ02M001,AJ02M002,AJ02M003,AJ02M004,AJ02M005,AJ02M006,AJ02M007,AJ02M008,AJ02M009,AJ02M010,AJ02M011,AJ02M012,AJ02M013,AJ02M014,AJ02M015,AJ02M016,AJ02M017,AJ02M018,AJ02M019,AJ02M020,AJ02M021,AJ02M022,AJ02M023,AJ02M024,AJ02M025,AJ02M026,AJ02M027,AJ02M028,AJ02M029,AJ02M030,AJ02M031,AJ02M032,AJ02M033,AJ02M034,AJ02M035,AJ02M036,AJ02M037,AJ02M038,AJ02M039
"G010","2014-2018",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",3753332,335599,3417733,1784323,303309,1481014,539868,21579,518289,597918,70997,526921,306136,62493,243643,213904,82768,131136,126497,65472,61025,1969009,32290,1936719,551457,5084,546373,637412,14033,623379,336709,7250,329459,249153,3305,245848,194278,2618,191660,"Alabama",881,3572,3640,912,3329,3490,1022,1109,1523,920,1862,2099,509,1764,1780,550,1312,1349,450,1074,1075,581,1356,1480,764,612,967,796,902,1198,451,574,734,474,393,596,380,266,501
"G020","2014-2018",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",535244,67452,467792,274646,58584,216062,92755,8914,83841,93973,18137,75836,48981,11918,37063,27574,13324,14250,11363,6291,5072,260598,8868,251730,86447,2546,83901,88904,3327,85577,45756,1888,43868,25792,796,24996,13699,311,13388,"Alaska",768,1580,1696,762,1429,1534,592,803,931,476,883,973,333,629,786,215,487,503,166,322,334,459,667,813,420,408,538,253,290,383,260,355,439,249,183,330,183,108,198
"G040","2014-2018",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",5294568,487684,4806884,2604983,445406,2159577,830328,35728,794600,846838,91408,755430,393903,72710,321193,316619,127622,188997,217295,117938,99357,2689585,42278,2647307,780858,6725,774133,848981,14712,834269,435340,10609,424731,357616,5458,352158,266790,4774,262016,"Arizona",811,4107,4193,776,3721,3788,766,1539,1584,481,2043,1996,226,1534,1518,231,1955,1896,189,1539,1553,450,1547,1634,438,569,744,397,927,1011,243,743,794,202,393,447,158,459,490
"G050","2014-2018",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2280424,202572,2077852,1103496,186988,916508,337997,14883,323114,367820,41499,326321,181275,35265,146010,132839,52264,80575,83565,43077,40488,1176928,15584,1161344,333889,3084,330805,375939,6457,369482,195968,3096,192872,151185,1883,149302,119947,1064,118883,"Arkansas",701,3054,3237,919,2764,2899,829,1017,1306,780,1295,1416,410,1161,1170,478,991,1107,400,838,927,716,910,1122,745,438,888,709,628,836,464,343,559,574,291,657,403,228,439
"G060","2014-2018",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",29947361,1618861,28328500,14706153,1489794,13216359,4936294,137674,4798620,5153488,304668,4848820,2258760,248557,2010203,1424935,401014,1023921,932676,397881,534795,15241208,129067,15112141,4720237,28101,4692136,5163949,46895,5117054,2399176,25360,2373816,1636496,13159,1623337,1321350,15552,1305798,"California",2308,8646,9411,2386,7933,8638,2417,2996,3389,1270,4070,4422,441,3067,2992,580,4096,4207,485,3166,3090,1100,2238,2558,1232,1347,1794,843,1577,1786,452,918,1014,490,688,889,355,708,702
"G080","2014-2018",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",4237731,375746,3861985,2107528,336346,1771182,692889,33716,659173,738023,85107,652916,338700,61338,277362,218033,87915,130118,119883,68270,51613,2130203,39400,2090803,653024,7673,645351,719061,16524,702537,355396,8907,346489,237798,3594,234204,164924,2702,162222,"Colorado",1310,3514,3583,1164,3133,3108,1181,1312,1722,1026,1719,1850,360,1267,1308,366,1241,1182,290,1194,1226,752,1212,1488,746,597,1029,608,880,1073,374,465,687,450,346,593,356,327,515
"G090","2014-2018",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",2820390,173998,2646392,1354648,162802,1191846,397150,10158,386992,460625,27662,432963,242846,25299,217547,152053,47368,104685,101974,52315,49659,1465742,11196,1454546,386218,1823,384395,486793,4026,482767,259178,2502,256676,175361,1320,174041,158192,1525,156667,"Connecticut",471,2050,2151,526,1948,2017,477,735,910,364,1046,1103,227,969,976,220,1008,983,173,844,852,311,607,673,367,292,505,271,408,488,182,264,295,292,269,396,262,246,363
"G100","2014-2018",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",742893,66590,676303,353629,60746,292883,104644,4080,100564,113725,12004,101721,60814,11196,49618,45940,18662,27278,28506,14804,13702,389264,5844,383420,105385,653,104732,122229,2572,119657,68967,1530,67437,53726,692,53034,38957,397,38560,"Delaware",391,1423,1485,387,1407,1463,290,516,588,227,850,873,53,679,679,115,662,674,122,527,556,125,479,497,212,189,246,172,412,481,24,270,270,97,227,265,95,98,143
"G110","2014-2018",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",559588,26936,532652,260745,23548,237197,107751,2459,105292,86704,5706,80998,32912,4162,28750,20416,4964,15452,12962,6257,6705,298843,3388,295455,125735,783,124952,87831,1119,86712,36943,799,36144,26504,309,26195,21830,378,21452,"District of Columbia",319,1140,1137,297,1003,975,261,413,454,174,547,577,76,345,346,64,444,433,22,395,396,161,352,384,116,207,242,107,201,235,65,185,193,68,93,114,64,118,129
"G120","2014-2018",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",16394740,1452967,14941773,7906787,1323451,6583336,2222373,85268,2137105,2572364,258536,2313828,1280600,225027,1055573,1042282,365871,676411,789168,388749,400419,8487953,129516,8358437,2166700,20821,2145879,2655380,50351,2605029,1432947,30279,1402668,1205312,14811,1190501,1027614,13254,1014360,"Florida",1847,8350,8786,1905,7769,8262,1765,2496,3065,1453,3720,4183,686,3403,3501,655,3579,3498,508,3299,3319,1126,2962,3037,1162,1363,1673,924,1667,1714,558,1356,1532,637,994,1118,511,880,1041
