ID,row_,STATE,ADDRESS,city,zip
135,443487,NC,,,
218,441417,CA,43434 E. Sahuayo St.,Lancaster,93535
365,470010,OK,711 Muskogee Ave,Tahlequah,74464
598,468671,WA,TBD,Wenatchee,98801
762,436467,MA,794 MASSACHUSETTS AVE,BOSTON,2118
795,469869,CA,,,
824,404604,SD,,,57103
891,445967,IL,4101 N. Ravenswood,Chicago,60613
905,413282,WY,,,82501
954,402720,CA,,,93060
1200,408529,CT,36 Main Street,Groton,6340
1203,409187,NJ,,,
1216,446646,MD,,,21014
1391,463025,MO,,,
1436,458436,PA,,,19133
1569,458307,KS,900 W BROADWAY ST BLDG 7,NEWTON,67114
1715,402657,CO,,,81001
1994,467684,KS,2800 N HILLSIDE ST,WICHITA,67219
2312,408910,PA,634 SPROUL ST,CHESTER,19013
2478,464941,CO,2323 Curtis Street,DENVER,80205
2679,465582,CA,10566 PETER A MCCUEN BLVD,MATHER,95655
2699,470097,FL,,,
2849,470014,NJ,,,8873
2877,404821,WV,215 SCOTT PL,FAIRMONT,26554
2903,447247,PA,,,19138
2940,469974,MD,6401 York Rd,Baltimore,21212
2963,469950,MD,,,21740
2973,469934,WV,1901 Cameron Ave.,Parkersburg,26101
3125,464882,CO,P.O. Box 19589,Boulder,80308
3268,435012,MN,1125 W RIVER RD,DETROIT LAKES,56501
3299,401207,NV,37 W OWENS AVE,N LAS VEGAS,89030
3333,458587,LA,425 SAINT JOHN ST,LAFAYETTE,70501
3351,469697,CA,5730 Packard Ave,Marysville,95901
3367,451019,MT,,,
3381,456476,CA,614 S PINE ST,SANTA MARIA,93458
3634,469467,VA,,,20111
3744,411330,MS,710 B ST,MERIDIAN,39301
3809,467580,TX,820 MONTANA AVE,EL PASO,79902
3858,469618,CA,,,95927
3926,465385,NJ,,ELIZABETH,7208
4353,467264,NY,491 FLETCHER AVE,BRONX,10457
4435,450857,PA,,,
4883,450845,PA,616 N LIME ST,LANCASTER,17602
5028,450855,PA,105 E KING ST,LANCASTER,17602
5034,466988,NY,2382 CRESTON AVE,BRONX,10468
5210,451094,MT,56243 US 93,Pablo,59855
5303,458222,NJ,4 Executive Dr,Marlton,8053
5637,469445,RI,214 Roosevelt Ave,Pawtucket,2860
5656,451058,MT,533 N LAST CHANCE GULCH,HELENA,59601
5668,469405,PA,17 N 7TH AVE,COATESVILLE,19320
5828,448006,MA,803 CAMBRIDGE ST,CAMBRIDGE,2141
5850,465222,CA,295 N ACCESS RD,SOUTH SAN FRANCISCO,94080
5969,402677,WA,,,
6005,463402,OH,,,45212
6062,409016,HI,670 WAIALE RD,WAILUKU,96793
6170,436802,MA,,,2108
6408,466541,NY,,Brooklyn,
6575,441982,KY,,,40502
6763,436719,MA,419 WALNUT AVE,ROXBURY,2119
6776,412776,MD,805 BRIGHTSEAT RD,LANDOVER,20785
6818,436516,MA,301 S HUNTINGTON AVE,JAMAICA PLAIN,2130
6947,465721,CA,729 N. California Street,Stockton,95202
7111,457999,MN,,,55702
7263,465432,VA,,,22204
7326,465439,VA,2020 14TH ST N,ARLINGTON,22201
7388,465408,NC,,,28205
7409,436537,MA,1 KINGBIRD RD,BOSTON,2124
7510,465270,PA,837 Hoe Road,Levittown,19056
7558,465207,OK,409 N Ellison,Guymon,73942
7642,462868,VA,,,
7661,435903,WI,,,
7706,465164,CA,1400 W. Lacey Blvd,Hanford,93230
7723,465153,CT,,,
7875,465090,NJ,635 Amboy Ave,Edison,8837
7891,465112,FL,413 S. Main Street,Gainesville,32601
7932,405283,NJ,,,8015
8072,463291,FL,,,32609
8157,446345,NJ,117 Truman Dr S,Edison,8817
8226,401254,WA,3301 BROADWAY,EVERETT,98201
8236,458579,VA,,,23508
8340,458589,LA,625 N UNIVERSITY AVE,LAFAYETTE,70506
8443,462869,VA,123 WALNUT ST,WARSAW,22572
8682,413858,NC,,Charlotte,28206
8705,457990,MN,,,55792
8727,428886,NJ,,,8109
9091,404408,SC,1204 N KINGS HWY,MYRTLE BEACH,29577
9155,458063,CT,80 FAIR ST,NORWALK,6851
9573,447234,PA,,,
9725,450375,CA,1404 Fifth ave,San Diego,92101
9897,447250,PA,,,19134
9969,449956,MO,,,
9988,449938,MO,,,
9994,449884,MO,2005 NE PARVIN RD,KANSAS CITY,64116
10024,449885,MO,829 JEFFERSON ST,FULTON,65251
10049,449920,MO,,,
10077,450657,MA,528 UNION ST,SPRINGFIELD,1109
10163,409204,NJ,9 N GEORGIA AVE,ATLANTIC CITY,8401
10561,453570,NM,,,87102
10598,436240,MA,545 WESTMINSTER ST,FITCHBURG,1420
10679,454900,CA,236 G Street,Fresno,93706
10692,456280,OK,323 CALLAHAN ST,MUSKOGEE,74403
10855,450595,WI,605 E. Hancock St.,Appleton,54911
10871,411783,CA,3050 LEXINGTON CT,MARINA,93933
10934,436538,MA,21 RAMSEY ST,DORCHESTER,2125
10950,450823,PA,100 DOYLE ST,DOYLESTOWN,18901
11203,449793,VA,10829 Fairfax Blvd,Fai,22030
11291,452092,GA,1247 Adcox Road,Stone Mountain,30088
11714,413301,WA,"3706 140th Ave SE,",Bellevue,98006
11850,429072,ME,,,4101
11866,444611,OR,3308 NE PEERLESS PL,PORTLAND,97232
12167,429094,ME,,,
12404,445895,IL,50 N Hoyne,Chicago,60612
12407,445868,IL,2601 West Marquette Road,Chicago,60629
12472,436151,WI,1000 Wisconsin 13,Wisconsin Dells,53965
12640,410023,RI,3192 POST RD,WARWICK,2886
12658,450539,LA,,,70892
12692,447406,CA,330 GOLDEN HIND PSGE,CORTE MADERA,94925
12821,448329,TN,,,
12892,405032,GA,,,31520
12905,409875,WV,,,
13006,449823,OR,,,
13072,435516,TX,,,75206
13273,447459,VA,,,22003
13304,448234,MI,,,49037
13322,447448,VA,11975 Bowman Towne Dr,Reston,20190
13416,411092,NE,2633 P ST,LINCOLN,68503
13607,409631,CA,1292 PAGE ST,SAN FRANCISCO,94117
13933,412107,WA,500 4TH AVE,SEATTLE,98104
14013,408842,PA,,,
14047,412084,WA,6940 62ND AVE NE,SEATTLE,98115
14064,406531,WV,1030 7TH AVE,HUNTINGTON,25701
14187,411946,NJ,,,
14188,411945,NJ,209 ROUTE 28,BRIDGEWATER,8807
14222,444307,DE,1627 W 8TH ST,WILMINGTON,19805
14243,411915,CA,,,92240
14346,434586,GA,275 PRYOR ST SW,ATLANTA,30303
14355,408540,CT,161 State Street,Meriden,6450
14481,446673,FL,,,
14524,446541,PA,,,
14527,446577,PA,,,
14544,446543,PA,,,
14581,408266,CT,,,
14639,446643,CA,,,92584
14668,446159,CA,,Anaheim,92801
14673,446636,TX,800 W Belt Line Rd,Cedar Hill,75103
14734,446152,CA,928 W. North Street,Anaheim,92805
14765,429053,ME,,,
14937,437251,FL,319 TARPON DR,FT LAUDERDALE,33301
15147,444348,DE,1011 River Road,Wilmington,19809
15219,413395,MN,,,56301
15268,408753,IN,,,
15532,445045,OH,PO Box 702,Ashtabula,44004
15647,412561,UT,,,84532
15667,444915,LA,,,
15697,434134,MI,,,49855
15780,444879,MI,3840 Fairview,Detroit,48214
15813,409139,WI,101 E MIFFLIN ST,MADISON,53703
15878,442016,OK,1325 SW WISCONSIN AVE,LAWTON,73501
15950,413404,MN,,,56401
15995,414616,DC,,,20003
16071,435819,DC,3237 HIATT PL NW,WASHINGTON,20010
16120,422085,AZ,2940 N Flowing Wells Rd,TUCSON,85705
16150,429089,ME,,,
16212,408750,IN,,,46222
16348,443527,MN,,,56265
16365,443524,MN,1400 S SARATOGA ST,MARSHALL,56258
16439,429074,ME,31 Croquet Lane,Portland,4103
16634,404468,OK,3131 N Pennsylvania Ave,Oklahoma City,73112
16701,429000,ME,140 HAMMOND ST,BANGOR,4401
16913,441695,CA,670 W. 9th St.,San Pedro,90731
17240,441289,CA,2131 Ave. J-8,Lancaster,93534
17401,441088,CA,2040 W Holt Ave,Pomona,91768
17590,437648,FL,2407 Roberts Ave,Tallahassee,32310
17705,422016,PA,,,16504
17877,414462,DC,651 10TH ST NE,WASHINGTON,20002
17938,414336,NJ,,,7305
18219,437076,MN,,,56557
18242,433616,MN,,,
18279,433626,MN,312 N MAIN ST,BADGER,56714
18363,433613,MN,1016 ALICE DR,THIEF RVR FLS,56701
18390,422030,PA,,,16503
18438,419079,VT,189 CHURCH ST,BURLINGTON,5401
18729,408795,IN,,,46204
19056,414078,TX,,,78602
19199,435585,KY,,,
19254,428954,ME,263 MAIN ST,BANGOR,4401
19347,409548,CA,3048 16TH ST,SAN FRANCISCO,94103
19348,409652,CA,88 6TH ST,SAN FRANCISCO,94103
19412,433907,MI,,ROSCOMMON,48653
20319,413605,MS,110 PRESTO LN,JACKSON,39206
20358,421738,TX,,,76205
20603,405904,NC,,,27856
20614,413958,FL,707 E NEW ST,DELAND,32724
20648,409230,MN,1822 PARK AVE,MINNEAPOLIS,55404
20700,408475,CT,232 ARCH ST,NEW BRITAIN,6051
20792,404638,SD,"705 E. 41, Suite 200",Rapid City,57702
20883,409256,MN,1 VETERANS DR,MINNEAPOLIS,55417
20953,412490,AL,403 W POWELL ST,DOTHAN,36303
21031,414278,NC,,,
21231,413817,MA,,,2740
21232,413796,MA,556 County Street,New Bedford,2740
21314,413203,IL,433 S Carlton Ave,Wheaton,60187
21318,413209,IL,214 WALNUT ST,ST CHARLES,60174
21331,404722,NY,913 ALBANY ST,SCHENECTADY,12307
21765,410981,NM,,,
21911,412239,WA,,,98138
22224,412418,WA,,,98118
22821,409689,CA,64 TURK ST,SAN FRANCISCO,94102
23054,403344,PA,437 RAILROAD ST,BRIDGEVILLE,15017
23102,405687,NC,,,
23262,411678,AZ,,,85008
23449,411075,NY,,,
23508,410349,OH,599 E 8TH AVE,COLUMBUS,43201
23786,401725,PA,,,16103
23869,401093,CA,2447 SUMMERFIELD RD,SANTA ROSA,95405
23970,408178,OK,516 N INDEPENDENCE ST,ENID,73701
24042,401664,PA,112 BEYER AVE,PUNXSUTAWNEY,15767
24084,409127,MN,,,
24165,409087,PA,PO BOX 167,HOLLIDAYSBURG,16648
24286,403131,MD,1029 E BALTIMORE ST,BALTIMORE,21202
24385,401875,IL,1331 EAGLE ST,JOLIET,60432
24468,403312,PA,2012 CENTRE AVE,PITTSBURGH,15219
24570,401529,PA,1223 BITTNER BLVD,LEBANON,17046
24822,404161,MN,,,55101
24853,402167,WA,,,98371
24965,404124,MN,,,55104
25082,401034,IL,1725 DARROW AVE,EVANSTON,60201
1,448302,TX,1915 E Martin Luther King Jr Blvd,Austin,78702
2,413067,TX,6633 E HIGHWAY 290 STE 212,AUSTIN,78723
3,457823,CA,3500 HILL RD E,LAKEPORT,95453
4,450566,MD,409 ALDERSGATE DR,DENTON,21629
5,470490,CA,816 E 21ST ST,Bakersfield,93305
6,470489,CA,816 E 21ST ST,Bakersfield,93305
7,406463,CA,816 E 21ST ST,BAKERSFIELD,93305
8,470488,CA,1600 E TRUXTUN AVE,BAKERSFIELD,93305
9,406462,CA,1600 E TRUXTUN AVE,BAKERSFIELD,93305
10,470192,CA,237 E Gobbi St,Ukiah,95482
11,468639,WA,1305 Ironside Rd,Bremerton,98310
12,468617,WA,683 Rock Creek Drive,Stevenson,98648
13,468590,WA,1250 E Steuben,Bingen,98605
14,468589,WA,112 E Main St,Goldendale,98620
15,469096,WA,501 Cayuse Street,Walla Walla,99362
16,469034,WA,1520 Kelly Place,Walla Walla,99362
17,469125,WA,201  & 205 SE 3rd St.,College Place,99324
18,468601,WA,140 Columbia St,Cathlamet,98612
19,469221,WA,1141 Beach Drive East,Port Orchard,98366
20,468645,WA,219 14th St.,Leavenworth,98826
21,468677,WA,210 Pacific Ct,Shelton,98584
22,468551,WA,832 6th Street,Bremerton,98337
23,468696,WA,832 Burwell Street,Bremerton,98337
24,469283,WA,832 Burwell Street,Bremerton,98337
25,468611,WA,515 East Chestnut,Bellingham,98225
26,468899,WA,2317 Lincoln St,Bellingham,98225
27,468678,WA,900 7th Street,Clarks,99403
28,468988,WA,1007 Koala Drive,Omak,98841
29,468724,WA,504 N. Cle Elum St,Ellensburg,98926
30,468692,WA,1020 N. State St.,Bellingham,98225
31,468882,WA,1020 N. State St.,Bellingham,98225
32,468603,WA,1020 N. State St.,Bellingham,98225
33,468723,WA,1020 N. State St.,Bellingham,98225
34,468683,WA,1020 N. State St.,Bellingham,98225
35,469294,WA,1020 N. State St.,Bellingham,98225
36,468684,WA,125 N. 5th Street,Mount Vernon,98273
37,469193,WA,125 N. 5th Street,Mount Vernon,98273
38,468553,WA,711 Rentschler Ln,Toppenish,98948
39,469204,WA,711 West Walnut,Yakima,98902
40,468821,WA,2902 Powerhouse Road,Yakima,98902
41,468697,WA,504 N. Cle Elum St,Ellensburg,98926
42,468867,WA,P.O. Box 28487,Bellingham,98229
