ID,ADDRESS,CITY,STATE,ZIP
0,3763 EVANS AVENUE,FORT MYERS,FL,33901
1,1870 Colonial Blvd,Ft. Myers,FL,33907
2,10915 Bonita Beach Road Suite 1122,Bonita Springs,FL,34135
3,12550 NEW BRITTANY BLVD STE 201,FORT MYERS,FL,33907
4,6313 Corporate Court 130,Fort Myers,FL,33919
5,14131 Metropolis Ave Suite 103,naples,FL,34119
6,535 Pine Island Road,North Fort Myers,FL,33903
7,5445 Park Central Court,Naples,FL,34109
8,6075 BATHEY LN BLDG C,NAPLES,FL,34116
9,"720 North Goodlette Road, Suite 500",Naples,FL,34102
10,"1101 Tamiami Trail South, Suite 108",Venice,FL,34285
11,3000 NW 101ST LN STE 101,CORAL SPRINGS,FL,33065
12,"7880 North University Drive, Suite 303",Tamarac,FL,33321
13,"9970 Central Park Boulevard, Suite 207",Boca Raton,FL,33428
14,4300 N University Dr 207,Sunrise,FL,33351
15,2960 N STATE ROAD 7,MARGATE,FL,33063
16,3593 SW Corporate Pkwy,Palm City,FL,34990
17,"7251 West Palmetto Park Road, Suite 204",Boca Raton,FL,33433
18,21301 S. Powerline Rd. 311,Boca Raton,FL,33433
19,14000 SOUTH MILITARY TRAIL,DELRAY BEACH,FL,33484
20,1420 SW Saint Lucie W Blvd. Suite 106,Port St. Lucie,FL,34986
21,2499 GLADES RD. STE 110,BOCA RATON,FL,33431
22,2901 W. Cypress Creek Blvd Suite 123,Ft. Lauderdale,FL,33309
23,"4121 NW 5th Street, Suite 206",Plantation,FL,33317
24,3153 Canada Ct.,Lake Worth,FL,33461
25,"580 Village Boulevard, Suite 210",West Palm Beach,FL,33409
26,"4101 North Hosptial Drive, Suite 211",Plantation,FL,33317
27,3085 WEST 80TH ST,HIALEAH,FL,33018
28,1131 SE Indian St.,Stuart,FL,34997
29,"1501 Presidential Way, 5",West Palm Beach,FL,33401
30,616 SE Central Pkwy,Stuart,FL,34994
31,150 SW 12th Ave. 480,Pompano Beach,FL,33069
32,1300 Hibiscus Dr.,Pembroke Pines,FL,33025
33,450 W Hillsboro Blvd,Deerfield Beach,FL,33441
34,7357 WILSON RD,WEST PALM BEACH,FL,33413
35,150 E. Sample Rd. Suite 320,Pompano Beach,FL,33064
36,1700 Old Okeechobee Road,West Palm Beach,FL,33409
37,2801 SE Martin Square Corporate Pkwy,Stuart,FL,34994
