"COUNTYFP","cntT","cntBupT","cntMetT","cntNalT","avBupTime","avMetTime","avNalTime","pctBupT","pctMetT","pctNalT"
"01001",12,11,1,0,14.9583333333333,39.6391666666667,40.9708333333333,0.92,0.08,0
"01003",32,27,4,1,16.6925,47.875625,49.015625,0.84,0.12,0.03
"01005",9,0,0,0,64.9744444444444,81.58,68.0788888888889,0,0,0
"01007",4,1,0,0,24.3275,57.6975,53.6425,0.25,0,0
"01009",9,3,0,2,36.3666666666667,46.4788888888889,39.8366666666667,0.33,0,0.22
"01011",3,0,0,0,47.18,75.4833333333333,74.23,0,0,0
"01013",9,0,0,0,54.4366666666667,76.9677777777778,78.2911111111111,0,0,0
"01015",31,29,24,21,11.6074193548387,20.2654838709677,25.8445161290323,0.94,0.77,0.68
"01017",9,8,0,1,13.0911111111111,42.4022222222222,38.8033333333333,0.89,0,0.11
"01019",6,5,0,2,16.355,46.9783333333333,35.2366666666667,0.83,0,0.33
"01021",9,6,6,6,26.4655555555556,23.6222222222222,23.6222222222222,0.67,0.67,0.67
"01023",4,0,0,0,66.7475,74.065,78.41,0,0,0
"01025",9,3,0,0,38.5377777777778,110.997777777778,116.615555555556,0.33,0,0
"01027",4,3,0,0,14.345,67.8775,65.3825,0.75,0,0
"01029",4,3,2,2,31.4825,38.2675,39.0475,0.75,0.5,0.5
"01031",14,12,3,0,15.395,42.8164285714286,45.2707142857143,0.86,0.21,0
"01033",14,14,13,13,9.83571428571429,14.0992857142857,17.3,1,0.93,0.93
"01035",5,4,0,0,23.484,66.088,66.088,0.8,0,0
"01037",3,1,0,0,30.8766666666667,78.2233333333333,51.9366666666667,0.33,0,0
"01039",14,13,0,0,13.1414285714286,84.48,75.0014285714286,0.93,0,0
"01041",6,0,0,0,45.4166666666667,80.0983333333333,81.44,0,0,0
"01043",18,16,15,15,16.855,20.9766666666667,20.9766666666667,0.89,0.83,0.83
"01045",14,13,6,13,15.7992857142857,35.0592857142857,17.7657142857143,0.93,0.43,0.93
"01047",15,0,0,0,54.0713333333333,82.306,83.782,0,0,0
"01049",14,12,1,6,17.08,47.13,31.1457142857143,0.86,0.07,0.43
"01051",15,12,4,9,19.338,38.916,24.5346666666667,0.8,0.27,0.6
"01053",9,9,2,2,12.3544444444444,33.8566666666667,33.8566666666667,1,0.22,0.22
"01055",30,30,29,27,8.41666666666667,12.9116666666667,16.0716666666667,1,0.97,0.9
"01057",5,1,0,0,34.152,57.256,56.364,0.2,0,0
"01059",9,5,0,0,26.5155555555556,49.1211111111111,57.1177777777778,0.56,0,0
"01061",6,3,1,2,29.05,43.265,45.31,0.5,0.17,0.33
