ZCTA,moudMinDis,bupMinDis,metMinDis,nalMinDis
1001,2.967154713,2.967154713,4.006675628,3.157276243
1002,0.378434704,0.378434704,12.68148787,13.86583987
1003,0.262645622,0.262645622,10.14399955,10.54791965
1005,1.539436748,1.539436748,19.4826546,10.49527275
1007,2.833976686,2.833976686,15.86174494,10.99315485
1008,14.37902807,14.37902807,15.379926,14.8295116
1009,3.765680839,3.765680839,19.44012576,3.765680839
1010,7.370165269,7.370165269,13.14351405,9.040867126
1011,11.04196705,14.99325226,21.46039393,11.04196705
1012,6.793957156,9.391921034,16.80870865,6.793957156
1013,1.85352697,1.85533112,1.873907076,1.85352697
1020,1.992934177,3.679369322,4.841417163,1.992934177
1022,2.327662057,2.327662057,6.958925763,4.49253948
1026,3.096100405,3.096100405,20.10983099,3.096100405
1027,5.369770021,5.369770021,8.333869191,6.274353114
1028,0.017116217,0.017116217,5.952671374,1.293343567
1029,17.98937281,17.98937281,22.08924375,21.43118005
1030,5.005786878,5.005786878,7.117600138,5.257412481
1031,3.845112421,3.845112421,26.1365516,7.68016199
1032,5.825885503,5.825885503,18.29893339,5.825885503
1033,2.637471992,2.637471992,9.702176305,8.809828858
1034,14.03294438,14.03294438,15.72426393,14.31776619
1035,0.825567447,0.825567447,5.566739327,6.26600228
1036,4.649012019,4.649012019,11.1716478,6.929559065
1037,0.427174971,0.427174971,27.3642019,11.30565227
1038,2.450681939,2.450681939,6.918235411,5.967769352
1039,4.903275855,4.903275855,9.955602305,5.562017529
1040,1.436030551,1.436030551,4.38469418,1.481295912
1050,9.028317856,9.028317856,16.92748892,12.65461499
1053,0.630152355,0.630152355,7.096204844,1.872097875
1054,3.10091549,3.10091549,14.15767444,13.6639827
1056,2.437315687,2.437315687,12.06183198,3.859766227
1057,6.130422612,6.130422612,17.16841315,6.190453218
1060,0.288403036,0.288403036,0.98743673,1.814573769
1062,1.947183668,1.947183668,4.764111611,2.411495607
1063,0.347303927,0.347303927,1.129554566,1.594806914
1066,2.237489302,2.237489302,9.112398344,6.056100343
1068,6.24745485,6.24745485,17.46777757,11.44433098
1069,3.047643085,3.047643085,20.48563484,3.047643085
1070,4.295362013,4.295362013,18.86237302,4.295362013
1071,7.909586891,7.909586891,8.638147981,8.122701465
