"GEOID","minDisFQHC","timeDrive","countDrive"
1001020100,12.17,28.37,5
1001020200,13.22,25.87,6
1001020300,13.09,24.3,6
1001020400,11.92,22.51,7
1001020500,10.18,19.55,7
1001020600,12.36,22.63,8
1001020700,9.57,21.91,7
1001021000,16,20.51,1
1001021100,5.49,0,1
1003010200,8.03,12.47,2
1003010300,7.31,21.43,2
1003010500,1.18,0,2
1003010600,2.7,6.46,3
1003010701,7.9,16.69,17
1003010703,6.13,21.19,13
1003010704,9.3,20.85,15
1003010705,10.23,19.16,17
1003010800,10.4,20.42,15
1003010903,2.17,0,3
1003010904,12.8,0,2
1003010905,6.91,14.97,3
1003010906,6.37,11.08,3
1003011000,5.04,10.92,3
1003011101,10.09,27.89,1
1003011102,11.48,27.23,1
1003011201,11.5,29.01,2
1003011300,13.25,29.44,1
1003011401,6.89,16.75,1
1003011403,9.02,14.46,1
1003011406,12.84,23.65,1
1003011407,14.75,24.84,1
1003011501,0.27,0,2
1003011502,3.92,10.46,1
1003011601,8.75,17.49,2
1003011602,14.46,29.3,2
1005950100,16.04,22.39,1
1005950200,4.11,0,1
1005950300,9.63,16.81,1
1005950500,6.67,0,2
1005950600,8.14,17.08,3
1005950700,12.19,12.53,2
1005950800,5.3,12.74,2
1005950900,4.7,12.23,2
1007010001,4.08,26.98,2
1007010002,5.64,0,2
1007010004,7.87,0,4
1009050101,6.85,20.2,1
1009050102,0.34,0,1
1009050200,6.43,11.12,1
1009050300,6.21,22.6,3
1009050400,12.03,29.43,1
1011952100,19.98,28.35,1
1015000200,1.35,4.73,2
1015000300,1.22,5.87,2
1015000400,2.36,10.62,2
1015000500,1.07,5.24,2
1015000600,1.38,5.46,2
1015000700,4.69,11.51,2
1015000800,0.55,0,3
1015000900,2.22,6.77,3
1015001000,3.24,7.03,3
1015001100,5.71,15.06,3
1015001201,3.83,7.91,3
1015001202,5.23,12.12,3
1015001300,3.35,6,2
1015001400,4.73,12.02,2
1015001500,10.17,16.98,2
1015001600,4.14,11.22,2
1015001700,5.65,11.54,2
1015001800,8.88,15.63,2
1015002000,10.23,19.2,3
1015002101,15.22,25.52,2
1015002102,15.84,25.18,2
1015002103,12.29,18.81,2
1015002501,11.35,18.33,7
1015002502,10.39,18.89,8
1015981903,6.6,18.4,2
1017953900,6.26,10.87,1
1017954200,5.3,9.16,1
1017954300,8.76,20.29,1
1017954400,0.72,5.86,1
1017954500,1.01,0,1
1017954600,2.09,5.87,1
1017954700,7.1,15.86,1
1019955701,4.66,0,1
1019955702,11.4,14.01,1
1019955800,10.99,25.91,1
1019955900,15.12,28.7,1
1019956000,6.18,11.86,1
1021060101,3.56,8.1,2
1021060102,2.71,0,2
1021060200,5.3,17.76,1
1021060300,10.4,16.87,1
1021060401,9.26,10.86,2
1021060402,10.49,20.89,2
1021060500,2.85,0,2
1021060600,9.28,21.92,2
1021060700,10.33,13.49,1
1023956800,17.18,28.2,1
1023956900,5.4,0,1
1023957000,9.5,25.76,1
1027958900,10.95,21.55,1
1027959000,3.68,0,1
1027959100,8.91,24.23,1
1029959600,5.01,0,3
1029959700,7.51,13.96,3
1031010300,9.17,14.55,1
1031010400,13.46,19.54,1
1031010500,16.76,25.3,1
1031010700,12.98,29.26,1
1031010800,6.74,23.59,1
1031010900,2.79,7.2,1
1031011000,2.37,7.91,1
1031011100,0.76,0,1
1031011201,3.71,11.23,1
1031011202,3.43,8.3,1
1031011300,2.72,6.72,1
1033020100,1.99,5.84,2
1033020200,2.34,6.06,2
1033020300,1.41,4.54,2
1033020400,3.38,12.08,2
1033020500,4.05,10.03,2
1033020600,1.98,5.13,4
1033020701,4.47,7.38,3
1033020703,2.71,4.31,3
1033020704,0.86,0,4
1033020801,9.65,23.57,2
1033020802,8.48,15.58,3
1033020901,9.7,19.46,3
