"COUNTYFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01001",12,10,15.2708333333333,0.83
"01003",31,26,17.5816129032258,0.84
"01005",9,6,22.6166666666667,0.67
"01007",4,1,25.4625,0.25
"01009",9,4,31.3311111111111,0.44
"01011",3,3,15.9933333333333,1
"01013",9,8,13.6477777777778,0.89
"01015",31,29,12.9109677419355,0.94
"01017",9,7,15.1855555555556,0.78
"01019",6,6,14.1033333333333,1
"01021",9,9,15.8633333333333,1
"01023",4,3,23.11,0.75
"01025",9,5,29.4555555555556,0.56
"01027",4,3,19.7325,0.75
"01029",4,3,31.4825,0.75
"01031",14,12,16.0857142857143,0.86
"01033",14,14,10.3071428571429,1
"01035",5,4,23.484,0.8
"01037",3,2,28.5,0.67
"01039",14,13,13.5,0.93
"01041",6,3,23.0916666666667,0.5
"01043",18,16,17.6,0.89
"01045",14,14,14.33,1
"01047",15,14,14.3973333333333,0.93
"01049",14,10,20.5328571428571,0.71
"01051",15,12,20.266,0.8
"01053",9,9,12.3544444444444,1
"01055",30,30,11.4056666666667,1
"01057",5,4,18.41,0.8
"01059",9,8,16.4977777777778,0.89
"01061",6,5,19.985,0.83
"01063",3,3,18.9833333333333,1
"01065",6,5,19.2866666666667,0.83
"01067",6,1,37.585,0.17
"01069",22,21,11.7345454545455,0.95
"01071",11,7,25.4609090909091,0.64
"01073",163,157,12.2465030674847,0.96
"01075",3,0,36.4133333333333,0
"01077",22,18,16.5477272727273,0.82
"01079",9,9,14.8166666666667,1
"01081",27,27,14.917037037037,1
"01083",16,15,13.81875,0.94
"01085",4,1,39.4275,0.25
"01087",12,9,20.1841666666667,0.75
"01089",73,69,10.9027397260274,0.95
"01091",6,3,27.2433333333333,0.5
"01093",8,8,15.17875,1
"01095",18,15,18.5122222222222,0.83
"01097",115,103,13.6272173913043,0.9
"01099",7,4,25.8828571428571,0.57
"01101",65,63,9.74676923076923,0.97
"01103",27,23,15.072962962963,0.85
"01105",3,0,37.56,0
"01107",5,4,19.962,0.8
"01109",8,6,18.22375,0.75
"01111",6,4,22.2766666666667,0.67
"01113",13,11,13.8207692307692,0.85
"01115",13,6,27.0507692307692,0.46
"01117",48,42,17.15875,0.88
"01119",4,2,29.06,0.5
"01121",22,22,12.2631818181818,1
"01123",10,9,15.794,0.9
"01125",47,45,11.4693617021277,0.96
"01127",18,11,24.6388888888889,0.61
"01129",5,3,28.534,0.6
"01131",4,3,22.13,0.75
"01133",7,2,32.61,0.29
"02013",1,NA,NA,NA
"02016",2,2,0,1
"02020",55,54,8.92836363636364,0.98
"02050",3,3,1.85,1
"02060",1,1,28.5,1
"02068",1,0,131.82,0
"02070",2,2,0,1
"02090",19,18,11.2015789473684,0.95
"02100",1,0,541.7,0
"02105",2,NA,NA,NA
"02110",6,6,11.1416666666667,1
"02122",13,8,30.3007692307692,0.62
"02130",4,4,9.7525,1
"02150",5,4,42.87,0.8
"02158",1,NA,NA,NA
"02164",1,0,68.55,0
"02170",24,16,29.9725,0.67
"02180",2,2,14.46,1
"02185",3,NA,NA,NA
"02188",2,1,1045.095,0.5
"02195",1,1,0,1
"02198",4,2,125.8675,0.5
"02220",2,2,9.54,1
"02230",1,NA,NA,NA
"02240",2,0,175.725,0
"02261",3,3,0,1
"02275",1,1,0,1
"02282",1,0,1667.25,0
"02290",4,NA,NA,NA
"04001",16,8,39.21875,0.5
"04003",32,23,19.5384375,0.72
"04005",28,19,26.2578571428571,0.68
"04007",16,10,33.99125,0.62
"04009",9,8,19.8,0.89
"04011",3,0,78.37,0
"04012",9,5,39.3888888888889,0.56
"04013",916,903,8.34353711790393,0.99
"04015",43,38,15.4437209302326,0.88
"04017",31,12,38.5948387096774,0.39
"04019",241,NA,NA,NA
"04021",75,55,20.3301333333333,0.73
"04023",10,9,17.957,0.9
"04025",42,29,25.1480952380952,0.69
"04027",55,45,22.5070909090909,0.82
"05001",8,8,9.87375,1
"05003",7,5,19.1114285714286,0.71
"05005",9,9,13.3911111111111,1
"05007",49,45,13.8740816326531,0.92
"05009",7,7,13.8385714285714,1
"05011",5,5,10.14,1
"05013",2,0,35.22,0
"05015",5,5,11.006,1
"05017",4,4,10.0075,1
"05019",5,3,18.202,0.6
"05021",6,3,24.5633333333333,0.5
"05023",7,4,31.2514285714286,0.57
"05025",2,0,43.435,0
"05027",5,5,14.54,1
"05029",6,6,14.4766666666667,1
"05031",17,16,9.9035294117647,0.94
"05033",11,11,12.9,1
"05035",20,18,11.325,0.9
"05037",6,5,17.6266666666667,0.83
"05039",3,1,29.8966666666667,0.33
"05041",5,4,9.672,0.8
"05043",5,5,11.49,1
"05045",25,22,15.6596,0.88
"05047",3,2,23.3133333333333,0.67
"05049",2,1,31.305,0.5
"05051",20,18,12.9115,0.9
"05053",4,1,35.855,0.25
"05055",9,9,11.5144444444444,1
"05057",5,4,14.302,0.8
"05059",7,6,13.2771428571429,0.86
"05061",3,2,16.1433333333333,0.67
"05063",8,8,14.71625,1
"05065",4,1,28.2975,0.25
"05067",5,4,18.58,0.8
"05069",24,21,13.3558333333333,0.88
"05071",6,6,13.1716666666667,1
"05073",2,0,36.125,0
"05075",6,4,16.825,0.67
"05077",4,1,38.385,0.25
"05079",4,2,33.6525,0.5
"05081",4,3,16.8475,0.75
"05083",6,5,9.33333333333333,0.83
"05085",16,10,28.356875,0.62
"05087",4,0,48.325,0
"05089",4,1,46.7175,0.25
"05091",12,11,10.4033333333333,0.92
"05093",12,11,14.7941666666667,0.92
"05095",3,0,38.6766666666667,0
"05097",3,0,63.64,0
"05099",3,1,30.2533333333333,0.33
"05101",2,1,49.915,0.5
"05103",6,6,11.68,1
"05105",3,1,38.82,0.33
"05107",6,5,15.68,0.83
"05109",3,0,61.5566666666667,0
"05111",7,2,35.2328571428571,0.29
"05113",6,4,21.89,0.67
"05115",11,10,14.2672727272727,0.91
"05117",3,0,42.61,0
"05119",95,94,8.90210526315789,0.99
"05121",4,4,13.6,1
"05123",6,5,14.07,0.83
"05125",21,19,14.0757142857143,0.9
"05127",3,3,9.59,1
"05129",3,0,57.5,0
"05131",26,24,10.2196153846154,0.92
"05133",4,3,15.155,0.75
"05135",4,0,52.1025,0
"05137",3,2,18.46,0.67
"05139",10,9,12.88,0.9
"05141",5,2,28.986,0.4
"05143",32,29,11.71125,0.91
"05145",13,12,16.5738461538462,0.92
"05147",2,0,44.885,0
"05149",6,6,12.7033333333333,1
"06001",360,360,5.63838888888889,1
"06003",1,0,43.65,0
"06005",9,4,31.3822222222222,0.44
"06007",51,49,9.18666666666667,0.96
"06009",10,2,41.086,0.2
"06011",5,4,17.716,0.8
"06013",207,207,9.57231884057971,1
"06015",7,5,14.22,0.71
"06017",43,37,17.7806976744186,0.86
"06019",199,189,9.78839195979899,0.95
"06021",6,5,18.6133333333333,0.83
"06023",30,27,15.7646666666667,0.9
"06025",31,27,16.3241935483871,0.87
"06027",6,5,9.01,0.83
"06029",151,130,13.2022516556291,0.86
"06031",27,21,16.6744444444444,0.78
"06033",15,14,15.036,0.93
"06035",9,6,27.5455555555556,0.67
"06037",2344,NA,NA,NA
"06039",23,16,24.7308695652174,0.7
"06041",55,52,11.4087272727273,0.95
"06043",6,2,43.5783333333333,0.33
"06045",20,15,21.6815,0.75
"06047",49,48,12.3897959183673,0.98
"06049",4,3,31.315,0.75
"06051",3,1,40.3133333333333,0.33
"06053",93,89,11.852688172043,0.96
"06055",40,39,10.93625,0.98
"06057",20,18,16.6335,0.9
"06059",582,582,6.74305841924399,1
"06061",85,80,13.5742352941176,0.94
"06063",7,6,17.2371428571429,0.86
"06065",453,446,9.67238410596027,0.98
"06067",317,313,8.96488958990536,0.99
"06069",11,11,9.65454545454545,1
"06071",369,358,9.22780487804878,0.97
"06073",627,617,9.14567783094099,0.98
"06075",196,195,4.20392857142857,0.99
"06077",139,138,7.9668345323741,0.99
"06079",53,48,13.6128301886792,0.91
"06081",157,156,6.17643312101911,0.99
"06083",90,89,9.34522222222222,0.99
"06085",372,371,7.66064516129032,1
"06087",52,49,10.3309615384615,0.94
"06089",48,44,14.7145833333333,0.92
"06091",1,1,0,1
"06093",14,6,37.7042857142857,0.43
"06095",96,95,7.54770833333333,0.99
"06097",99,96,10.0866666666667,0.97
"06099",94,91,8.02021276595745,0.97
"06101",21,19,9.84666666666667,0.9
"06103",11,9,21.9727272727273,0.82
"06105",5,2,54.706,0.4
"06107",78,76,11.4907692307692,0.97
"06109",11,9,21.4209090909091,0.82
"06111",174,NA,NA,NA
"06113",41,41,8.35390243902439,1
"06115",14,12,14.7885714285714,0.86
"08001",97,95,9.7640206185567,0.98
"08003",4,4,10.235,1
"08005",147,145,9.12741496598639,0.99
"08007",4,3,22.51,0.75
"08009",2,2,12.5,1
"08011",1,0,43,0
"08013",68,67,9.08294117647059,0.99
"08014",18,18,8.16944444444444,1
"08015",5,3,20.258,0.6
"08017",1,1,0,1
"08019",3,0,41.4033333333333,0
"08021",2,1,15.4,0.5
"08023",2,0,72.245,0
"08025",1,0,36.38,0
"08027",1,0,66.54,0
"08029",7,4,21.42,0.57
"08031",144,144,6.30548611111111,1
"08033",1,0,79.9,0
"08035",61,57,12.5468852459016,0.93
"08037",14,9,26.9214285714286,0.64
"08039",7,0,50.2457142857143,0
"08041",130,127,10.5,0.98
"08043",14,13,15.0057142857143,0.93
"08045",11,11,12.3954545454545,1
"08047",1,0,57.96,0
"08049",3,3,8.81,1
"08051",4,2,54.4125,0.5
"08053",1,0,98.01,0
"08055",2,1,19.205,0.5
"08057",1,0,78.48,0
"08059",138,127,11.9684782608696,0.92
"08061",1,1,0,1
"08063",3,2,31.1833333333333,0.67
"08065",2,2,3.155,1
"08067",10,8,15.691,0.8
"08069",73,69,11.8246575342466,0.95
"08071",6,4,19.0333333333333,0.67
"08073",2,1,23.32,0.5
"08075",6,5,12.8383333333333,0.83
"08077",29,27,11.711724137931,0.93
"08079",1,0,63.16,0
"08081",4,3,15.435,0.75
"08083",7,7,15.1271428571429,1
"08085",10,9,23.524,0.9
"08087",8,8,7.31875,1
"08089",7,5,17.7842857142857,0.71
"08091",1,0,45.96,0
"08093",5,0,67.734,0
"08095",2,2,0,1
"08097",4,3,15.5925,0.75
"08099",5,4,20.594,0.8
"08101",55,52,11.2794545454545,0.95
"08103",2,2,0,1
"08105",3,3,9.36333333333333,1
"08107",8,4,27.57375,0.5
"08109",2,1,40.95,0.5
"08111",1,0,64.14,0
"08113",4,0,116.395,0
"08115",1,1,0,1
