"GEOID","minDisHosp","timeDrive","countDrive"
28075000300,1.33,5.34,7
28075000600,1.3,4.24,7
28077960100,6.12,23.35,2
28081950301,7.13,18.43,2
28085950600,1.9,5.82,1
28089030202,6.63,14.95,11
28089031000,23.23,51.03,0
28095950502,10.76,26.36,2
28099010500,0.51,0,2
28035000200,1.93,4.53,4
28045030100,1.01,8.1,4
28047000100,1.85,3.94,4
28047001700,5.34,10.55,6
28047003800,0.68,2.94,6
28111950101,2.84,0,1
28121020206,4.83,13.87,14
28121020212,7.09,11.21,14
28001000300,2.92,9.15,3
28001000800,12.69,23.56,2
28007060200,9.46,12.45,1
28021950200,0.79,0,2
28033070324,4,10.48,12
28033070412,0.88,7.24,14
28049000301,2.35,4.98,16
28049001900,1.36,5.54,16
28049003800,4.15,11.87,15
28049011002,2.31,4.05,15
28051950200,7.3,0,1
28051950400,14.28,37.03,0
28055950100,13.87,35.96,0
28059042900,4.28,5.3,2
28067980000,11.76,17.79,4
28075000200,0.77,4.01,7
28121020704,3.86,13.14,15
28131020202,10.27,30.32,0
28135950100,1.36,6.61,1
28143950100,21.08,50.53,0
28149950200,2.06,8.79,2
28149951102,13.61,14.31,3
28151001000,0.11,0,5
28157950200,24.65,39.58,0
28163950400,15.91,44.59,0
28033070522,0.83,0,14
28121020301,2.93,11.91,15
28151001600,8.41,15.59,4
28019950100,8.29,16.76,2
28021950100,9.67,12.1,1
28021950300,5.25,9.13,2
28025950400,2.12,25.16,4
28027950400,2.04,6.54,1
28029950200,11.63,51.43,0
28029950500,11.45,38.09,0
28033070210,5.56,14.24,11
28033070310,1.95,10.19,12
28089030106,2.17,7.25,15
28089030400,4,0,8
28089030800,5.1,18.1,2
28093950500,11.38,20.9,1
28095950600,5.39,10.83,1
28047003900,1.46,3.52,7
28049000500,2.61,4.78,16
28049001100,1.55,4.15,16
28001000700,1.5,6.21,4
28007060600,0.52,0,1
28125950200,0.1,0,1
28133950100,5.21,0,1
28135950400,16.84,44.64,0
28137950301,11.45,21.12,1
28137950400,1.53,0,1
28143980000,24.74,46.1,0
28149950300,2.51,4.76,3
28151000100,16.78,38.32,0
28151000400,1.58,3.56,3
28151001200,0.44,0,3
28059040204,9.04,17.92,4
28059041500,2.79,5.55,2
28001000100,9.99,22.91,2
28049002500,2.07,6.79,15
28049003500,3,10.22,15
28049010301,6.41,12.26,14
28049010600,17.88,31.56,0
28049011001,1.01,0,15
28051950100,10.92,28.41,1
28087000200,9.76,15.24,2
28089030104,3.2,9.91,15
28047002300,0.96,3.62,6
28047003204,0.47,0,6
28047003700,0.62,0,7
28059042500,2.45,8.21,2
28121020213,2.14,7.61,15
28121020701,4.28,8.73,15
28163950300,1.14,0,1
28163950600,12.22,20.19,1
28067950401,3.68,8.21,1
28075000400,1.56,0,7
28075980000,3.75,5.16,7
28081950302,4.78,17.07,2
28081951002,4.69,9.89,3
28033070812,2.63,7.97,20
28035000300,1.42,6.56,4
28047001202,2.98,5.55,7
28103950100,7.09,14.54,1
28105950300,1.15,0,1
