"GEOID","minDisMH","timeDrive","countDrive"
1001020100,4.41,11.65,2
1001020200,3.24,9.14,4
1001020300,2.44,7.58,4
1001020400,1.34,5.78,4
1001020500,0.49,0,7
1001020600,3.75,10.23,4
1001020700,2.89,11.36,4
1001020801,7.75,18.9,1
1001020802,8.36,20.14,1
1001020900,16.3,27.4,1
1003010200,7.8,12.47,1
1003010300,7.91,21.43,1
1003010500,0.97,0,1
1003010600,4.55,6.46,1
1003010701,9.01,12.12,3
1003010703,4.13,17.87,3
1003010704,1.4,13.01,3
1003010705,0.2,0,3
1003010800,3.34,9.73,3
1003010903,8.57,27.08,1
1003010905,9.19,23.77,2
1003011101,3.21,11.38,3
1003011102,4.57,15.45,3
1003011201,1.57,7.85,3
1003011202,1.43,0,3
1003011300,6.66,17.59,2
1003011401,13.47,27.61,2
1003011602,11.06,24.3,1
1003990000,NA,21.75,2
1005950100,13.69,16.57,2
1005950500,12.95,25.43,2
1005950600,7.67,13.67,2
1005950700,8.57,0,2
1005950800,2.14,0,2
1005950900,2.92,8.81,2
1009050101,6.84,20.2,1
1009050102,0.34,0,1
1009050200,6.53,11.12,1
1009050300,11.13,25.48,1
1009050400,17.34,27.55,1
1011952100,13.41,25.87,1
1011952200,1.16,0,1
1011952500,9.88,22.11,1
1013952700,5.52,0,2
1013952800,0.67,5.89,3
1013952900,3.13,0,3
1013953000,11.45,17.55,1
1013953100,2.52,8.91,3
1013953200,8.91,15.17,2
1013953300,11.43,26.45,1
1013953400,5.23,0,2
1015000200,1.52,4.73,4
1015000300,1.76,5.87,4
1015000400,3,10.62,4
1015000500,1.62,5.24,4
1015000600,1.6,5.46,4
1015000700,4.85,10.71,4
1015000800,0.8,0,5
1015000900,2.17,6.77,5
1015001000,3.11,7.03,5
1015001100,3.03,0,4
1015001201,1.78,7.91,5
1015001202,3.9,12.12,5
1015001300,3.56,6,4
1015001400,5.2,12.02,4
1015001500,10.08,16.98,3
1015001600,4.76,11.22,4
1015001700,6.19,11.54,4
1015001800,4.3,10.57,4
1015002000,8.32,19.2,5
1015002101,2.54,7.6,3
1015002102,2.77,7.26,3
1015002103,0.98,0,3
1015002200,13.04,25.81,1
1015002300,12.17,25.17,1
1015002400,5.46,14.37,1
1015002501,9.96,15.08,4
1015002502,10.79,21.04,4
1015002600,16.39,22.44,2
1015981903,6.46,18.4,4
1017954600,16.97,28.31,1
1019955701,10.65,11.91,2
1019955702,13.05,23.04,4
1019955800,6.89,14.04,2
1019955900,9.81,16.84,2
1019956000,0.7,0,2
1019956100,13.47,18.79,2
1021060101,3.56,8.1,1
1021060102,2.59,0,1
1021060200,5.42,17.76,1
