"STATEFP","cntT","cntTimeDrive","avTimeDrive","pctTimeDrive"
"01",1181,956,18.56,0.81
"02",168,144,73.34,0.86
"04",1533,1434,10.14,0.94
"05",686,576,15.47,0.84
"06",8058,7866,7.06,0.98
"08",1249,1178,9.37,0.94
"09",833,833,7.3,1
"10",218,218,8.63,1
"11",179,179,2.7,1
"12",4245,4071,10.22,0.96
"13",1969,1751,13.89,0.89
"15",351,345,10.4,0.98
"16",298,243,16.25,0.82
"17",3123,3005,7.46,0.96
"18",1511,1458,9.59,0.96
"19",825,698,14.11,0.85
"20",770,648,14.33,0.84
"21",1115,1067,10.12,0.96
"22",1148,990,14.53,0.86
"23",358,303,18.58,0.85
"24",1406,1384,7.37,0.98
"25",1478,1463,6.5,0.99
"26",2813,2546,12.16,0.91
"27",1338,1159,12.88,0.87
"28",664,462,22.04,0.7
"29",1393,1246,12.95,0.89
"30",271,197,23.43,0.73
"31",532,459,13.91,0.86
"32",687,651,11.22,0.95
"33",295,276,12.73,0.94
"34",2010,2004,6.05,1
"35",499,438,13.82,0.88
"36",4931,4743,7.27,0.96
"37",2195,2068,11.74,0.94
"38",205,120,29.71,0.59
"39",2952,2901,9.01,0.98
"40",1046,909,13.79,0.87
"41",834,761,11.41,0.91
"42",3218,3128,8.65,0.97
"44",244,242,6.26,0.99
"45",1103,1002,15.17,0.91
"46",225,135,31.8,0.6
"47",1497,1372,12.61,0.92
"48",5265,4592,14.19,0.87
"49",588,560,7.5,0.95
"50",184,146,19.26,0.79
"51",1908,1743,12.6,0.91
"53",1458,1364,9.96,0.94
"54",484,404,16.28,0.83
"55",1409,1260,11.97,0.89
"56",132,107,13.79,0.81
"60",18,0,NA,0
"66",57,0,NA,0
"69",23,0,NA,0
"72",908,0,NA,0
"78",31,0,NA,0
