GEOID,SVIth1,SVIth2,SVIth3,SVIth4,SVIS
01015981901,,,,,
01015981902,,,,,
01015981903,,,,,
01097003605,,0.0,0.27,,
01097990000,,,,,
01117980000,,,,,
02185000300,0.0,0.01,0.15,,
04012980000,,,,,
04013061017,,,0.52,,
04013113400,,,0.69,,
04013113802,,,,,
04013980100,,,,,
04013980400,0.8,0.0,0.68,,
04013980500,,,,,
04013980700,,,,,
04019004113,,,0.75,,
04027980003,,,,,
04027980004,,,,,
04027980005,,,0.98,,
05119003205,,,,,
06017990000,,,,,
06019007901,,,0.82,,
06029004302,,,0.82,,
06029004601,,,0.82,,
06029004603,,,0.74,,
06029006002,,,0.82,,
06031001602,,,0.85,,
06031981800,,,0.88,,
06037265301,,0.0,0.55,,
06037320000,,,,,
06037403200,0.79,0.47,0.85,,
06037551600,,,0.81,,
06037574601,,0.0,0.49,,
06037574700,,,0.77,,
06037901003,,,0.85,,
06037920200,,,0.87,,
06037980001,,,,,
06037980002,,,,,
06037980003,,,,,
06037980004,,,,,
06037980005,,,,,
06037980006,,,,,
06037980007,,,,,
06037980009,,0.0,0.52,,
06037980013,,,,,
06037980018,,,,,
06037980020,,,,,
06037980022,,,,,
06037980023,,,,,
06037980025,,,,,
06037980028,,,,,
06037980030,,,,,
06037990300,,,,,
06041122000,,,0.84,,
06053014104,,0.0,0.57,,
06053980000,,,,,
06059980000,,0.33,0.52,,
06061990000,,,,,
06065980004,,,,,
06065981000,,,0.89,,
06071012300,1.0,0.07,0.81,,
06071980100,,,,,
06071980200,,,0.94,,
06073003800,,,0.34,,
06073005500,,,0.38,,
06073006200,,,0.3,,
06073006300,,,0.46,,
06073009902,,,,,
06075980401,,,,,
06079011400,,,0.74,,
06081984300,,,,,
06083980000,,,,,
06083980100,,0.49,0.52,,
06083990000,,,,,
06095253000,,,0.8,,
06095980000,,,,,
06107004000,0.99,0.49,0.75,,
06109985202,,,0.73,,
06111980000,,,0.52,,
06111990100,,,,,
