STATEFP,YEAR,TotalPop,NonrelatedHousehold,NonrelatedGroupDwelling,GroupQuarters,GroupQuarterPercent,NonrelatedHousePercent
01,2014-2018,4864680,27739,21440,118799,2.44,0.57
02,2014-2018,738516,6835,5086,27399,3.71,0.93
04,2014-2018,6946685,48768,44792,156005,2.25,0.7
05,2014-2018,2990671,16340,14695,84212,2.82,0.55
06,2014-2018,39148760,299770,210021,819479,2.09,0.77
08,2014-2018,5531141,31844,30683,119835,2.17,0.58
09,2014-2018,3581504,21379,16453,114842,3.21,0.6
10,2014-2018,949495,6184,5148,25051,2.64,0.65
11,2014-2018,684498,5376,5242,39620,5.79,0.79
12,2014-2018,20598139,156123,145440,431638,2.1,0.76
13,2014-2018,10297484,63618,50692,260334,2.53,0.62
15,2014-2018,1422029,19534,8035,44031,3.1,1.37
16,2014-2018,1687809,11025,9695,30030,1.78,0.65
17,2014-2018,12821497,74401,59571,297900,2.32,0.58
18,2014-2018,6637426,41819,38034,187679,2.83,0.63
19,2014-2018,3132499,16014,16082,100084,3.2,0.51
20,2014-2018,2908776,11900,11871,80068,2.75,0.41
21,2014-2018,4440204,29394,26877,131139,2.95,0.66
22,2014-2018,4663616,26780,24926,129395,2.77,0.57
23,2014-2018,1332813,9362,8094,36011,2.7,0.7
24,2014-2018,6003435,44187,35871,140552,2.34,0.74
25,2014-2018,6830193,37621,31146,250640,3.67,0.55
26,2014-2018,9957488,63502,56573,229387,2.3,0.64
27,2014-2018,5527358,26821,27249,132860,2.4,0.49
28,2014-2018,2988762,17166,12436,96421,3.23,0.57
29,2014-2018,6090062,37520,35058,175058,2.87,0.62
30,2014-2018,1041732,4599,5743,28869,2.77,0.44
31,2014-2018,1904760,8633,8498,51951,2.73,0.45
32,2014-2018,2922849,20644,19223,37700,1.29,0.71
33,2014-2018,1343622,8557,7760,42580,3.17,0.64
34,2014-2018,8881845,54533,39814,184786,2.08,0.61
35,2014-2018,2092434,12865,10747,42958,2.05,0.61
36,2014-2018,19618453,143366,100452,574848,2.93,0.73
37,2014-2018,10155624,55237,49008,272714,2.69,0.54
38,2014-2018,752201,2923,4124,25548,3.4,0.39
39,2014-2018,11641879,67479,60153,314095,2.7,0.58
40,2014-2018,3918137,24757,22017,110123,2.81,0.63
41,2014-2018,4081943,31574,26636,87976,2.16,0.77
42,2014-2018,12791181,69963,63029,425132,3.32,0.55
44,2014-2018,1056611,5259,5696,41742,3.95,0.5
45,2014-2018,4955925,26471,22582,136797,2.76,0.53
46,2014-2018,864289,3599,3933,34008,3.93,0.42
47,2014-2018,6651089,41233,34274,154894,2.33,0.62
48,2014-2018,27885195,159341,124634,599745,2.15,0.57
49,2014-2018,3045350,16878,11458,46677,1.53,0.55
50,2014-2018,624977,4005,3515,25375,4.06,0.64
51,2014-2018,8413774,50997,46018,244193,2.9,0.61
53,2014-2018,7294336,47876,36869,142560,1.95,0.66
54,2014-2018,1829054,13019,11886,48019,2.63,0.71
55,2014-2018,5778394,32480,31448,146654,2.54,0.56
56,2014-2018,581836,2778,3169,14197,2.44,0.48
72,2014-2018,3386941,10638,5982,37244,1.1,0.31
