STATEFP,state,fordq_rate
02,AK,4.67
01,AL,10.68
05,AR,9.39
04,AZ,14.24
06,CA,13.7
08,CO,9.84
09,CT,8.46
11,DC,7.09
10,DE,7.35
12,FL,18.45
13,GA,12.97
15,HI,5.53
19,IA,7.86
16,ID,6.28
17,IL,11.71
18,IN,14.76
20,KS,8.33
21,KY,10.88
22,LA,10.84
25,MA,9.57
24,MD,8.94
23,ME,9.54
26,MI,15.31
27,MN,9.29
29,MO,9.58
28,MS,13.98
30,MT,4.79
37,NC,8.54
38,ND,4.17
31,NE,8.02
33,NH,7.69
34,NJ,9.83
35,NM,7.39
32,NV,19.26
36,NY,8.35
39,OH,14.76
40,OK,9.49
41,OR,5.21
42,PA,8.16
72,PR,10.31
44,RI,12.24
45,SC,10.58
46,SD,6.84
47,TN,10.85
48,TX,9.65
49,UT,6.16
51,VA,7.83
50,VT,5.51
53,WA,5.53
55,WI,9.73
54,WV,9.28
56,WY,4.08
