STATEFP,state,deaths,pop,rawDeathRt
01,Alabama,6405,48330433,13.3
04,Arizona,12166,67076091,18.1
05,Arkansas,3915,29610169,13.2
06,California,43494,384572081,11.3
08,Colorado,8296,53229839,15.6
09,Connecticut,3999,35827904,11.2
10,Delaware,1360,9302363,14.6
11,District of Columbia,861,6499437,13.2
12,Florida,27974,198442657,14.1
13,Georgia,11084,100607249,11.0
16,Idaho,2252,16358555,13.8
17,Illinois,10233,128339274,8.0
18,Indiana,10632,65776569,16.2
19,Iowa,3028,30973710,9.8
20,Kansas,3131,28884501,10.8
21,Kentucky,9931,43999621,22.6
22,Louisiana,7024,46173596,15.2
23,Maine,2004,13308840,15.1
24,Maryland,4775,59239756,8.1
25,Massachusetts,8099,67105323,12.1
26,Michigan,15268,99159379,15.4
27,Minnesota,5308,54384012,9.8
28,Mississippi,3289,29826484,11.0
29,Missouri,7414,60507107,12.3
30,Montana,1611,10203748,15.8
31,Nebraska,1605,18739859,8.6
32,Nevada,5583,28360038,19.7
33,New Hampshire,1647,13286412,12.4
34,New Jersey,10145,88887401,11.4
35,New Mexico,5423,20784224,26.1
36,New York,19128,196050668,9.8
37,North Carolina,10340,99032176,10.4
38,North Dakota,665,7214343,9.2
39,Ohio,17017,115895394,14.7
40,Oklahoma,6544,38512712,17.0
41,Oregon,5923,39767121,14.9
42,Pennsylvania,24689,127635996,19.3
44,Rhode Island,1578,10544169,15.0
45,South Carolina,6524,48191271,13.5
46,South Dakota,674,8452559,8.0
47,Tennessee,11315,65294537,17.3
48,Texas,21985,267424508,8.2
49,Utah,5340,29313663,18.2
50,Vermont,755,6256784,12.1
51,Virginia,6948,82578632,8.4
53,Washington,9691,70551637,13.7
54,West Virginia,5493,18413095,29.8
55,Wisconsin,7226,57453788,12.6
56,Wyoming,929,5763518,16.1
,,403648,3173441864,12.7
