COUNTYFP,st_abb,cnty_name,opPrscRt,odMortRt14,odMortRt15,odMortRt16,odMortRt17,odMortRt18,odMortRtAv
1001,AL,Autauga County,101.3,10,10.8,12.5,12.2,13.2,11.74
1003,AL,Baldwin County,67.6,17.7,19.6,17.5,16.6,16.6,17.6
1005,AL,Barbour County,27.2,9.9,12.2,12.4,12.8,14.6,12.38
1007,AL,Bibb County,21,17.1,17.5,21.6,21.7,23,20.18
1009,AL,Blount County,23.7,18.6,19.4,22.6,25.8,21.7,21.62
1011,AL,Bullock County,24.7,9.2,10.4,11.6,12,12,11.04
1013,AL,Butler County,40.6,11.4,12.8,15.1,14.7,16.7,14.14
1015,AL,Calhoun County,106.3,14.9,16.1,15.8,22.1,17.2,17.22
1017,AL,Chambers County,58,10.3,11.4,13.4,13.8,13.9,12.56
1019,AL,Cherokee County,46.5,16.2,18.5,19.9,20,21.1,19.14
1021,AL,Chilton County,41.2,14.2,17,15.6,17.8,19.7,16.86
1023,AL,Choctaw County,37.5,14.1,14.4,17.6,18.9,18.9,16.78
1025,AL,Clarke County,66.3,12.5,13.6,14.7,16.5,16.5,14.76
1027,AL,Clay County,84.5,13.9,14.7,16.4,17.4,17,15.88
1029,AL,Cleburne County,14.5,18.6,20.1,22.6,21.9,24.2,21.48
1031,AL,Coffee County,79.8,9.6,9.6,11.4,11.8,11.5,10.78
1033,AL,Colbert County,156.9,10.4,11.2,12,12.4,12.7,11.74
1035,AL,Conecuh County,110.5,15.5,16.9,18.8,20.6,21.3,18.62
1037,AL,Coosa County,0,12,13,14.6,16,16.1,14.34
1039,AL,Covington Count,94.2,13.4,13.4,15.8,15.3,15.4,14.66
1041,AL,Crenshaw County,33.1,10.3,10.9,12.9,13.4,13.1,12.12
1043,AL,Cullman County,87.1,22.8,18.1,20.8,21.7,21.6,21
1045,AL,Dale County,34,10.2,11.4,12.2,11.6,12.6,11.6
1047,AL,Dallas County,65,9.6,9.6,10.6,11.6,11.1,10.5
1049,AL,DeKalb County,62.6,14,21.3,22.6,27.6,22.2,21.54
1051,AL,Elmore County,28.1,9.5,8.7,10.9,11.4,10.6,10.22
1053,AL,Escambia County,76.6,22,21.4,22.9,27.3,26.8,24.08
1055,AL,Etowah County,102.8,16.9,19.4,18.2,27.2,24.2,21.18
1057,AL,Fayette County,48.5,16.1,17,20.6,21.9,20.2,19.16
1059,AL,Franklin County,92.3,16.4,16.8,18.5,20.6,18.7,18.2
1061,AL,Geneva County,15.1,13.8,14.2,14.6,17.7,18.2,15.7
1063,AL,Greene County,25.2,12.4,13.5,15.2,16.3,16.4,14.76
1065,AL,Hale County,22.2,14.1,14.8,18.5,18.1,18.2,16.74
1067,AL,Henry County,52.3,12.1,12.2,15.1,15.3,16.3,14.2
1069,AL,Houston County,146.1,11.9,12.7,12.4,15.1,16,13.62
1071,AL,Jackson County,82.3,12.9,13.2,13.9,16.6,16.6,14.64
1073,AL,Jefferson Count,143.5,24.7,23.6,28.7,30.1,27.2,26.86
1075,AL,Lamar County,13.8,13.9,14.1,17.4,17.3,18.7,16.28
1077,AL,Lauderdale Coun,58.5,11.7,12.2,14.5,15.2,16.3,13.98
1079,AL,Lawrence County,30.4,14.3,14.6,17.9,17.6,16.7,16.22
1081,AL,Lee County,39.5,8.2,9.6,8.8,10.4,9.5,9.3
1083,AL,Limestone Count,33.1,10.3,11.3,12,13.4,13.7,12.14
1085,AL,Lowndes County,9.2,9.7,11.3,11.9,12.8,12.8,11.7
1087,AL,Macon County,10.6,8.5,9.3,10.4,11.4,11.1,10.14
1089,AL,Madison County,97.8,8.6,11.6,15.6,18.7,13.3,13.56
1091,AL,Marengo County,72.3,12,14.7,16.5,15.5,16,14.94
1093,AL,Marion County,108.7,13.5,13.2,16.3,16,17.4,15.28
1095,AL,Marshall County,97.2,16.6,18.7,16.1,16.4,18.2,17.2
1097,AL,Mobile County,108.4,13.9,16.4,16.2,14.2,15.8,15.3
1099,AL,Monroe County,48.9,12.5,13.6,14.7,17,16.2,14.8
1101,AL,Montgomery Coun,93.2,7.8,7.6,8.3,8.4,9.1,8.24
1103,AL,Morgan County,69.2,13.4,18.6,15.3,18.6,19.3,17.04
1105,AL,Perry County,15.3,12.4,13.6,15.5,16.6,16.6,14.94
1107,AL,Pickens County,33.6,14.4,14.3,15.9,17,19.6,16.24
1109,AL,Pike County,36.6,10.1,9.7,11.3,12.4,11.4,10.98
1111,AL,Randolph County,56.1,13.3,16.4,16.4,19.5,19.5,17.02
1113,AL,Russell County,34.6,10.7,11.5,12,12.1,14.5,12.16
1115,AL,St. Clair Count,61.9,26.5,21.5,27.1,27.6,27.1,25.96
1117,AL,Shelby County,76.9,17.5,18.4,20.3,17.4,18.6,18.44
1119,AL,Sumter County,38,12.4,13.4,16.2,17.4,17.5,15.38
1121,AL,Talladega Count,41.3,11.4,13.1,14,16.5,17.6,14.52
1123,AL,Tallapoosa Coun,47,10.7,11.9,14.6,12.9,14,12.82
1125,AL,Tuscaloosa Coun,96.5,13.5,14.8,16.3,18.1,16.1,15.76
