STATEFP,st_abb,st_name,opPrscRt,prMisuse19,odMortRt14,odMortRt15,odMortRt16,odMortRt17,odMortRt18,odMortRt19,odMortRtAv
1,AL,Alabama,39.1,4.55,15.2,15.7,16.2,18,16.6,16.3,16.33
2,AK,Alaska,85.8,3.99,16.8,16,16.8,20.2,14.6,17.8,17.03
4,AZ,Arizona,80.9,3.8,18.2,19,20.3,22.2,23.8,26.8,21.72
5,AR,Arkansas,44.1,3.66,12.6,13.8,14,15.5,15.7,13.5,14.18
6,CA,California,30.9,3.6,11.1,11.3,11.2,11.7,12.8,15,12.18
8,CO,Colorado,40,3.94,16.3,15.4,16.6,17.6,16.8,18,16.78
9,CT,Connecticut,40.5,3.31,17.6,22.1,27.4,30.9,30.7,34.7,27.23
10,DE,Delaware,39.9,3.45,20.9,22,30.8,37,43.8,48,33.75
11,DC,"Washington, D.C.",51.6,4.16,19.4,14.7,14.5,15.2,22.8,43.2,21.63
12,FL,Florida,45.4,3.69,13.2,16.2,23.7,25.1,13.2,25.5,19.48
13,GA,Georgia,57.9,3.52,11.9,12.7,13.3,14.7,14.3,13.1,13.33
15,HI,Hawaii,30.3,3.41,10.9,11.3,12.8,13.8,14.6,15.9,13.22
16,ID,Idaho,43,4.1,13.7,14.2,15.2,14.4,21.3,15.1,15.65
17,IL,Illinois,53.4,2.84,13.1,14.1,18.9,21.6,25.6,21.9,19.2
18,IN,Indiana,43.1,3.8,18.2,19.5,24,29.4,9.6,26.6,21.22
19,IA,Iowa,60.4,4.14,8.8,10.3,10.6,11.5,12.4,11.5,10.85
20,KS,Kansas,63.7,3.75,11.7,11.8,11.1,11.8,30.9,14.3,15.27
21,KY,Kentucky,72.3,4.14,24.7,29.9,33.5,37.2,25.4,32.5,30.53
22,LA,Louisiana,74.6,3.85,16.9,19,21.8,24.5,27.9,28.3,23.07
23,ME,Maine,35.4,3.27,16.8,21.2,28.7,34.4,37.2,29.9,28.03
24,MD,Maryland,42.3,3.45,17.4,20.9,33.2,36.3,32.8,38.2,29.8
25,MA,Massachusetts,44.1,3.24,19,25.7,33,31.8,26.6,32.1,28.03
26,MI,Michigan,58,3.76,18,20.4,24.4,27.8,11.5,24.4,21.08
27,MN,Minnesota,32.1,3.6,9.6,10.6,12.5,13.3,10.8,14.2,11.83
28,MS,Mississippi,58.3,3.93,11.6,12.3,12.1,12.2,27.5,13.6,14.88
29,MO,Missouri,67,3.7,18.2,17.9,23.6,23.4,12.2,26.9,20.37
30,MT,Montana,48.2,4.27,12.4,13.8,11.7,11.7,7.4,14.1,11.85
31,NE,Nebraska,56.7,3.31,7.2,6.9,6.4,8.1,21.2,8.7,9.75
32,NV,Nevada,38.8,3.87,18.4,20.4,21.7,21.6,35.8,20.1,23
33,NH,New Hampshire,50.3,3.38,26.2,34.3,39,37,33.1,32,33.6
34,NJ,New Jersey,38.1,2.99,14,16.3,23.2,30,26.7,31.7,23.65
35,NM,New Mexico,34.8,3.71,27.3,25.3,25.2,24.8,18.4,30.2,25.2
36,NY,New York,43.4,2.95,11.3,13.6,18,19.4,22.4,18.2,17.15
37,NC,North Carolina,49.4,3.56,13.8,15.8,19.7,24.1,10.2,22.3,17.65
38,ND,North Dakota,34.8,3.71,6.3,8.6,10.6,9.2,35.9,11.4,13.67
39,OH,Ohio,50.8,3.95,24.6,29.9,39.1,46.3,18.4,38.3,32.77
40,OK,Oklahoma,66,3.89,20.3,19,21.5,20.1,12.6,16.7,18.37
41,OR,Oregon,49.1,4.56,12.8,12,11.9,12.4,36.1,14,16.53
42,PA,Pennsylvania,47,3.17,21.9,26.3,37.9,44.3,30.1,35.6,32.68
44,RI,Rhode Island,40.3,3.33,23.4,28.2,30.8,31,22.6,29.5,27.58
45,SC,South Carolina,60.4,3.68,14.4,15.7,18.1,20.5,6.9,22.7,16.38
46,SD,South Dakota,43.9,3.32,7.8,8.4,8.4,8.5,27.5,10.5,11.85
47,TN,Tennessee,74.6,3.54,19.5,22.2,24.5,26.6,10.4,31.2,22.4
48,TX,Texas,42.1,3.62,9.7,9.4,10.1,10.5,21.2,10.8,11.95
49,UT,Utah,51.4,3.68,22.4,23.4,22.4,22.3,26.6,18.9,22.67
50,VT,Vermont,40.7,3.52,13.9,16.7,22.2,23.2,17.1,23.8,19.48
51,VA,Virginia,36.9,3.39,11.7,12.4,16.7,17.9,14.8,18.3,15.3
53,WA,Washington,42.7,4.03,13.3,14.7,14.5,15.2,35.4,15.8,18.15
54,WV,West Virginia,42.5,3.22,35.5,41.5,52,57.8,51.5,52.8,48.52
55,WI,Wisconsin,59.4,3.87,15.1,15.5,19.3,21.2,19.2,21.1,18.57
56,WY,Wyoming,49.7,3.44,19.4,16.4,17.6,12.2,11.1,14.1,15.13
