COUNTYFP,YFips,Year,State,CountyName,TtlPrPpr,FmlPrPpr,MlPrPpr,AapiPrPpr,BlckPrPpr,LtnxPrPpr,NtvPrPpr,WhtPrPpr,TtlPrAPpr,FmlPrAPpr,MlPrAPpr,AapiPrAPpr,BlckPrAPpr,LtnxPrAPpr,NtvPrAPpr,WhtPrAPpr,TtlPrPp,FmlPrPp,MlPrPp,AapiPrPp,BlckPrPp,LtnxPrPp,NtvPrPp,WhtPrPp,TtlPrAPp,FmlPrAPp,MlPrAPp,AapiPrAPp,BlckPrAPp,LtnxPrAPp,NtvPrAPp,WhtPrAPp
01001,201601001,2016,AL,Autauga County,502.84,81.34,935.78,,1182.23,,,339.78,236.31,86.77,389.91,,489.2,,,179.02,183.0,15.0,168.0,,87.0,,,93.0,86.0,16.0,70.0,,36.0,,,49.0
01003,201601003,2016,AL,Baldwin County,618.44,78.14,1186.51,0.0,2281.6,0.0,0.0,458.76,353.5,105.19,614.58,0.0,1240.33,0.0,0.0,269.15,803.0,52.0,751.0,0.0,298.0,0.0,0.0,496.0,459.0,70.0,389.0,0.0,162.0,0.0,0.0,291.0
01005,201601005,2016,AL,Barbour County,902.36,,,,,,,,240.63,,,,,,,,150.0,,,,,,,,40.0,,,,,,,
01007,201601007,2016,AL,Bibb County,341.14,,,,,,,,59.04,,,,,,,,52.0,,,,,,,,9.0,,,,,,,
01009,201601009,2016,AL,Blount County,288.89,60.91,514.05,,1206.9,,,301.24,145.82,49.83,240.62,,,,,158.39,105.0,11.0,94.0,,7.0,,,97.0,53.0,9.0,44.0,,,,,51.0
01011,201601011,2016,AL,Bullock County,590.35,0.0,1018.38,,790.11,,,,,,,,,,,,41.0,0.0,41.0,,39.0,,,,,,,,,,,
01013,201601013,2016,AL,Butler County,1203.18,238.52,2326.79,0.0,2084.42,0.0,0.0,476.95,585.55,208.71,1024.48,0.0,1024.84,0.0,0.0,222.58,150.0,16.0,134.0,0.0,120.0,0.0,0.0,30.0,73.0,14.0,59.0,0.0,59.0,0.0,0.0,14.0
01015,201601015,2016,AL,Calhoun County,1005.94,150.99,1904.61,0.0,2198.73,0.0,0.0,714.85,564.34,150.99,998.82,0.0,906.07,0.0,0.0,500.39,754.0,58.0,696.0,0.0,364.0,0.0,0.0,390.0,423.0,58.0,365.0,0.0,150.0,0.0,0.0,273.0
01017,201601017,2016,AL,Chambers County,928.2,208.41,1683.95,0.0,1294.21,0.0,0.0,714.47,426.97,190.29,675.48,0.0,412.81,0.0,0.0,467.81,200.0,23.0,177.0,0.0,116.0,0.0,0.0,84.0,92.0,21.0,71.0,0.0,37.0,0.0,0.0,55.0
01019,201601019,2016,AL,Cherokee County,683.34,239.6,1122.05,0.0,1441.68,0.0,0.0,661.36,476.46,226.99,723.1,0.0,1310.62,0.0,0.0,445.4,109.0,19.0,90.0,0.0,11.0,0.0,0.0,98.0,76.0,18.0,58.0,0.0,10.0,0.0,0.0,66.0
01021,201601021,2016,AL,Chilton County,613.95,127.67,1100.93,,1446.84,,,564.45,276.81,106.39,447.47,,605.65,,,258.16,173.0,18.0,155.0,,43.0,,,129.0,78.0,15.0,63.0,,18.0,,,59.0
01023,201601023,2016,AL,Choctaw County,699.39,119.16,1338.23,,1056.84,,,408.26,112.4,0.0,236.16,0.0,114.25,0.0,0.0,113.4,56.0,5.0,51.0,,37.0,,,18.0,9.0,0.0,9.0,0.0,4.0,0.0,0.0,5.0
