STATEFP,TtlMedExp,TradFedExp,TradSttExp,ExpnFedExp,ExpnSttExp,Year
01,5598446200,4014987200,1583459000,,,2018
02,2077801600,1088386100,576420900,398204400,14790200,2018
04,11769148600,6371629300,2523317200,2653909200,220292800,2018
05,6400396000,3228811200,1323965200,1739970200,107649400,2018
06,89944234400,36497606700,35151528200,17251390500,1043709100,2018
08,9229483200,3812195000,3792747500,1525136400,99404300,2018
09,8579843200,3270834800,3257617600,1822845100,228545700,2018
10,2318701900,987366600,761443100,514715800,55176500,2018
11,2780196600,1634749600,701938800,417278500,26229700,2018
12,23376959100,14473538300,8903420700,,,2018
13,10668670800,7329941100,3338729800,,,2018
15,2282099900,890604900,734972600,611344700,45177700,2018
16,1985771800,1414507000,571264800,,,2018
17,22315492600,8592722500,8288756400,4403251600,1030762100,2018
18,12791473100,6101336100,3197243000,3043033400,449860700,2018
19,5005002500,2318971200,1640684800,961083900,84262600,2018
20,3470336900,1905097100,1565239900,,,2018
21,10192341600,5067931400,2045343300,2901052000,178014900,2018
22,10648405300,5087538500,2879179700,2527183400,154503700,2018
23,2774730800,1787971900,986758900,,,2018
24,11510733800,4436728700,4374220100,2544578800,155206200,2018
25,17407502400,7648074800,7621002500,1896927000,241498200,2018
26,16413947500,8119737900,4415242500,3573748200,305218900,2018
27,12883636300,5602849400,5472277900,1708089800,100419200,2018
28,5295631600,4011296400,1284335200,,,2018
29,10451425600,6799087300,3652338300,,,2018
30,1839106500,778706500,369979800,648026400,42393800,2018
31,2115842300,1113354300,1002487900,,,2018
32,3959463900,1783583900,922486900,1181644500,71748600,2018
33,2228830700,859950400,858495400,478774900,31610000,2018
34,15079945100,5999339800,5910689800,2985600500,184315000,2018
35,5107975100,2684197500,1000889800,1344329700,78558100,2018
36,77697181000,39032126500,38173138700,431408500,60507400,2018
37,13201460500,8944059000,4257401500,,,2018
38,1265951600,494032100,474269300,274231400,23418800,2018
39,22182751100,11343081300,6715231000,3887798400,236640500,2018
40,4856833700,2944575400,1912258300,,,2018
41,9093872300,4315998200,2268454100,2363583800,145836300,2018
42,29821935600,12987200700,12041942900,4503641400,289150600,2018
44,2605284000,1110545900,1044021800,424670000,26046300,2018
45,6229851700,4465172700,1764679000,,,2018
46,895697100,534232200,361464900,,,2018
47,9845171800,6529389900,3315781800,,,2018
48,38363898700,21932283600,16431615100,,,2018
49,2480499300,1744439700,736059500,,,2018
50,1596147900,737040700,638664500,196733000,23709600,2018
51,9283604600,4637762600,4645842000,,,2018
53,12037465400,4610569600,4349828600,2902387900,174679300,2018
54,3754868400,2042181600,745927900,908272700,58486100,2018
55,12034085100,7095802600,4938282500,,,2018
56,603431300,317569300,285861900,,,2018
