STATEFP,STUSPS,NAME,expSSP,noPrphLw,ntPrFrDsSy,PrExcInj,PrNtRefInj,noLwRmUnc
28,MS,Mississippi,0,0,0,0,0,1
37,NC,North Carolina,1,0,0,0,0,0
40,OK,Oklahoma,0,0,0,0,0,1
51,VA,Virginia,1,0,0,0,0,0
54,WV,West Virginia,0,0,1,0,0,0
22,LA,Louisiana,1,0,0,0,0,0
26,MI,Michigan,0,0,1,0,0,0
25,MA,Massachusetts,1,0,1,0,1,0
16,ID,Idaho,1,0,0,0,0,0
12,FL,Florida,1,0,0,0,0,0
31,NE,Nebraska,0,0,0,0,0,1
53,WA,Washington,1,0,0,0,0,0
35,NM,New Mexico,1,0,0,0,0,0
46,SD,South Dakota,0,0,0,0,0,1
48,TX,Texas,0,0,0,0,0,1
06,CA,California,1,0,0,0,0,0
01,AL,Alabama,0,0,0,0,0,1
13,GA,Georgia,1,0,0,0,0,0
42,PA,Pennsylvania,0,0,0,0,0,1
29,MO,Missouri,0,0,0,0,0,1
08,CO,Colorado,1,0,0,0,0,0
49,UT,Utah,1,0,0,0,0,0
47,TN,Tennessee,1,0,0,0,0,0
56,WY,Wyoming,0,0,0,0,0,1
36,NY,New York,1,0,0,0,0,0
20,KS,Kansas,0,0,0,0,0,1
02,AK,Alaska,0,1,0,0,0,0
32,NV,Nevada,1,0,0,1,0,0
17,IL,Illinois,1,0,0,0,0,0
50,VT,Vermont,1,0,1,0,0,0
30,MT,Montana,1,0,0,0,0,0
19,IA,Iowa,0,0,0,0,0,1
45,SC,South Carolina,0,0,0,0,1,0
33,NH,New Hampshire,1,0,0,0,1,0
04,AZ,Arizona,0,0,0,0,0,1
11,DC,District of Columbia,1,0,0,0,0,0
34,NJ,New Jersey,1,0,0,0,0,0
24,MD,Maryland,1,0,0,0,0,0
23,ME,Maine,1,0,0,0,0,0
15,HI,Hawaii,1,0,0,0,0,0
10,DE,Delaware,1,0,0,0,0,0
44,RI,Rhode Island,1,0,0,0,1,0
21,KY,Kentucky,1,0,0,0,0,0
39,OH,Ohio,1,0,0,0,0,0
55,WI,Wisconsin,0,0,0,1,0,0
41,OR,Oregon,0,0,0,1,0,0
38,ND,North Dakota,1,0,0,0,0,0
05,AR,Arkansas,0,0,1,0,0,0
18,IN,Indiana,1,0,0,0,1,0
27,MN,Minnesota,1,0,0,0,0,0
09,CT,Connecticut,1,0,0,0,1,0
