origin,count within 30,minutes
1001020500,1,28.97
1003010701,2,24.92
1003010704,1,29.08
1003010705,1,27.39
1003010800,1,28.64
1015000200,1,11.4
1015000300,1,11.43
1015000400,1,16.25
1015000500,1,10.9
1015000600,1,9.71
1015000700,1,17.83
1015000800,1,7.92
1015000900,1,12.22
1015001000,1,8.88
1015001100,1,12.01
1015001201,1,0
1015001202,1,6.53
1015001300,1,11.6
1015001400,1,17.63
1015001500,1,17.03
1015001600,1,16.77
1015001700,1,17.24
1015001800,1,21.95
1015002000,1,19.7
1015002103,1,25.12
1015002501,1,23.99
1015981901,1,28.16
1015981903,1,21.08
1021060101,1,18.71
1021060102,1,17.82
1021060200,1,0
1021060300,1,21.72
1021060401,1,27.26
1021060700,1,15.18
1029959600,1,24.75
1029959700,1,26.7
1031010900,1,28.88
1031011202,1,29.96
1031011300,1,25.27
1045020000,1,28.56
1045021101,1,26.84
1045021102,1,19.41
1045021200,1,21.03
1045021300,1,22.77
1045021400,1,25.86
1051030701,1,22.87
1051030800,1,29.5
1051031000,1,29.32
1051031300,1,25.35
1053970300,1,15.09
1053970700,1,29.59
1061050500,1,27.04
1069040100,1,0
1069040201,1,17.91
1069040202,1,17.57
1069040301,1,18.18
1069040302,1,21.61
1069040400,1,18.24
1069040500,1,19.5
1069040600,1,19.07
1069040700,1,20.28
1069040800,1,23.45
1069040900,1,26.04
1069041000,1,24.07
1069041100,1,22.28
1069041200,1,19.45
1069041400,1,22.37
1069041500,1,20.33
1073000100,1,16.11
1073000300,2,19.62
1073000400,2,24.09
1073000500,2,20.13
1073000700,2,25.94
1073000800,2,22.32
1073001100,1,24.26
1073001200,1,23.57
1073001400,2,24.08
1073001500,2,21.44
1073001600,2,23.89
1073001902,2,17.98
1073002000,2,17.65
1073002100,1,17.21
1073002200,2,18.13
1073002303,2,20.49
1073002305,2,21.45
1073002306,2,23.62
1073002400,2,22.28
1073002700,2,19.87
1073002900,2,19.62
1073003001,2,19.56
1073003002,2,20.44
1073003100,1,20.19
1073003200,1,20.83
1073003300,1,21.76
1073003400,1,21.15
1073003500,1,22.27
1073003600,1,16.67
1073003700,1,19.06
1073003802,1,16.88
1073003803,1,16.55
1073003900,1,18.27
1073004000,1,19.2
1073004200,2,18.81
1073004500,2,18.19
1073004701,2,21.8
1073004702,2,23.6
1073004800,2,21.03
1073004901,2,20.05
1073004902,2,19.76
1073005000,1,18.93
1073005101,1,16.86
1073005103,1,16.67
1073005104,1,16.58
1073005200,1,17.5
1073005302,1,15.94
1073005500,2,27.44
1073005600,2,20.73
1073005701,1,12.47
1073005702,1,14.37
1073005800,1,15.64
1073005903,1,14.65
1073005905,1,16.77
1073005907,1,14.8
1073005908,1,18.06
1073005909,1,20.92
1073005910,1,24.36
1073010001,1,24.72
1073010002,1,20.06
1073010100,1,16.33
1073010200,1,13.64
1073010301,1,11.98
1073010302,1,15.4
1073010401,1,14.78
1073010402,1,18.38
1073010500,1,15.3
1073010602,1,18.01
1073010603,1,15.5
1073010701,2,16.73
1073010702,2,18.27
1073010703,2,18.63
1073010704,1,14.99
1073010705,1,15.54
1073010706,1,11.65
1073010801,2,23.88
1073010802,2,21.45
1073010803,1,24.23
1073010804,2,25.32
1073010805,1,24.59
1073010900,2,23.57
1073011001,1,21.54
1073011002,1,23.73
1073011104,1,16.07
1073011107,1,0
1073011108,1,7.05
1073011109,1,10.99
1073011110,1,18.03
1073011111,1,13.82
1073011205,1,20.4
1073011206,1,26.01
1073011207,1,17.42
1073011208,1,15.1
1073011209,1,21.09
1073011210,1,21.59
1073011802,1,15.63
1073011803,1,20.29
1073011804,1,20.71
1073011904,1,19.99
1073012002,1,29.98
1073012304,1,28.04
1073012401,1,28.53
1073012500,1,29.39
1073012602,1,15.85
1073012701,1,16.52
1073012703,1,25.09
1073012704,1,25.73
1073012802,2,23.3
1073012803,2,25.37
1073012905,1,25.11
1073012906,1,22.02
1073012907,1,26.26
1073012908,2,19.17
1073012910,2,25.7
1073012911,2,26.05
1073012912,2,21.71
1073012913,2,24.14
1073012914,1,19.75
1073012915,1,18.58
1073013002,1,15.74
1073013100,1,7.94
1073013200,1,12.31
1073013300,1,18.17
1073013400,1,17.81
1073013601,1,18.07
1073013801,1,16.75
1073013901,1,21.84
1073013902,1,23.59
1073014104,1,26.24
1073014105,1,20.4
1073014203,1,25.98
1073014204,1,20.64
1073014301,1,17.12
1073014302,1,0
1073014404,2,15.8
1073014405,1,17.43
1073014406,1,18.55
1073014408,2,21.57
1073014409,2,21.39
1073014410,1,16.6
1073014412,1,17.45
1073014413,1,18.91
1081041900,2,24.73
1081042002,2,16.42
1081042003,2,22.1
1081042004,2,21.02
1081042005,2,21.87
1081042006,2,20.1
1083021200,1,29.46
1089000201,1,15.09
1089000202,1,15.07
1089000301,1,12.81
1089000302,1,14.51
1089000403,1,17.8
1089000501,1,14.56
1089000502,1,13.88
1089000503,1,12.47
1089000601,1,10.62
1089000602,1,11.69
1089000701,1,11.42
1089000702,1,10.01
1089000901,1,14.85
1089000902,1,12.86
1089001000,1,10.51
1089001200,1,9.38
1089001301,1,10.98
1089001302,1,10.26
1089001401,1,19.83
1089001402,1,13.7
1089001500,1,6.87
1089001700,1,8.85
1089001801,1,13.21
1089001901,1,8.63
1089001902,1,12.26
1089001903,1,9.86
1089002000,1,4.95
1089002100,1,4.9
1089002200,1,6.18
1089002300,1,4.13
1089002400,1,4.09
1089002501,1,0
1089002502,1,8.16
1089002600,1,6.21
1089002701,1,10.76
1089002721,1,12.59
1089002722,1,14.4
1089002801,1,11.79
1089002802,1,17.05
1089002911,1,17.12
1089002912,1,18.25
1089002921,1,16.99
1089002922,1,18.73
1089003000,1,9.95
1089003100,1,8.27
1089010100,1,27.6
1089010200,1,28.52
1089010301,1,29.85
1089010501,1,28.88
1089010502,1,26.61
1089010612,1,20.25
1089010621,1,21.36
1089010622,1,14.85
1089010623,1,25.92
1089010624,1,28.45
1089010701,1,21.07
1089010702,1,18.75
1089010800,1,18.57
1089010901,1,21.27
1089011011,1,23.06
1089011012,1,24.64
1089011013,1,18.35
1089011014,1,22.72
1089011021,1,18.07
1089011022,1,16.58
1089011100,1,8.57
1089011200,1,21.8
1093964100,1,26.28
1093964200,1,23.47
1093964300,1,13.45
1093964400,1,0
1093964600,1,27.72
1097000200,3,11.8
1097000401,3,13.74
1097000402,3,14.6
1097000500,3,14.13
1097000600,3,15.7
1097000701,3,15.56
1097000702,3,14.62
1097000800,3,13.22
1097000901,3,11.72
1097000902,3,11.44
1097000903,3,10.63
1097001001,3,12.05
1097001002,3,10.96
1097001100,3,10.56
1097001200,3,13.1
1097001302,3,9.93
1097001400,3,9.56
1097001501,3,7.89
1097001502,3,7.86
1097001800,3,7.33
1097001901,3,8.75
1097001902,3,8.36
1097002000,3,15.29
1097002100,3,5.79
1097002200,3,7.78
1097002301,3,6.17
1097002302,3,6.59
1097002400,3,8.47
1097002501,3,9.6
1097002502,3,10.74
1097002600,3,9.91
1097002700,3,7.84
1097002800,3,7.57
1097002900,3,7.54
1097003000,3,0
1097003100,3,3.63
1097003202,3,6.04
1097003203,3,5.72
1097003204,3,0
1097003205,3,6.02
1097003301,3,5.05
1097003302,3,8.8
1097003402,3,12.46
1097003404,3,16.8
1097003405,3,13.83
1097003406,3,12.48
1097003407,3,19.57
1097003408,3,13.53
1097003501,3,13.26
1097003502,3,8.71
1097003602,3,15.34
1097003605,3,11.85
1097003606,3,8.63
1097003607,3,12.39
1097003608,3,13.5
1097003703,3,11.39
1097003704,3,8.78
1097003705,3,14.7
1097003706,3,13.22
1097003707,3,11.15
1097003708,3,14.73
1097003709,3,9.63
1097003710,3,8.35
1097003800,2,26.38
1097003901,3,12.41
1097003902,3,13.38
1097004000,3,12.6
1097004100,3,13.03
1097004800,3,13.66
1097004900,3,11.29
1097005000,3,14.32
1097005100,3,14.65
1097005200,3,14.75
1097005300,3,16.08
1097005400,3,19.74
1097005500,3,20.12
1097005600,2,24.45
1097006102,2,25.23
1097006103,3,17.4
1097006105,3,20.31
1097006301,1,28.49
1097006302,2,26.41
1097006402,3,20.35
1097006403,3,16.43
1097006404,3,17.36
1097006405,3,15.13
1097006406,2,23.46
1097006501,3,25.08
1097006702,3,19.97
1097006801,3,20.32
1097006802,3,11.29
1097006901,3,15.58
1097006902,3,11.87
1097007000,3,18.05
1097007101,3,16.67
1097007102,3,16.12
1097007103,2,25.77
1097007400,3,0
1097007500,3,13.56
1097007600,3,15.17
1097007700,3,13.9
1101000100,1,13.05
1101000200,1,14.46
1101000300,1,17.73
1101000400,1,14.74
1101000500,1,11.11
1101000600,1,13.48
1101000700,1,14.72
1101000900,1,23.05
1101001000,1,17.48
1101001100,1,16.96
1101001200,1,17.35
1101001300,1,15.54
1101001400,1,15.67
1101001500,1,12.7
1101001600,1,11.48
1101001700,1,11.03
1101001800,1,10.83
1101001900,1,10.18
1101002000,1,16.12
1101002100,1,16.89
1101002201,1,17.3
1101002202,1,17.31
1101002300,1,19
1101002400,1,20.47
1101002500,1,13.99
1101002600,1,8.03
1101002700,1,9.54
1101002800,1,12.9
1101002900,1,13.62
1101003000,1,23.1
1101003100,1,17
1101003200,1,17.37
1101003301,1,11.83
1101003302,1,8.53
1101005101,1,12.43
1101005102,1,14.14
1101005301,1,11.7
1101005302,1,7.47
1101005402,1,5.22
1101005403,1,0
1101005406,1,9.09
1101005407,1,8.02
1101005408,1,8.61
1101005409,1,8.79
1101005410,1,10.48
1101005501,1,16.21
1101005502,1,20.75
1101005503,1,14.54
1101005504,1,24.57
1101005603,1,13.97
1101005604,1,23.04
1101005605,1,13.16
1101005606,1,10.19
1101005607,1,16.09
1101005608,1,18.26
1101005609,1,16.59
1101005610,1,20.82
1101005611,1,12.76
1101005612,1,17.52
1101005901,1,29.04
1101005902,1,23.57
1101006100,1,24.62
1113030200,2,6.35
1113030300,2,6.05
1113030401,2,9.81
1113030402,2,12.93
1113030500,2,11.37
1113030600,2,10.51
1113030700,2,9.15
1113030800,2,10.56
1113030901,2,20.41
1113030902,1,27.06
1113031000,1,29.84
1115040103,1,28.95
1115040104,1,22
1115040106,1,28.65
1115040501,1,27.18
1117030212,2,28.87
1117030303,1,29.93
1117030304,2,28.09
1117030305,1,27.72
1117030306,1,17.17
1117030314,2,22.32
1117030315,2,23.46
1117030316,1,21
1117030317,1,19.62
1117030319,1,13.2
1117030320,1,20.23
1117030330,2,29.62
1117030332,2,26.14
1117030333,2,25.98
1117030334,1,24.83
1117030336,2,26.42
1117030337,1,23.76
1117030340,1,18.61
1117030341,1,16.27
1117030342,1,27.66
1117030345,1,22.78
1117030501,1,20.63
1117030502,1,23.59
1117030604,1,22.79
1117030605,1,21.27
1117030607,1,18.3
1117030608,1,0
1117030609,1,14.8
1121010101,1,13.19
1121010102,1,19.12
1121010201,1,27.41
1121010202,1,25.43
1127020100,1,13.22
1127020200,1,10.25
1127020300,1,0
1127020400,1,13.24
1127020600,1,17.24
1127020700,1,19.12
1127020800,1,23.02
1127020900,1,25.93
1127021200,1,20.24
1127021400,1,24.47
1127021500,1,24.32
2020000102,1,25.66
2020000201,1,21.09
2020000202,1,20.34
2020000203,1,20.68
2020000204,1,29.95
2020000300,1,12.01
2020000400,1,9.21
2020000500,1,9.82
2020000600,1,5.87
2020000701,1,8.39
2020000702,1,10.15
2020000703,1,10.05
2020000801,1,7.04
2020000802,1,7.54
2020000901,1,0
2020000902,1,6.39
2020001000,1,7.43
2020001100,1,6.72
2020001200,1,8.68
2020001300,1,13.28
2020001400,1,8.84
2020001500,1,8.31
2020001601,1,6.28
2020001602,1,10.05
2020001701,1,11.89
2020001702,1,10.31
2020001731,1,10.53
2020001732,1,11.73
2020001801,1,10.17
2020001802,1,9.39
2020001900,1,9.72
2020002000,1,11.49
2020002100,1,12.25
2020002201,1,14.53
2020002202,1,13.08
2020002301,1,20.03
2020002302,1,15.51
2020002303,1,18.42
2020002400,1,12.64
2020002501,1,14.31
2020002502,1,13.06
2020002601,1,12.41
2020002602,1,11.29
2020002603,1,13.1
2020002702,1,19.22
2020002711,1,22.3
2020002712,1,16.14
2020002811,1,14.89
2020002812,1,16.64
2020002813,1,19.5
2020002821,1,17.8
2020002822,1,19.36
2020002823,1,23.62
2090000100,1,0
2090000200,1,4.05
2090000300,1,4.14
2090000400,1,4.65
2090000500,1,6.33
2090000600,1,8.57
2090000700,1,7.12
2090000800,1,9.09
2090000900,1,21.31
2090001000,1,9.44
2090001100,1,11.88
2090001200,1,11.1
2090001300,1,15.35
2090001400,1,15.52
2090001500,1,23.9
2090001600,1,19.65
2090001900,1,17.1
4003001300,1,23.41
4003001401,1,12.36
4003001402,1,18.85
4003001501,1,5.59
4003001502,1,8.15
4003001601,1,5.29
4003001602,1,0
4003001701,1,5.88
4003001702,1,5.56
4003001703,1,8.15
4003001800,1,5.92
4003001900,1,11.77
4003002001,1,14.39
4003002002,1,20.2
4003002100,1,25.64
4007000301,1,4.53
4007000302,1,0
4007000400,1,13.24
4007000500,1,13.77
4009961100,1,18.32
4009961201,1,8.79
4009961202,1,14.08
4009961300,1,0
4009961400,1,4.7
4009961500,1,16.26
4009961700,1,11.67
4013030401,1,27.28
4013030402,1,24.81
4013040506,4,16.69
4013040507,4,17.71
4013040512,1,20.95
4013040513,3,20.96
4013040514,3,19.82
4013040520,1,29.08
4013040521,3,22.56
4013040522,1,22.06
4013040523,3,22.17
4013040524,1,22.33
4013040525,1,23.93
4013040526,1,24.7
4013040527,1,22.18
4013040528,1,19.93
4013040529,3,18.07
4013040530,3,18.22
4013040531,3,18.08
4013050604,1,22.05
4013050605,1,23.71
4013050606,1,22.48
4013050607,1,7.29
4013050608,1,11.77
4013050609,1,15.67
4013050610,1,15.11
4013050611,1,7.35
4013050701,1,3.5
4013050702,1,0
4013060801,8,11.25
4013060802,8,10.03
4013060901,8,10.98
4013060902,8,9.63
4013060903,8,10.74
4013060904,8,9.64
4013061009,8,24.68
4013061010,5,22.73
4013061011,7,16.48
4013061012,9,23.32
4013061013,9,19.7
4013061014,11,20.04
4013061015,10,22.44
4013061016,3,26.48
4013061017,2,21.34
4013061018,3,26.69
4013061019,2,23.02
4013061020,9,23.12
4013061021,8,23.57
4013061022,3,25.81
4013061023,3,22.52
4013061024,2,21.52
4013061025,1,22.9
4013061026,1,22.67
4013061027,3,19.79
4013061028,3,18.53
4013061029,5,13.15
4013061030,1,22.49
4013061031,1,21.19
4013061032,3,17.9
4013061033,4,16.04
4013061034,4,15.52
4013061035,5,12.4
4013061036,1,20.78
4013061037,4,17.08
4013061038,3,18.1
4013061039,4,16.75
4013061040,6,11.5
4013061041,8,11.29
4013061042,5,13.04
4013061043,6,12.24
4013061044,1,23.08
4013061045,2,25.23
4013061046,5,18.02
4013061047,5,19.38
4013061100,5,17.01
4013061200,13,21.98
4013061300,10,22.89
4013061401,9,23.47
4013061402,9,24.07
4013071503,11,6.44
4013071504,11,8.4
4013071505,11,8.93
4013071506,11,7.75
4013071509,13,9.9
4013071510,14,7
4013071511,12,7.06
4013071512,13,8.73
4013071513,13,7.72
4013071514,11,11.4
4013071515,11,10.95
4013071516,11,7.74
4013071517,13,7.64
4013071600,10,6.77
4013071701,8,9.63
4013071702,10,5.54
4013071801,13,0
4013071802,11,4.18
4013071903,15,8.79
4013071906,16,6.54
4013071909,15,5.13
4013071910,15,9.08
4013071911,16,8.22
4013071912,14,5.54
4013071913,15,7.4
4013071914,15,10.94
4013071915,17,9.55
4013082002,16,14.12
4013082007,16,12.04
4013082008,16,11.41
4013082009,16,12.26
4013082010,16,11.5
4013082012,15,15.37
4013082016,16,13.3
4013082017,16,15.05
4013082018,16,12.39
4013082019,14,16.91
4013082020,15,18.05
4013082021,15,15.87
4013082022,15,19.65
4013082023,15,18.01
4013082024,15,18.11
4013082025,15,20.67
4013082026,15,19.63
4013082027,15,19.53
4013082028,17,13.62
4013082203,15,20.79
4013082204,12,21.24
4013082205,13,17.92
4013082206,13,18.55
4013082207,8,24.79
4013082208,7,24.78
4013082209,12,21.48
4013082210,10,22.31
4013082211,12,21.89
4013083000,16,15.59
4013092305,17,9.02
4013092306,17,6.31
4013092307,17,4.38
4013092308,17,5.71
4013092309,17,3.19
4013092311,17,5.46
4013092312,17,7.78
4013092401,17,0
4013092402,17,1.93
4013092500,17,2.46
4013092600,16,7.68
4013092705,16,9.32
4013092708,15,7.62
4013092709,16,8.37
4013092710,15,12.58
4013092711,15,10.77
4013092712,16,11.56
4013092713,16,12.64
4013092715,16,10.4
4013092716,16,9.42
4013092717,16,9.66
4013092718,16,10.2
4013092719,16,12.74
4013092720,16,9.46
4013092721,14,11.75
4013092723,10,7.89
4013092724,10,6.92
4013092801,16,7.1
4013092802,16,8.19
4013092900,16,5.04
4013093001,17,3.31
4013093002,18,4.91
