"GEOID","bupTimeBike","bupCountBike60","bupCountBike30","metTimeBike","metCountBike60","metCountBike30","nalTimeBike","nalCountBike60","nalCountBike30"
1001,29.54,164,71,33.08,4,0,29.54,12,7
1002,0,32,12,52.34,2,0,52.34,1,0
1003,0,32,12,57.12,2,0,57.12,1,0
1005,0,14,12,107.18,0,0,56.47,1,0
1007,0,3,1,93.01,0,0,62.24,0,0
1009,22.96,23,8,104.05,0,0,22.96,6,4
1010,42,5,0,74.97,0,0,63.33,0,0
1013,28.18,193,11,0,6,1,17.22,21,4
1020,24.79,193,42,15.74,6,3,0,21,11
1022,23.87,149,1,30.6,5,0,20.27,18,3
1026,41.76,8,0,135.61,0,0,41.76,2,0
1027,0,72,5,35.67,4,0,35.67,9,0
1028,0,147,18,23.52,4,1,0,12,2
1030,34.39,156,0,41.67,4,0,34.39,12,0
1031,25.35,10,1,148.14,0,0,43.76,2,0
1033,0,46,3,54.23,3,0,49.03,11,0
1035,0,49,12,34.07,2,0,34.07,2,0
1036,35.39,28,0,53.09,1,0,35.39,3,0
1037,0,13,1,149.69,0,0,68.25,0,0
1038,0,39,2,38.21,2,0,38.21,2,0
1039,23.39,38,11,46.48,2,0,23.39,2,1
1040,0,171,32,0,4,2,0,19,10
1053,0,43,36,27.94,2,2,0,2,2
1054,0,13,1,80.99,0,0,80.99,0,0
1056,0,98,11,55.88,3,0,18.58,17,1
1057,38.62,10,0,95.38,0,0,38.62,4,0
1060,0,54,36,0,2,2,0,2,2
1062,0,44,36,21.01,2,2,18.98,2,2
1063,3.81,55,36,3.81,2,2,3.81,2,2
1066,23.29,39,2,48.1,2,0,48.1,2,0
1068,49.5,12,0,103.61,0,0,71.34,0,0
1069,0,24,8,100.22,0,0,0,6,4
1070,0,8,8,131.07,0,0,0,1,1
1071,58.76,10,0,58.76,1,0,58.76,3,0
1072,42.79,3,0,111.3,0,0,111.3,0,0
1073,0,53,5,47.95,3,0,47.95,10,0
1074,22.82,13,12,117.78,0,0,70.35,0,0
1075,0,51,34,28.9,3,2,28.9,11,7
