FIPS,Fuel Type
480019501001,Gas
480019501002,Electricity
480019501003,Electricity
480019504011,Electricity
480019504021,Electricity
480019505001,Electricity
480019505002,Electricity
480019505003,Electricity
480019505004,Electricity
480019506001,Electricity
480019506002,Gas
480019506003,Electricity
480019506004,Electricity
480019507001,Electricity
480019507002,Gas
480019507003,Gas
480019508001,Electricity
480019508002,Electricity
480019508003,Electricity
480019508004,Gas
480019508005,Gas
480019509011,Electricity
480019509012,Electricity
480019509013,Electricity
480019509014,Electricity
480019509021,Electricity
480019509022,Electricity
480019509023,Electricity
480019509024,Electricity
480019510001,Electricity
480019510002,Electricity
480019510003,Electricity
480019510004,Electricity
480019510005,Electricity
480019510006,Electricity
480019511001,Electricity
480019511002,Electricity
480019511003,Electricity
480019511004,Electricity
480039501001,Electricity
480039502001,Gas
480039502002,Electricity
480039502003,Gas
480039502004,Electricity
480039502005,Electricity
480039502006,Gas
480039503001,Electricity
480039503002,Electricity
480039503003,Gas
480039504001,Electricity
480050001011,Electricity
480050001012,Electricity
480050001013,Electricity
480050001021,Electricity
480050001022,Electricity
480050002001,Electricity
480050002002,Electricity
480050002003,Electricity
480050003011,Electricity
480050003012,Electricity
480050003013,Electricity
480050003021,Electricity
480050003022,Electricity
480050004001,Gas
480050004002,Electricity
480050004003,Electricity
480050004004,Gas
480050005001,Gas
480050005002,Electricity
480050005003,Electricity
480050005004,Electricity
480050006001,Gas
480050006002,Gas
480050006003,Electricity
480050006004,Electricity
480050007001,Electricity
480050007002,Electricity
480050007003,Electricity
480050008001,Electricity
480050008002,Gas
480050008003,Electricity
480050008004,Gas
480050009011,Gas
480050009012,Gas
480050009013,Electricity
480050009014,Electricity
480050009021,Electricity
480050009022,Electricity
480050010011,Electricity
480050010012,Electricity
480050010013,Electricity
480050010021,Electricity
480050010022,Electricity
480050011001,Electricity
480050011002,Electricity
480050011003,Electricity
480050012001,Electricity
480050012002,Electricity
480050012003,Electricity
480050013001,Electricity
480050013002,Electricity
480050013003,Electricity
480079501001,Electricity
480079501002,Electricity
480079501003,Electricity
480079501004,Electricity
480079501005,Electricity
480079502001,Electricity
480079502002,Electricity
